GameModeId,ScriptName,RequiresTeamRaids,AdvanceThroughStatesOnUpdate,DisplayName,Description,UiInteractOption,RequirementText,NotificationTitle,NotificationText,IconPath,SimpleImagePath,BackgroundImagePath,ListImagePath,FeatureFlag,PurchasableItemClasses,PurchasableItemClassesRestrictedToMode,NonPurchasableItemClasses,ItemClassesToRemoveOnExit,RestrictCombatGearToItemClasses,RequiredConsumableItemClasses,DisabledItemClasses,LootTableIdOverride,UseTempGameModeLoadout,ClearBattleTokensOnExit,RequiresGameModeGDEException,RecommendedLevel,RequiredLevel,EntryAchievementConditional,QueueLevelBuckets,QueueReadyThreshold,BackfillReadyThreshold,NumTeams,TeamCapacity,CombineTeamGroups,ModeNameLocStringId,GearScoreOverrideValueMin,GearScoreOverrideValueMax,MinPlayerLevelToUseGearScoreOverride,MaxPlayerLevelToUseGearScoreOverride,PossibleItemDropIds,ItemDropLevelThreshold01,PossibleItemDropIdsByLevel01,MinGroupSize,PreserveOldGroup,IgnoreRequireContribution,IsDungeon,IsRaidTrial,IsSeasonTrial,IsSoloTrial,IsMutable,IsRemoteEntryAllowed,IsPVP,DifficultyProgressionId,RestrictGathering,RestrictWaterGathering,LootTags,MutLootTagsOverride,ContainerLevel,LootGSRangeOverride,UseLevelGS,GSClampLevelReqDelta,VictoryDelaySec,MaxAI,AISpawnRadius,AIDespawnRadius,ProjectedDurationMinutes,Priority,ImmediateLaunch,AILevelAdjustedPerceptionEnabled,AILeashingOptOut,DisableDeathsDoor,DisableMSQTrackersOnHud,AIPreventEnemyTraining,UseTeamNamePlate,ItemDropQuantityOnDeathModifier,QuitButtonTextId,CannotFastTravelTextId,LeaveDescTextId,LeaveTimeDescTextId,LeaveTitleTextId,WarBoardStatDefinitions,WarBoardAttackerTeamIdx,WarBoardDefenderTeamIdx,RaidInviteDelaySec,RaidInviteDurationSec,BackfillDelaySec,PriorityAddMin,PriorityAddMax,AllowPvpValueAccumulation,MinAcceptedInvites,UsePendingListMatchmaking,AutoEquipQuickslot,GrantConsumables,ActivityType,OverrideDungeonTimeout,TimerThresholdDefault,TimerThresholdMutated,SpecialQueueGroupSizes,ResetChargeOnEnter,ShouldShowAcceptedFlow,ScreenHeaderTextId,JoinButtonTextId,SignupTitleTextId,LeaveQueueTitleTextId,LeaveQueueDescriptionTextId,FailGroupPenaltyTextId,RespawnTypeToUseForUnstuck,LootLimitId,DailyLootLimitId,WeeklyLootLimitId,PossibleJourneyIds,TrialIconPath,Tip01IconPath,Tip01Text,Tip02IconPath,Tip02Text,Tip03IconPath,Tip03Text,ProsperoActivityId,HidePoiName,HideCompass,ExclusiveRewardIds,UniqueRewardIds,BasicRewardIds,ReplicateParticipantCharacterIds,GearScoreRecommendedValueMin,GearScoreRecommendedValueMax,MatchmakingMinLevel,MatchmakingMaxLevel,MatchmakingMinGS,UsesRoleSelection,MatchmakingRequiredHealingFocus,MatchmakingRequiredHealingMastery,MatchmakingRequiresTauntGem,MatchmakingMinTanks,MatchmakingMaxTanks,MatchmakingMinHealers,MatchmakingMaxHealers,MatchmakingMinDPS,MatchmakingMaxDPS,UseMMBuff,DisableAllPerks,DisableAllPerkLabelOverrides,MatchmakingPriority,AllowMounts,MountSummonErrorMsg,AllowCamping,CampingErrorMsg,AchievementIdForCompletingMaxRank,MRV2_NewR,MRV2_NewD,MRV2_NewV,MRV2_SConst,MRV2_CConst,MRV2_DecDays,MRV2_GBs,MRV2_RankMultipliers_WinningTeam,MRV2_RankMultipliers_LosingTeam,MRV2_RankMultipliers_Overall,WorldPosToTeleportBackTo,DisablePSActivityCards,AfkModeId,ReadyUp_PercentRequired,MapRotationStartIndex,MapRotationTimeSpanInSeconds,ForceFFA,LevelGeneratorType,LevelGeneratorFeatureId,UsesPowerUps,EnableEquipInCombat
TestMode1,GameModeTest,0,0,,,,,,,,,,,test1,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,TestMode1,,,,,,,,,,,,,false,false,,,true,false,1,,,,,,,,,5,90,30,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,1,65,500,true,,5,true,1,3,1,3,0,5,true,,,,false,,false,,,,,,,,,,,,,,true,,,,,,,,,
TestMode2,GameModeTest,0,0,,,,,,,,,,,test2,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,TestMode2,,,,,,,,,,,,,false,false,,,true,false,1,,,,,,,,,5,90,30,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,30,65,0,false,,0,false,0,0,0,0,0,0,false,,,,false,,false,,,,,,,,,,,,,,true,,,,,,,,,
CaptureTheFlag,CaptureTheFlag,TRUE,0,@ctf_gamemode_name,@ctf_gamemode_description,,,@ui_capture_the_flag_invite_notification_title,@ui_capture_the_flag_invite_notification_text,LyShineUI/Images/PUGFinder/PugFinder_CTF.png,LyShineUI/Images/PUGFinder/PugFinder_CTF.png,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,,capture-the-flag,,,,OutpostRushOnly,,,,,,True,True,60,60,,,16,19,2,10,,@ctf_gamemode_name,700,725,60,65,,,,,true,,,,,,,,true,,true,true,OutpostRush,,,,,,,OpenWorld,OpenWorld,OpenWorld,15,1,false,false,false,true,true,false,true,0.5,@ui_ctf_leave,@ui_cannot_travel_ctf,@ui_ctf_leave_desc,@ui_ctf_leave_desc_time,@ui_ctf_leave,CTFWarboardStatDefinitions,0,1,5,90,30,,,false,,false,true,,CaptureTheFlag,,,,,true,,@Topic_Prompt_Join_Capture_The_Flag,@ui_capture_the_flag_signup_joinsolo,@ui_capture_the_flag_title,@ui_capture_the_flag_leave_queue_title,@ui_capture_the_flag_leave_queue_desc,@ui_capture_the_flag_signup_failgrouppenalty,Raid,,,,,,LyShineUI/Images/PUGFinder/gameModeSignUp/ctf_capture.png,@ui_capture_the_flag_signup_goal1,LyShineUI/Images/PUGFinder/gameModeSignUp/ctf_base.png,@ui_capture_the_flag_signup_goal2,LyShineUI/Images/PUGFinder/gameModeSignUp/ctf_protect.png,@ui_capture_the_flag_signup_goal3,,true,,,,,true,,,60,65,,true,200,10,false,0,3,1,2,0,8,false,,,,false,@ui_mount_summon_failed_ctf,false,,,1500,350,0.06,0.5,0.000001,14,"1.0,1.2,1.25,1.25,1.3","1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1","0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1",,,true,CaptureTheFlag,1,0,3600,,,,true,
Duel,Duel,0,0,,,,,,,,,,,duels,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,Duel,,,,,,,,,,,,,false,false,,,true,false,1,,,,,,,,,5,90,30,,,true,,false,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,false,,,,,,,,,,false,,,,false,@ui_mount_summon_failed_duel,true,,,,,,,,,,,,,,true,,,,,,,,,
OutpostRush,OutpostRush,1,0,@ui_outpost_rush_title,@ui_outpost_rush_signup_desc_cross_world,,,@ui_outpost_rush_invite_notification_title,@ui_outpost_rush_invite_notification_text,LyShineUI/Images/PUGFinder/PugFinder_OPR.png,LyShineUI/Images/PUGFinder/PugFinder_OPR.png,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,,outpost-rush,OutpostRushOnly,OutpostRushOnly,,OutpostRushOnly,,,,,,True,True,60,60,,,32,39,2,20,,@ui_outpost_rush_title,700,725,60,65,,,,,true,,,,,,,,true,,true,true,OutpostRush,,,,,,,OpenWorld,OpenWorld,OpenWorld,50,1,false,false,false,true,true,false,true,0.5,@ui_outpost_rush_leave,@ui_cannot_travel_outpost_rush,@ui_outpost_rush_leave_desc,@ui_outpost_rush_leave_desc_time,@ui_outpost_rush_leave_title,ORWarboardStatDefinitions,0,1,5,90,30,,,false,,false,true,,OutpostRush,,,,,true,,@Topic_Prompt_Join_Outpost_Rush,@ui_outpost_rush_signup_joinsolo,@ui_outpost_rush_title,@ui_outpost_rush_leave_queue_title,@ui_outpost_rush_leave_queue_desc,@ui_outpost_rush_signup_failgrouppenalty,Raid,,,,,,LyShineUI/Images/PUGFinder/gameModeSignUp/iconOutpost.dds,@ui_outpost_rush_signup_goal1,LyShineUI/Images/PUGFinder/gameModeSignUp/arena_stars.dds,@ui_outpost_rush_signup_goal2,LyShineUI/Images/PUGFinder/gameModeSignUp/iconResource.dds,@ui_outpost_rush_signup_goal3,nw_activity_opr,true,,,,,false,,,60,65,,true,200,10,false,0,4,1,1,0,4,false,,,,true,@ui_mount_summon_failed_opr,false,@ui_camping_error_poi_restricted_outpost_rush,,1500,350,0.06,0.5,0.000001,14,"1.0,1.2,1.25,1.25,1.3","1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1","0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1",,,true,OutpostRush,0.8,0,3600,,,,,
OutpostRush_NoPerks,OutpostRush,1,0,@ui_opr_no_perks_title,@ui_opr_no_perks_signup_desc_cross_world,,,@ui_outpost_rush_invite_notification_title,@ui_outpost_rush_invite_notification_text,LyShineUI/Images/PUGFinder/PugFinder_OPR_Perkless.png,LyShineUI/Images/PUGFinder/PugFinder_OPR_Perkless.png,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRushTabBg.png,,outpost-rush-no-perks,OutpostRushOnly,OutpostRushOnly,,OutpostRushOnly,,,,,,True,True,60,60,,,32,39,2,20,,@ui_opr_no_perks_title,725,725,60,65,,,,,true,,,,,,,,true,,true,true,OutpostRush,,,,,,,OpenWorld,OpenWorld,OpenWorld,50,1,false,false,false,true,true,false,true,0.5,@ui_outpost_rush_leave,@ui_cannot_travel_outpost_rush,@ui_outpost_rush_leave_desc,@ui_outpost_rush_leave_desc_time,@ui_outpost_rush_leave_title,ORWarboardStatDefinitions,0,1,5,90,30,,,false,,false,true,,OutpostRush_NoPerks,,,,,true,,@Topic_Prompt_Join_Outpost_Rush,@ui_outpost_rush_signup_joinsolo,@ui_outpost_rush_title,@ui_outpost_rush_leave_queue_title,@ui_outpost_rush_leave_queue_desc,@ui_outpost_rush_signup_failgrouppenalty,Raid,,,,,,LyShineUI/Images/PUGFinder/gameModeSignUp/iconOutpost.dds,@ui_opr_no_perks_signup_goal1,LyShineUI/Images/PUGFinder/gameModeSignUp/arena_stars.dds,@ui_opr_no_perks_signup_goal2,LyShineUI/Images/PUGFinder/gameModeSignUp/iconResource.dds,@ui_opr_no_perks_signup_goal3,,true,,,,,false,,,60,65,,true,200,10,false,0,4,1,1,0,4,false,true,"EncumAdd,EncumReduce",,true,@ui_mount_summon_failed_opr,false,,,1500,350,0.06,0.5,0.000001,14,"1.0,1.2,1.25,1.25,1.3","1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1","0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1",,,true,OutpostRush_NoPerks,0.8,0,3600,,,,,
Arena3v3,Arena3v3,TRUE,FALSE,@ui_pvp_3v3_arena_queue_title,@ui_pvparenas_description_gearscore,,,@ui_pvp_3v3_arena_invite_notification_title,@ui_pvp_3v3_arena_invite_notification_text,LyShineUI/Images/PUGFinder/PugFinder_Arena.png,LyShineUI/Images/PUGFinder/PugFinder_Arena.png,LyShineUI/Images/PUGFinder/gameModeSignUp/3v3Arena/3v3ArenaTabBgOld.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonBrimstoneSands00.png,arena-3v3,,,,ArenaConsumable,,,NoPvPArenas,,,0,1,20,20,,"20,30,40,50,60,66",6,5,2,3,true,@ui_opr_no_perks_title,700,725,60,65,,,,,true,,,,,,,,true,,false,false,CasualArenas,,,,,,4,OpenWorld,OpenWorld,OpenWorld,10,2,false,false,false,true,true,false,true,1,@ui_pvp_arena_leave,@ui_cannot_travel_pvp_arena,@ui_pvp_arena_leave_desc,@ui_pvp_arena_leave_desc_time,@ui_pvp_arena_leave_title,PvPArenaWarboardStatDefinitions,0,1,5,45,30,5,10,false,6,true,true,,Arena3v3,,,,3,true,true,@ui_pvparenas_title_join,@ui_outpost_rush_signup_joinsolo,@ui_pvp_3v3_arena_signup_title,@ui_pvparenas_leave_queue_title,@ui_pvparenas_leave_queue_desc,@ui_pvparenas_failgrouppenalty,,,,,,,LyShineUI/Images/PUGFinder/gameModeSignUp/arena_stars.dds,@ui_pvparenas_signup_goal1,LyShineUI/Images/PUGFinder/gameModeSignUp/arena_fire.dds,@ui_pvparenas_signup_goal2,LyShineUI/Images/PUGFinder/gameModeSignUp/arena_diminishedHealing.dds,@ui_pvparenas_signup_goal3,nw_activity_arena,true,true,,,,true,,,20,65,,true,200,10,false,0,3,0,1,0,3,false,,,,false,@ui_mount_summon_failed_arena3v3,false,,,1500,350,0.06,0.5,0.000001,14,"1.0,1.2,1.25,1.25,1.3","1,0.9,0.8","0.8,0.9,1",,,true,3v3Arena,1,0,3600,,,,,
Dungeon,Dungeon,,,@matchmaking_dungeon_activity,,,,,,,LyShineUI/Images/PugFinder/expeditionIconSmall.png,,,dungeon-activity,,,,,,,,,,,,,,,,5,4,1,5,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,90,,,,,5,,,,Dungeon,,,,,,,,,,@ui_pugfinder_cancel_queue_title,@ui_pugfinder_cancel_queue_expedition_desc,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,1,1,1,1,3,3,false,,,,false,@ui_mount_summon_failed_dungeon,false,,,,,,,,,,,,,,true,Expedition,,,,,,,,
Mutation,Mutation,,,@matchmaking_mutation_activity,,,,,,,LyShineUI/Images/PugFinder/expeditionMutatedIconSmall.png,,,mutation-activity,,,,,,,,,,,,,,,,5,4,1,5,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,90,,,,,5,,,,Mutation,,,,,,,,,,@ui_pugfinder_cancel_queue_title,@ui_pugfinder_cancel_queue_mutation_desc,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,1,1,1,1,3,3,false,,,,false,@ui_mount_summon_failed_dungeon,false,,,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonAmrine,DungeonAmrine,0,1,@dungeon_amrine_title,@dungeon_amrine_description,EnterDungeonAmrine,@dungeon_amrine_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonAmrine_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonAmrine.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonAmrine.png,amrine-dungeon,,,,DungeonItem,,,,,,False,True,25,,,,5,4,1,5,,,,,,,"1hRapier_SimonGreysToothpickT3_V2,2hStaffFire_FlareSparkT3_V2,2hGreataxe_DarknessDefinedT3_V2,Ring_SimonsHacksilverRingT3_V2,Amulet_NakashimasKeepsakeT3_V2",,,3,true,true,true,,,,,true,,,false,true,"Amrine,Lost,Dungeon",,25,300-375,,2,4,OpenWorld,OpenWorld,OpenWorld,30,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,25,35,0,true,30,3,true,1,1,1,1,3,3,true,,,1,false,@ui_mount_summon_failed_dungeon,false,,DungeonEverfall00MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonShatteredObelisk,DungeonShatteredObelisk,0,1,@dungeon_everfall_title,@dungeon_everfall_description,EnterDungeonShatteredObelisk,@dungeon_everfall_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonShatteredObelisk_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonShatteredObelisk.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonShatteredObelisk.png,shatteredobelisk-dungeon,,,,DungeonItem,,,,,,0,1,35,,,,5,4,1,5,,,,,,,"Amulet_GraveguardsSealT3_V2,2hStaffFire_StaffoftheImmolatedVeilT3_V2,1hRapier_ObsidianRapierT3_V2,1hGauntletIce_CreepingColdT3_V2,1hThrowingAxe_FleetingRealityT3_V2",61,"MediumHead_Ancient2T5,MediumChest_Ancient2T5,MediumHands_Ancient2T5,MediumLegs_Ancient2T5,MediumFeet_Ancient2T5",3,true,true,true,,,,true,true,,DungeonEverfall00DifficultyExp23,false,true,"ShatteredObelisk,Ancient,Dungeon","ShatteredObelisk_Mut,Ancient,GypsumBlue,Dungeon",35,370-450,,2,4,OpenWorld,OpenWorld,OpenWorld,10,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,600,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,35,45,0,true,45,3,true,1,1,1,1,3,3,true,,,2,false,@ui_mount_summon_failed_dungeon,false,,DungeonShatterMtn00MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonRestlessShores01,DungeonRestlessShores01,0,1,@dungeon_restlessshores01_title,@dungeon_restlessshores01_description,EnterDungeonDepths,@dungeon_restlessshores01_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonRestlessShores01_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonRestlessShores01.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonRestlessShores01.png,restlessshores01-dungeon,,,,DungeonItem,,,,,,0,1,45,,,,5,4,1,5,,,,,,,"2hMusket_TundraWardensRifleT4_V2,2hStaffLife_StaffofDuplicitiousIntentT4_V2,1hLongsword_WillingSacrificeT4_V2,RingT4_HolyPledgersBand_V2,2hBow_CorruptionInfusedLongbowT4_V2",61,"MediumHead_Corrupted2T5,MediumChest_Corrupted2T5,MediumHands_Corrupted2T5,MediumLegs_Corrupted2T5,MediumFeet_Corrupted2T5",3,true,true,true,,,,true,true,,DungeonRestlessShores01DifficultyExp23,false,true,"RestlessShores01,Corrupted,Dungeon","Restless01_Mut,Corrupted,GypsumBlue,Dungeon",45,475-525,,2,4,OpenWorld,OpenWorld,OpenWorld,30,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,600,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,45,55,0,true,70,4,true,1,1,1,1,3,3,true,,,3,false,@ui_mount_summon_failed_dungeon,false,,DungeonRestlessShores01MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonEbonscale00,DungeonEbonscale00,0,1,@dungeon_ebonscale00_title,@dungeon_ebonscale00_description,EnterDungeonShipyard,@dungeon_ebonscale_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonEbonscale00_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonEbonscale00.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonEbonscale00.png,ebonscale00-dungeon,,,,DungeonItem,,,,,,0,1,55,,,,5,4,1,5,,,,,,,"2hBow_TempestsCallT4_V2,2hStaffFire_FlamewakeT4_V2,RingT4_BandofOceansOath_V2,1hRapier_RapierofForgottenQueensT4_V2,2hGreataxe_InnerPeaceT4_V2",61,"MediumHead_Corrupted2T5,MediumChest_Corrupted2T5,MediumHands_Corrupted2T5,MediumLegs_Corrupted2T5,MediumFeet_Corrupted2T5",3,true,true,true,,,,true,true,,DungeonEbonscale00DifficultyExp23,false,true,"Ebonscale00,Corrupted,Dungeon","Ebonscale00_Mut,Corrupted,GypsumBlue,Dungeon",55,525-675,,2,4,OpenWorld,OpenWorld,OpenWorld,30,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,600,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,55,60,0,true,105,5,true,1,1,1,1,3,3,true,,,4,false,@ui_mount_summon_failed_dungeon,false,,DungeonEbonscale00MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonEdengrove00,DungeonEdengrove00,0,1,@dungeon_edengrove00_title,@dungeon_edengrove00_description,EnterDungeonGenesis,@dungeon_edengrove00_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonEdengrove00_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonEdengrove00.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonEdengrove00.png,edengrove00-dungeon,,,,DungeonItem,,,,,,0,1,60,,,,5,4,1,5,,,,,,,"2hSpear_AngryEarthExterminatorT5_V2,EarringT5_MistyKismetCharm_V2,2hBow_CreepingRecurveT5_V2,EarringT5_DoomsChanceEarring_V2,1hLongsword_PrimordialEdgeT5_V2,2hStaffFire_FirebinderT5_V2",61,"2hSpear_Bramblebranch,EarringT5_GenesisOfLife,2hBow_Spiralseed,1hFlail_CleansingWhip,1hLongsword_JacaklopeAntler,2hStaffFire_Ignition",3,true,true,true,,,,true,true,,DungeonEdengrove00DifficultyExp23,false,true,"Edengrove00,AngryEarth,GypsumBlue,Dungeon",,60,600-675,,2,4,OpenWorld,OpenWorld,OpenWorld,30,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,600,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,60,65,0,true,125,7,true,1,1,1,1,3,3,true,,,5,false,@ui_mount_summon_failed_dungeon,false,,DungeonEdengrove00MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
DungeonReekwater00,DungeonReekwater00,0,1,@dungeon_reekwater_title,@dungeon_reekwater_description,EnterDungeonLazarus,@dungeon_reekwater_required_equipment,,,LyShineUI/Images/Map/Icon/POIs/expedition.png,LyShineUI/Images/Map/Icon/POIs/expedition_DungeonReekwater00_simple.png,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_DungeonReekwater00.png,LyShineUI/Images/PUGFinder/activityListImages/dungeons/pugActivityList_DungeonReekwater00.png,reekwater00-dungeon,,,,DungeonItem,,,,,,FALSE,TRUE,60,,,,5,4,1,5,,,,,,,"1hThrowingAxe_SolT5_V2,2hStaffLife_WilloftheAncientsT5_V2,Ring_FeatherweightRingT5_V2,2hBow_LazarusBowT5_V2,1hGauntletIce_FrostgraspT5_V2",61,"1hThrowingAxe_PrimalRage,2hStaffLife_RitualOfTheHereafter,RingT5_Hamstring,2hBow_SnowcoatedShortbow,1hGauntletIce_Gravelguard",3,true,true,true,,,,true,true,,DungeonReekwater00DifficultyExp23,false,true,"Reekwater00,Ancient,GypsumBlue,Dungeon",,60,600-675,,2,4,OpenWorld,OpenWorld,OpenWorld,30,2,false,false,true,,,false,false,1,,,,,,,,,5,90,30,,,false,,false,,,Dungeon,,600,600,,true,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,60,65,0,true,135,7,true,1,1,1,1,3,3,true,,,5,false,@ui_mount_summon_failed_dungeon,false,,DungeonReekwater00MaxRank,,,,,,,,,,,,true,Expedition,,,,,,,,
