Rank,ExceedMin0,ExceedMax0,FloorDistance,ChanceToExceed0,ChanceBump,ModifierAffectsBump,RollupChance,RollRangeMaxBonus,UmbralIncrementsLevel,CanUseUmbral,CanUseUmbralOnMinGS,CraftingAwardsUmbral,CraftingGSForRewards,ExceedMin1,ExceedMax1,ChanceToExceed1
500,2,5,0,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
501,2,5,1,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
502,2,5,2,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
503,2,5,3,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
504,2,5,4,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
505,2,5,5,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
506,2,5,6,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
507,2,5,7,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
508,2,5,8,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
509,2,5,9,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
510,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
511,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
512,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
513,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
514,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
515,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
516,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
517,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
518,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
519,2,5,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,5,0.01
520,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
521,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
522,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
523,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
524,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
525,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
526,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
527,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
528,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
529,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
530,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
531,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
532,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
533,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
534,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
535,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
536,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
537,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
538,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
539,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
540,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
541,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
542,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
543,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
544,2,4,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,4,0.01
545,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
546,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
547,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
548,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
549,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
550,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
