ItemSkinID,IndexID,IsEntitlement,FromItemIDs,NeedsOneClasses,RequiredClasses,ExcludedClasses,ToItemID,Outfit,IsTemporarySkin
WoodsmanHead,7,1,,EquippableHead,,,WoodsmanHead,Woodsman,false
WoodsmanChest,8,1,,EquippableChest,,,WoodsmanChest,Woodsman,false
WoodsmanHands,9,1,,EquippableHands,,,WoodsmanHands,Woodsman,false
WoodsmanLegs,10,1,,EquippableLegs,,,WoodsmanLegs,Woodsman,false
WoodsmanFeet,11,1,,EquippableFeet,,,WoodsmanFeet,Woodsman,false
WoodsmanHatchet,12,1,,EquippableMainHand,Hatchet,,WoodsmanHatchet,,false
ThespianHead,13,1,,EquippableHead,,,ThespianHead,Thespian,false
ThespianChest,14,1,,EquippableChest,,,ThespianChest,Thespian,false
ThespianHands,15,1,,EquippableHands,,,ThespianHands,Thespian,false
ThespianLegs,16,1,,EquippableLegs,,,ThespianLegs,Thespian,false
ThespianFeet,17,1,,EquippableFeet,,,ThespianFeet,Thespian,false
VioletRage,18,1,,EquippableMainHand,Sword,,VioletRage,,false
RunicFoxHead,24,1,,EquippableHead,,,RunicFoxHead,RunicFox,false
RunicFoxChest,25,1,,EquippableChest,,,RunicFoxChest,RunicFox,false
RunicFoxHands,26,1,,EquippableHands,,,RunicFoxHands,RunicFox,false
RunicFoxLegs,27,1,,EquippableLegs,,,RunicFoxLegs,RunicFox,false
RunicFoxFeet,28,1,,EquippableFeet,,,RunicFoxFeet,RunicFox,false
RunicJackalHead,29,1,,EquippableHead,,,RunicJackalHead,RunicJackal,false
RunicJackalChest,30,1,,EquippableChest,,,RunicJackalChest,RunicJackal,false
RunicJackalHands,31,1,,EquippableHands,,,RunicJackalHands,RunicJackal,false
RunicJackalLegs,32,1,,EquippableLegs,,,RunicJackalLegs,RunicJackal,false
RunicJackalFeet,33,1,,EquippableFeet,,,RunicJackalFeet,RunicJackal,false
RunicBearHead,34,1,,EquippableHead,,,RunicBearHead,RunicBear,false
RunicBearChest,35,1,,EquippableChest,,,RunicBearChest,RunicBear,false
RunicBearHands,36,1,,EquippableHands,,,RunicBearHands,RunicBear,false
RunicBearLegs,37,1,,EquippableLegs,,,RunicBearLegs,RunicBear,false
RunicBearFeet,38,1,,EquippableFeet,,,RunicBearFeet,RunicBear,false
HowlatDawn,39,1,,EquippableMainHand,Sword,,HowlatDawn,,false
DragonsCoil,40,1,,EquippableOffHand,Shield,,DragonsCoil,,false
TwinWolves,41,1,,EquippableTwoHand,2HHammer,,TwinWolves,,false
CrescentFang,42,1,,EquippableMainHand,Hatchet,,CrescentFang,,false
Gallantry,43,1,,EquippableMainHand,Sword,,Gallantry,,false
Crestoftheallsight,44,1,,EquippableOffHand,Shield,,CrestoftheAllsight,,false
GoldenColt,45,1,,EquippableMainHand,FireStaff,,GoldenColt,,false
WickedTyrant,46,1,,EquippableTwoHand,2HAxe,,WickedTyrant,,false
MonarchsMight,47,1,,EquippableTwoHand,2HHammer,,MonarchsMight,,false
GraveStakes,48,1,,EquippableMainHand,Sword,,GraveStakes,,false
RoyalCourtLightHead,49,1,,EquippableHead,,,RoyalCourtLightHead,RoyalCourtLight,false
RoyalCourtLightChest,50,1,,EquippableChest,,,RoyalCourtLightChest,RoyalCourtLight,false
RoyalCourtLightHands,51,1,,EquippableHands,,,RoyalCourtLightHands,RoyalCourtLight,false
RoyalCourtLightLegs,52,1,,EquippableLegs,,,RoyalCourtLightLegs,RoyalCourtLight,false
RoyalCourtLightFeet,53,1,,EquippableFeet,,,RoyalCourtLightFeet,RoyalCourtLight,false
RoyalCourtMediumHead,54,1,,EquippableHead,,,RoyalCourtMediumHead,RoyalCourtMedium,false
RoyalCourtMediumChest,55,1,,EquippableChest,,,RoyalCourtMediumChest,RoyalCourtMedium,false
RoyalCourtMediumHands,56,1,,EquippableHands,,,RoyalCourtMediumHands,RoyalCourtMedium,false
RoyalCourtMediumLegs,57,1,,EquippableLegs,,,RoyalCourtMediumLegs,RoyalCourtMedium,false
RoyalCourtMediumFeet,58,1,,EquippableFeet,,,RoyalCourtMediumFeet,RoyalCourtMedium,false
RoyalCourtHeavyHead,59,1,,EquippableHead,,,RoyalCourtHeavyHead,RoyalCourtHeavy,false
RoyalCourtHeavyChest,60,1,,EquippableChest,,,RoyalCourtHeavyChest,RoyalCourtHeavy,false
RoyalCourtHeavyHands,61,1,,EquippableHands,,,RoyalCourtHeavyHands,RoyalCourtHeavy,false
RoyalCourtHeavyLegs,62,1,,EquippableLegs,,,RoyalCourtHeavyLegs,RoyalCourtHeavy,false
RoyalCourtHeavyFeet,63,1,,EquippableFeet,,,RoyalCourtHeavyFeet,RoyalCourtHeavy,false
TwitchPirateHead,64,1,,EquippableHead,,,TwitchPirateHead,TwitchPirate,false
TwitchPirateChest,65,1,,EquippableChest,,,TwitchPirateChest,TwitchPirate,false
TwitchPirateHands,66,1,,EquippableHands,,,TwitchPirateHands,TwitchPirate,false
TwitchPirateLegs,67,1,,EquippableLegs,,,TwitchPirateLegs,TwitchPirate,false
TwitchPirateFeet,68,1,,EquippableFeet,,,TwitchPirateFeet,TwitchPirate,false
Skin_Rapier_Vinespun,69,1,,EquippableMainHand,Rapier,,Skin_Rapier_Vinespun,,false
Skin_WarHammer_Vinespun,70,1,,EquippableTwoHand,2HHammer,,Skin_WarHammer_Vinespun,,false
Skin_ShieldT_Vinespun,71,1,,EquippableOffHand,Shield,,Skin_ShieldT_Vinespun,,false
Skin_Spear_Vinespun,72,1,,EquippableTwoHand,Spear,,Skin_Spear_Vinespun,,false
Skin_ShieldR_Vinespun,73,1,,EquippableOffHand,Shield,,Skin_ShieldR_Vinespun,,false
Skin_Bow_Vinespun,74,1,,EquippableTwoHand,Bow,,Skin_Bow_Vinespun,,false
Skin_Firestaff_Vinespun,75,1,,EquippableMainHand,FireStaff,,Skin_Firestaff_Vinespun,,false
Skin_GreatAxe_Vinespun,76,1,,EquippableTwoHand,2HAxe,,Skin_GreatAxe_Vinespun,,false
Skin_Hatchet_Vinespun,77,1,,EquippableMainHand,Hatchet,,Skin_Hatchet_Vinespun,,false
Skin_IceGaunt_Vinespun,78,1,,EquippableMainHand,IceMagic,,Skin_IceGaunt_Vinespun,,false
Skin_ShieldK_Vinespun,79,1,,EquippableOffHand,Shield,,Skin_ShieldK_Vinespun,,false
Skin_Lifestaff_Vinespun,80,1,,EquippableMainHand,LifeStaff,,Skin_Lifestaff_Vinespun,,false
Skin_Longsword_Vinespun,81,1,,EquippableMainHand,Sword,,Skin_Longsword_Vinespun,,false
Skin_Musket_Vinespun,82,1,,EquippableTwoHand,Musket,,Skin_Musket_Vinespun,,false
Skin_Monster_GreatAxe,83,1,,EquippableTwoHand,2HAxe,,Skin_Monster_GreatAxe,,false
Skin_Monster_LifeStaff,84,1,,EquippableMainHand,LifeStaff,,Skin_Monster_LifeStaff,,false
Skin_Monster_WarHammer,85,1,,EquippableTwoHand,2HHammer,,Skin_Monster_WarHammer,,false
Skin_Monster_Musket,86,1,,EquippableTwoHand,Musket,,Skin_Monster_Musket,,false
Skin_AnglesDemon_FireStaff,87,1,,EquippableMainHand,FireStaff,,Skin_AnglesDemon_FireStaff,,false
Skin_AnglesDemon_LifeStaff,88,1,,EquippableMainHand,LifeStaff,,Skin_AnglesDemon_LifeStaff,,false
Skin_AnglesDemon_WarHammer,89,1,,EquippableTwoHand,2HHammer,,Skin_AnglesDemon_WarHammer,,false
