ItemID,Loc Note,DerivedFromText,DerivedFromIcon,RefinedAtText,RefinedAtLabelText,RefinedAtIcon,CanBeCraftedTextsSmall,CanBeCraftedIconsSmall,SpecialInstructions,UsedAtTexts,UsedAtIcons,CommonUsesLabelText,CommonUsesTextsLarge,CommonUsesIconsLarge,CommonUsesItemsLarge,CommonUsesTextsSmall,CommonUsesIconsSmall,CommonUsesItemsSmall,CanBeCraftedTextsLarge,CanBeCraftedIconsLarge,ResourcesLabelText,ResourcesTexts,ResourcesIcons,ResourcesAmounts,RefineryInputText,RefineryInputIcon,RefineryInputAmount,RefineryOutputText,RefineryOutputIcon,RefineryOutputAmount,MainHeaderIcon,ResourcesHeaderIcon
RawhideT1,Skinnable Creatures,@RawhideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawhideT4,Skinnable Creatures,@RawhideT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawhideT5,Skinnable Creatures,@RawhideT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RawhideT52,Skinnable Creatures,@RawhideT52_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FurT3,"FurrySkinnableCreatures,Uncommon",@FurT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FurT4,"FurrySkinnableCreatures,Uncommon",@FurT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FurT5,"FurrySkinnableCreatures,Uncommon",@FurT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT2,Tannery Tier 2,,,@LeatherT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT3,Tannery Tier 3,,,@LeatherT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT4,Tannery Tier 4,,,@LeatherT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT5,Tannery Tier 5,,,@LeatherT5_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT51,Tannery Tier 5,,,@LeatherT51_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeatherT52,Tannery Tier 5,,,@LeatherT52_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoneT1,Boulders,@StoneT1_DerivedFrom,,@StoneT1_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoneT4,Lodestones,@StoneT4_DerivedFrom,,@StoneT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT2,Stonecutter Tier 2,,,@BlockT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT3,Stonecutter Tier 3,,,@BlockT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT4,Stonecutter Tier 4,,,@BlockT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT5,Stonecutter Tier 5,,,@BlockT5_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT51,Stonecutter Tier 5,,,@BlockT51_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockT52,Stonecutter Tier 5,,,@BlockT52_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerfectSalvage_Timer,Stonecutter Tier 5,,,@PerfectSalvage_Timer_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlintT1,Found on the ground.,@FlintT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OreT1,Iron Veins,@OreT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OreT4,Starmetal Veins,@OreT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OreT5,Orichalcum Veins,@OreT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OreT52,Mythril Veins,@OreT52_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT2,Smelter Tier 2,,,@IngotT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT3,Smelter Tier 3,,,@IngotT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT4,Smelter Tier 4,,,@IngotT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT5,Smelter Tier 5,,,@IngotT5_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT51,Smelter Tier 5,,,@IngotT51_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotT52,Smelter Tier 5,,,@IngotT52_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrePreciousT1,Silver Veins,@OrePreciousT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrePreciousT2,Gold Veins,@OrePreciousT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrePreciousT3,Platinum Veins,@OrePreciousT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotPreciousT1,Smelter Tier 2,,,@IngotPreciousT1_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotPreciousT2,Smelter Tier 3,,,@IngotPreciousT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IngotPreciousT3,Smelter Tier 4,,,@IngotPreciousT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodT1,"Bushes,YoungTrees",@WoodT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodT2,Mature Trees,@WoodT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodT4,Wyrdwood Trees,@WoodT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodT5,Ironwood Trees,@WoodT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodT52,Runewood Trees,@WoodT52_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT2,Woodworking Tier 2,,,@TimberT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT3,Woodworking Tier 3,,,@TimberT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT4,Woodworking Tier 4,,,@TimberT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT5,Woodworking Tier 5,,,@TimberT5_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT51,Woodworking Tier 5,,,@TimberT51_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimberT52,Woodworking Tier 5,,,@TimberT52_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiberT1,Hemp Plants,@FiberT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiberT4,Silkweed Plants,@FiberT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiberT5,Wirefiber Plants,@FiberT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiberT52,Spinfiber Plants,@FiberT52_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT2,Loom Tier 2,,,@ClothT2_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT3,Loom Tier 3,,,@ClothT3_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT4,Loom Tier 4,,,@ClothT4_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT5,Loom Tier 5,,,@ClothT5_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT51,Loom Tier 5,,,@ClothT51_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothT52,Loom Tier 5,,,@ClothT52_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScalyHideT1,Alligators,@ScalyHideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandT1,,@SandT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandT2,,@SandT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandT3,,@SandT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
