FromItemId,ToItemId,KeepPerks,FeatureId
ArcanistCharmT2,ArcanistCharmT1,false,Default
ChefCharmT2,ChefCharmT1,false,Default
CorruptedMatterT1,CorruptedMatterT2,false,Default
JewelcrafterCharmT2,JewelcrafterCharmT1,false,Default
TravelersCharmT3,TravelersCharmT2,false,Default
ViscousAzothT1,ViscousAzothT2,false,Default
WrithingVinesT3,WrithingBriarT3,false,Default
WyrdwoodResinT2,ResinT1,false,Default
WyrdwoodResinT3,ResinT1,false,Default
Schematic_House_HousingItem_Table_StoneMasonTable_B,Schematic_House_HousingItem_Table_DinTable_Lg_A,false,Default
ArrowT1,ArrowT2,false,Default
KeyAmrine,AmrineKeyReplacement,false,Default
KeyShattered,StarstoneKeyReplacement,false,Default
KeyDepts,DepthsKeyReplacement,false,Default
KeyDynasty,DynastyKeyReplacement,false,Default
KeyGenesis,GenesisKeyReplacement,false,Default
KeyLazarus,LazarusKeyReplacement,false,Default
KeyIsabella,HeartKeyReplacement,false,Default
KeyMutator,MutatorKeyReplacement,false,Default
KeyPart_UndyingHeart,BreachDrop1,false,Default
KeyPart_CoreGenesis,BreachDrop2,false,Default
KeyPart_CoreLazarus,BreachDrop2,false,Default
KeyPart_CoreIsabella,BreachDrop2,false,Default
KeyMat_EdenTotem,BreachDrop1,false,Default
KeyMat_GreatCleaveRune,BreachDrop1,false,Default
KeyMat_ShatteredRune,BreachDrop1,false,Default
KeyMat_GlowingSpore,BreachDrop1,false,Default
BlightSeeds,BreachDrop0,false,Default
FoodSTRDEXT2,FoodSTRT2,false,Default
FoodSTRDEXT3,FoodSTRT3,false,Default
FoodSTRDEXT4,FoodSTRT4,false,Default
FoodSTRDEXT5,FoodSTRT5b,false,Default
FoodSTRINTT2,FoodSTRT2,false,Default
FoodSTRINTT3,FoodSTRT3,false,Default
FoodSTRINTT4,FoodSTRT4,false,Default
FoodSTRINTT5,FoodSTRT5b,false,Default
FoodSTRFOCT2,FoodSTRT2,false,Default
FoodSTRFOCT3,FoodSTRT3,false,Default
FoodSTRFOCT4,FoodSTRT4,false,Default
FoodSTRFOCT5,FoodSTRT5b,false,Default
FoodDEXSTRT2,FoodDEXT2,false,Default
FoodDEXSTRT3,FoodDEXT3,false,Default
FoodDEXSTRT4,FoodDEXT4,false,Default
FoodDEXSTRT5,FoodDEXT5b,false,Default
FoodDEXINTT2,FoodDEXT2,false,Default
FoodDEXINTT3,FoodDEXT3,false,Default
FoodDEXINTT4,FoodDEXT4,false,Default
FoodDEXINTT5,FoodDEXT5b,false,Default
FoodDEXFOCT2,FoodDEXT2,false,Default
FoodDEXFOCT3,FoodDEXT3,false,Default
FoodDEXFOCT4,FoodDEXT4,false,Default
FoodDEXFOCT5,FoodDEXT5b,false,Default
FoodINTSTRT2,FoodINTT2,false,Default
FoodINTSTRT3,FoodINTT3,false,Default
FoodINTSTRT4,FoodINTT4,false,Default
FoodINTSTRT5,FoodINTT5b,false,Default
FoodINTDEXT2,FoodINTT2,false,Default
FoodINTDEXT3,FoodINTT3,false,Default
FoodINTDEXT4,FoodINTT4,false,Default
FoodINTDEXT5,FoodINTT5b,false,Default
FoodINTFOCT2,FoodINTT2,false,Default
FoodINTFOCT3,FoodINTT3,false,Default
FoodINTFOCT4,FoodINTT4,false,Default
FoodINTFOCT5,FoodINTT5b,false,Default
FoodCONSTRT2,FoodCONT2,false,Default
FoodCONSTRT3,FoodCONT3,false,Default
FoodCONSTRT4,FoodCONT4,false,Default
FoodCONSTRT5,FoodCONT5b,false,Default
FoodCONDEXT2,FoodCONT2,false,Default
FoodCONDEXT3,FoodCONT3,false,Default
FoodCONDEXT4,FoodCONT4,false,Default
FoodCONDEXT5,FoodCONT5b,false,Default
FoodCONINTT2,FoodCONT2,false,Default
FoodCONINTT3,FoodCONT3,false,Default
FoodCONINTT4,FoodCONT4,false,Default
FoodCONINTT5,FoodCONT5b,false,Default
FoodCONFOCT2,FoodCONT2,false,Default
FoodCONFOCT3,FoodCONT3,false,Default
FoodCONFOCT4,FoodCONT4,false,Default
FoodCONFOCT5,FoodCONT5b,false,Default
FoodFOCSTRT2,FoodFOCT2,false,Default
FoodFOCSTRT3,FoodFOCT3,false,Default
FoodFOCSTRT4,FoodFOCT4,false,Default
FoodFOCSTRT5,FoodFOCT5b,false,Default
FoodFOCDEXT2,FoodFOCT2,false,Default_Transform
FoodFOCDEXT3,FoodFOCT3,false,Default_Transform
FoodFOCDEXT4,FoodFOCT4,false,Default_Transform
FoodFOCDEXT5,FoodFOCT5b,false,Default_Transform
FoodFOCINTT2,FoodFOCT2,false,Default_Transform
FoodFOCINTT3,FoodFOCT3,false,Default_Transform
FoodFOCINTT4,FoodFOCT4,false,Default_Transform
FoodFOCINTT5,FoodFOCT5b,false,Default_Transform
