LeaderboardStatId,Notes,Namespace,Rotation,StatType,Aggregation,ServiceStatId,CategoricalProgressionId,GameMode,Scope,PersonalBest
MonthWarDamageTaken,,pc,Month,GameModeFinalDamageTaken,Max,war-damage-taken,,War,Character,
SeasonWarDamageTaken,,pc,Season,GameModeFinalDamageTaken,Max,war-damage-taken,,War,Character,
MonthWarDamageDealt,,pc,Month,GameModeFinalDamageDealt,Max,war-damage-dealt,,War,Character,
SeasonWarDamageDealt,,pc,Season,GameModeFinalDamageDealt,Max,war-damage-dealt,,War,Character,
MonthWarHeals,,pc,Month,GameModeFinalAlliedHeals,Max,war-heals,,War,Character,
SeasonWarHeals,,pc,Season,GameModeFinalAlliedHeals,Max,war-heals,,War,Character,
MonthWarMaxKills,,pc,Month,GameModeFinalKills,Max,war-best-kills,,War,Character,
SeasonWarMaxKills,,pc,Season,GameModeFinalKills,Max,war-best-kills,,War,Character,
MonthWarKills,,pc,Month,Kills,Sum,war-kills,,War,Character,
SeasonWarKills,,pc,Season,Kills,Sum,war-kills,,War,Character,
MonthWarDeaths,,pc,Month,Deaths,Sum,war-deaths,,War,Character,
SeasonWarDeaths,,pc,Season,Deaths,Sum,war-deaths,,War,Character,
MonthWarResources,,pc,Month,GameModeFinalResources,Max,war-resources-contributed,,War,Character,
SeasonWarResources,,pc,Season,GameModeFinalResources,Max,war-resources-contributed,,War,Character,
MonthWarScore,,pc,Month,Score,Max,war-score,,War,Character,
SeasonWarScore,,pc,Season,Score,Max,war-score,,War,Character,
MonthWarWins,,pc,Month,Wins,Sum,war-wins,,War,Character,
SeasonWarWins,,pc,Season,Wins,Sum,war-wins,,War,Character,
MonthWarAttackerWins,,pc,Month,AttackerWins,Sum,war-attacking-wins,,War,Character,
SeasonWarAttackerWins,,pc,Season,AttackerWins,Sum,war-attacking-wins,,War,Character,
MonthWarDefenderWins,,pc,Month,DefenderWins,Sum,war-defensive-wins,,War,Character,
SeasonWarDefenderWins,,pc,Season,DefenderWins,Sum,war-defensive-wins,,War,Character,
MonthWarWinsCompany,,pc,Month,CompanyWins,Sum,company-war-wins,,War,Company,
SeasonWarWinsCompany,,pc,Season,CompanyWins,Sum,company-war-wins,,War,Company,
MonthWarAttackerWinsCompany,,pc,Month,CompanyAttackerWins,Sum,company-war-attacking-wins,,War,Company,
SeasonWarAttackerWinsCompany,,pc,Season,CompanyAttackerWins,Sum,company-war-attacking-wins,,War,Company,
MonthWarDefenderWinsCompany,,pc,Month,CompanyDefenderWins,Sum,company-war-defensive-wins,,War,Company,
SeasonWarDefenderWinsCompany,,pc,Season,CompanyDefenderWins,Sum,company-war-defensive-wins,,War,Company,
MonthWarWinsFaction,,pc,Month,CompanyWins,Sum,company-war-wins,,War,Global,
SeasonWarWinsFaction,,pc,Season,CompanyWins,Sum,company-war-wins,,War,Global,
MonthDefensiveWarWinsFaction,,pc,Month,CompanyDefenderWins,Sum,company-war-defensive-wins,,War,Global,
SeasonDefensiveWarWinsFaction,,pc,Season,CompanyDefenderWins,Sum,company-war-defensive-wins,,War,Global,
MonthAttackerWarWinsFaction,,pc,Month,CompanyAttackerWins,Sum,company-war-attacking-wins,,War,Global,
SeasonAttackerWarWinsFaction,,pc,Season,CompanyAttackerWins,Sum,company-war-attacking-wins,,War,Global,
WeekOutpostRushWins,,pc,Week,Wins,Sum,outpost-rush-wins,,OutpostRush,Character,
SeasonOutpostRushWins,,pc,Season,Wins,Sum,outpost-rush-wins,,OutpostRush,Character,
MonthOutpostRushHeals,,pc,Month,GameModeFinalAlliedHeals,Max,outpost-rush-heals,,OutpostRush,Character,
SeasonOutpostRushHeals,,pc,Season,GameModeFinalAlliedHeals,Max,outpost-rush-heals,,OutpostRush,Character,
MonthOutpostRushMaxKills,,pc,Month,GameModeFinalPlayerKills,Max,outpost-rush-best-kills,,OutpostRush,Character,
SeasonOutpostRushMaxKills,,pc,Season,GameModeFinalPlayerKills,Max,outpost-rush-best-kills,,OutpostRush,Character,
