LootLimitID,IsReplicated,MinLimitSeconds,MaxLimitSeconds,CountLimit,MinLimitMult,MaxLimitMult,LimitExpireSeconds,LootTagValuePerCount,LootTagValueOverrideAtLimit,LimitNotificationLocTag,AchievementAtLimit,IsAchievementBound,PityTickerOddsMod
ORGypsum,false,840,900,2,100,100,64800,,,,,,
GypsumBlue,false,170,180,2,400,400,64800,,,,,,
PostCapGypsum,false,3500,3600,1,20,20,64800,,,,,,
GypsumBlack,false,300,390,3,120,120,64800,,,,,,
GypsumYellow,false,0,0,15,64800,64800,64800,,,,,,
ArenaGypsum,false,3500,3600,2,20,20,64800,,,,,,
BreachGypsum,false,30,30,7,64800,64800,64800,,,,,,
WCGoldLockboxT1,false,0,0,3,64800,64800,64800,,,,,,
GypsumGreen,false,0,0,2,64800,64800,64800,,,,,,
GypsumRed,false,0,0,3,64800,64800,64800,,,,,,
GypsumGarnet,false,0,0,2,64800,64800,64800,,,,,,
GypsumPurple,false,0,0,10,64800,64800,64800,,,,,,
GypsumOrange,false,0,0,2,64800,64800,64800,,,,,,
GypsumWhite,false,0,0,6,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL1,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL10,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL20,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL30,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL40,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL50,false,0,0,3,64800,64800,64800,,,,,,
BagofJuniperBerriesLVL60,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL10,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL20,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL30,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL40,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL50,false,0,0,3,64800,64800,64800,,,,,,
RitualPouchLVL60,false,0,0,3,64800,64800,64800,,,,,,
RabbitSeasonTotem,false,0,0,5,64800,64800,64800,,,,,,
House_HousingItem_Storage_T4_ChestRabbit,false,0,0,1,2678400,2678400,2678400,,,,,,
BagofEarthGiftsLVL1,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL10,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL20,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL30,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL40,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL50,false,0,0,3,64800,64800,64800,,,,,,
BagofEarthGiftsLVL60,false,0,0,3,64800,64800,64800,,,,,,
DarknessCoinBag,false,0,0,2,64800,64800,64800,,,,,,
PvP_FortTakeover_Limit,false,0,0,10,86400,86400,86400,,,@ui_reached_max_fort_takeover_rewards,,,
PvP_InfluenceTowerTakeover_Limit,false,0,0,1,300,300,300,,,@ui_reached_max_influencetower_takeover_rewards,,,
SoloShard,false,0,0,1,86400,86400,86400,,,,,,
1hSkinningKnifeT5_TurkeyTerror,false,0,0,1,2678400,2678400,2678400,,,,,,
CoatingBeastTurkeyT5,false,0,0,5,86400,86400,86400,,,,,,
PotionFamilyWardBeastTurkeyT5,false,0,0,5,86400,86400,86400,,,,,,
MassiveTurkeyLegT5,false,0,0,5,86400,86400,86400,,,,,,
House_HousingItem_Buff_SPECIAL_Food_TurkeyTerror_T1,false,0,0,1,2678400,2678400,2678400,,,,,,
House_HousingItem_Pet_Holiday_Turkey_Pilgrim,false,0,0,1,2678400,2678400,2678400,,,,,,
House_HousingItem_Chair_HolidayTurkey2022_EggStool01,false,0,0,1,604800,604800,604800,,,,,,
Skin_Feet_TurkeyTerror_Box,false,0,0,1,0,0,0,,,,,,
Kill_TerrorTurkey,false,0,0,15,2678400,2678400,2678400,,,,,,
ConcealedVaultLVL1,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL10,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL20,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL30,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL40,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL50,false,0,0,3,64800,64800,64800,,,,,,
ConcealedVaultLVL60,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL1,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL10,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL20,false,0,0,3,64800,64800,64800,,,,,,
