LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
OmegaWeaponsDamage,AND,AddToRoll,,,,,,,,Omega_Longsword_Damage,,,Omega_Hatchet_Damage,,,Omega_Warhammer_Damage,,,Omega_Greataxe_Damage,,,Omega_Bow_Damage,,,Omega_Musket_Damage,,,Omega_ShieldRound_Damage,,,Omega_ShieldKite_Damage,,,Omega_ShieldTower_Damage,,,Omega_StaffFire_Damage,,,Omega_StaffLife_Damage,,,Omega_Spear_Damage,,,Omega_Rapier_Damage,,,Omega_GauntletIce_Damage,,,Omega_GauntletVoid_Damage,,,ArrowT5,,,ShotT5,,,Omega_Blunderbuss_Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaWeaponsDamage_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1000,,,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaWeaponsDamage_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaGems,AND,AddToRoll,,,,,,,,OnyxCutT4,,,OpalCutT4,,,SapphireCutT4,,,RubyCutT4,,,JasperCutT4,,,EmeraldCutT4,,,MoonstoneCutT4,,,TopazCutT4,,,AmethystCutT4,,,MalachiteCutT4,,,AquamarineCutT4,,,DiamondCutT4,,,CarnelianCutT4,,,AmberCutT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaGems_Qty,,,,,,,,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaGems_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaConsumables,AND,AddToRoll,,,,,,,,FoodHealthRecoveryT5,,,PotionHealthT5,,,PotionManaT5,,,HoningStoneT5,,,FoodSTRT5,,,FoodDEXT5,,,FoodINTT5,,,FoodFOCT5,,,FoodCONT5,,,CoatingLostT5,,,CoatingCorruptedT5,,,CoatingAncientT5,,,CoatingAngryEarthT5,,,TinctureCorruptionT5,,,TinctureBlightT5,,,PotionregenT4,,,GemstonedustT5,,,OakfleshbalmT5,,,Omega_Azoth_Vial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaConsumables_Qty,,,,,,,,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaConsumables_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmegaTools,AND,AddToRoll,,,,,,,,Omega_AzothStaff_T5,,,Omega_SkinningKnife_T5,,,Omega_HarvestingSickle_T5,,,Omega_LumberAxe_T5,,,Omega_MiningPick_T5,,,Omega_FishingPole_T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
