LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33,Item34,GearScoreRange34,PerkOverrides34,Item35,GearScoreRange35,PerkOverrides35,Item36,GearScoreRange36,PerkOverrides36,Item37,GearScoreRange37,PerkOverrides37,Item38,GearScoreRange38,PerkOverrides38,Item39,GearScoreRange39,PerkOverrides39,Item40,GearScoreRange40,PerkOverrides40,Item41,GearScoreRange41,PerkOverrides41,Item42,GearScoreRange42,PerkOverrides42,Item43,GearScoreRange43,PerkOverrides43,Item44,GearScoreRange44,PerkOverrides44,Item45,GearScoreRange45,PerkOverrides45,Item46,GearScoreRange46,PerkOverrides46,Item47,GearScoreRange47,PerkOverrides47,Item48,GearScoreRange48,PerkOverrides48,Item49,GearScoreRange49,PerkOverrides49,Item50,GearScoreRange50,PerkOverrides50,Item51,GearScoreRange51,PerkOverrides51,Item52,GearScoreRange52,PerkOverrides52,Item53,GearScoreRange53,PerkOverrides53,Item54,GearScoreRange54,PerkOverrides54,Item55,GearScoreRange55,PerkOverrides55,Item56,GearScoreRange56,PerkOverrides56,Item57,GearScoreRange57,PerkOverrides57,Item58,GearScoreRange58,PerkOverrides58
PlaytestTuningOrbs,AND,AddToRoll,,,,,,,,KeyAmrine,,,KeyShattered,,,KeyDepts,,,KeyDynasty,,,KeyGenesis,,,KeyLazarus,,,Reekwater05WC10BossKey,,,Reekwater05WC11BossKey,,,SprigganKey,,,KeyIsabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTuningOrbs_Qty,,,,,,,,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTuningOrbs_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTrialTuningOrbs,AND,AddToRoll,,,,,,,,Reekwater05WC10BossKey,,,Reekwater05WC11BossKey,,,SprigganKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTrialTuningOrbs_Qty,,,,,,,,,,10,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTrialTuningOrbs_Probs,,,,,,,,,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T1,AND,AddToRoll,,,,,,,,RuneCannonBlastT1,,,RuneDetonateT1,,,RuneGraspingVinesT1,,,RuneHereticsFallT1,,,RuneStoneFormT1,,,RuneBileBombT1,,,RuneFireStormT1,,,RuneSandwormT1,,,RuneBeastModeT1,,,RuneSpinningSwordsT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T1_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T1_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T2,AND,AddToRoll,,,,,,,,RuneCannonBlastT2,,,RuneDetonateT2,,,RuneGraspingVinesT2,,,RuneHereticsFallT2,,,RuneStoneFormT2,,,RuneBileBombT2,,,RuneFireStormT2,,,RuneSandwormT2,,,RuneBeastModeT2,,,RuneSpinningSwordsT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T2_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHeartgemRunes_T2_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
