LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
MasterSalvageArmorLarge,OR,AddToRoll,SalvageItemTier,TRUE,,,,,,[LTID]SalvageArmorTier1Large,,,[LTID]SalvageArmorTier2Large,,,[LTID]SalvageArmorTier3Large,,,[LTID]SalvageArmorTier4Large,,,[LTID]SalvageArmorTier5Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasterSalvageArmorLarge_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasterSalvageArmorLarge_Probs,,,,,,,,,0,1,,,2,,,3,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier1Large,OR,AddToRoll,SalvageItemRarity,TRUE,,,,,,[LTID]SalvageArmorTier1Rareity0Large,,,[LTID]SalvageArmorTier1Rareity1Large,,,[LTID]SalvageArmorTier1Rareity2Large,,,[LTID]SalvageArmorTier1Rareity3Large,,,[LTID]SalvageArmorTier1Rareity4Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier1Large_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier1Large_Probs,,,,,,,,,0,0,,,1,,,2,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier2Large,OR,AddToRoll,SalvageItemRarity,TRUE,,,,,,[LTID]SalvageArmorTier2Rareity0Large,,,[LTID]SalvageArmorTier2Rareity1Large,,,[LTID]SalvageArmorTier2Rareity2Large,,,[LTID]SalvageArmorTier2Rareity3Large,,,[LTID]SalvageArmorTier2Rareity4Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier2Large_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier2Large_Probs,,,,,,,,,0,0,,,1,,,2,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalvageArmorTier3Large,OR,AddToRoll,SalvageItemRarity,TRUE,,,,,,[LTID]SalvageArmorTier3Rareity0Large,,,[LTID]SalvageArmorTier3Rareity1Large,,,[LTID]SalvageArmorTier3Rareity2Large,,,[LTID]SalvageArmorTier3Rareity3Large,,,[LTID]SalvageArmorTier3Rareity4Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
