ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
May2023_Container,@May2023_Container_MasterName,Resource,@ui_itemtypedescription_resource,@May2023_Container_Description,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]May2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Chest_MedievalHistoric_HounSkull,@Skin_Chest_MedievalHistoric_HounSkull_MasterName,Armor,,@Skin_Chest_MedievalHistoric_HounSkull_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedHounskull_chest,f_HistoricMedHounskull_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_MedievalHistoric_HounSkull,@Skin_Head_MedievalHistoric_HounSkull_MasterName,Armor,,@Skin_Head_MedievalHistoric_HounSkull_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedHounskull_head,f_HistoricMedHounskull_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_MedievalHistoric_HounSkull,@Skin_Legs_MedievalHistoric_HounSkull_MasterName,Armor,,@Skin_Legs_MedievalHistoric_HounSkull_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedHounskull_legs,f_HistoricMedHounskull_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_MedievalHistoric_HounSkull,@Skin_Feet_MedievalHistoric_HounSkull_MasterName,Armor,,@Skin_Feet_MedievalHistoric_HounSkull_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedHounskull_feet,f_HistoricMedHounskull_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_MedievalHistoric_HounSkull,@Skin_Hands_MedievalHistoric_HounSkull_MasterName,Armor,,@Skin_Hands_MedievalHistoric_HounSkull_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedHounskull_gloves,f_HistoricMedHounskull_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_MedievalHistoric_DarkHorns,@Skin_Chest_MedievalHistoric_DarkHorns_MasterName,Armor,,@Skin_Chest_MedievalHistoric_DarkHorns_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedDarkHorns_chest,f_HistoricMedDarkHorns_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_MedievalHistoric_DarkHorns,@Skin_Head_MedievalHistoric_DarkHorns_MasterName,Armor,,@Skin_Head_MedievalHistoric_DarkHorns_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedDarkHorns_head,f_HistoricMedDarkHorns_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_MedievalHistoric_DarkHorns,@Skin_Legs_MedievalHistoric_DarkHorns_MasterName,Armor,,@Skin_Legs_MedievalHistoric_DarkHorns_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedDarkHorns_legs,f_HistoricMedDarkHorns_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_MedievalHistoric_DarkHorns,@Skin_Feet_MedievalHistoric_DarkHorns_MasterName,Armor,,@Skin_Feet_MedievalHistoric_DarkHorns_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_HistoricMedDarkHorns_feet,f_HistoricMedDarkHorns_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
