ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Oct2023_Container,@Oct2023_Container_PrimaryName,Resource,@ui_itemtypedescription_resource,@Oct2023_Container_PrimaryDesc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Oct2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Head_Oct2023_SeanceMask01,@Skin_Head_Oct2023_SeanceMask01_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskWoodBeak_head,f_SeanceMaskWoodBeak_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask02,@Skin_Head_Oct2023_SeanceMask02_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskDemon_head,f_SeanceMaskDemon_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask03,@Skin_Head_Oct2023_SeanceMask03_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskOilSlick_head,f_SeanceMaskOilSlick_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask04,@Skin_Head_Oct2023_SeanceMask04_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskBoneWeave_head,f_SeanceMaskBoneWeave_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask05,@Skin_Head_Oct2023_SeanceMask05_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskLeatherTeeth_head,f_SeanceMaskLeatherTeeth_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask06,@Skin_Head_Oct2023_SeanceMask06_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskCarvedBone_head,f_SeanceMaskCarvedBone_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask07,@Skin_Head_Oct2023_SeanceMask07_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskRedWax_head,f_SeanceMaskRedWax_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceMask08,@Skin_Head_Oct2023_SeanceMask08_MasterName,Armor,,@Skin_Head_Oct2023_SeanceMask01_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceMaskSkullLocks_head,f_SeanceMaskSkullLocks_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Oct2023_SeanceLight,@Skin_Head_Oct2023_SeanceLight_MasterName,Armor,,@Skin_Head_Oct2023_SeanceLight_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceLight_head,f_SeanceLight_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_Oct2023_SeanceLight,@Skin_Chest_Oct2023_SeanceLight_MasterName,Armor,,@Skin_Chest_Oct2023_SeanceLight_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceLight_chest,f_SeanceLight_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_Oct2023_SeanceLight,@Skin_Hands_Oct2023_SeanceLight_MasterName,Armor,,@Skin_Hands_Oct2023_SeanceLight_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_SeanceLight_gloves,f_SeanceLight_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
