ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Jan2025_Container,@Jan2025_Container_Name,Resource,@ui_itemtypedescription_resource,@Jan2025_Container_Desc,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Jan2025Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_MTX_Valkyrie_Feathered_chest,@Skin_MTX_Valkyrie_Feathered_chest_Name,Armor,,@Skin_MTX_Valkyrie_Feathered_Desc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Feathered_chest,f_Valkyrie_Feathered_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Feathered_head,@Skin_MTX_Valkyrie_Feathered_head_Name,Armor,,@Skin_MTX_Valkyrie_Feathered_Desc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Feathered_head,f_Valkyrie_Feathered_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Feathered_legs,@Skin_MTX_Valkyrie_Feathered_legs_Name,Armor,,@Skin_MTX_Valkyrie_Feathered_Desc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Feathered_legs,f_Valkyrie_Feathered_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Feathered_feet,@Skin_MTX_Valkyrie_Feathered_feet_Name,Armor,,@Skin_MTX_Valkyrie_Feathered_Desc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Feathered_feet,f_Valkyrie_Feathered_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Feathered_hands,@Skin_MTX_Valkyrie_Feathered_hands_Name,Armor,,@Skin_MTX_Valkyrie_Feathered_Desc,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Feathered_gloves,f_Valkyrie_Feathered_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Coiled_chest,@Skin_MTX_Valkyrie_Coiled_chest_Name,Armor,,@Skin_MTX_Valkyrie_Coiled_Desc,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Coiled_chest,f_Valkyrie_Coiled_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Coiled_head,@Skin_MTX_Valkyrie_Coiled_head_Name,Armor,,@Skin_MTX_Valkyrie_Coiled_Desc,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Coiled_head,f_Valkyrie_Coiled_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Coiled_legs,@Skin_MTX_Valkyrie_Coiled_legs_Name,Armor,,@Skin_MTX_Valkyrie_Coiled_Desc,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Coiled_legs,f_Valkyrie_Coiled_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_MTX_Valkyrie_Coiled_feet,@Skin_MTX_Valkyrie_Coiled_feet_Name,Armor,,@Skin_MTX_Valkyrie_Coiled_Desc,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_Valkyrie_Coiled_feet,f_Valkyrie_Coiled_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
