ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
WoodsmanHead,@WoodsmanHead_MasterName,Armor,,@WoodsmanHead_Description,EquippableHead,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,WoodsmanHead,F_WoodsmanHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodsmanChest,@WoodsmanChest_MasterName,Armor,,@WoodsmanChest_Description,EquippableChest,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,ChestLong,,WoodsmanChest,F_WoodsmanChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodsmanHands,@WoodsmanHands_MasterName,Armor,,@WoodsmanHands_Description,EquippableHands,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,WoodsmanHands,F_WoodsmanHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodsmanLegs,@WoodsmanLegs_MasterName,Armor,,@WoodsmanLegs_Description,EquippableLegs,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,WoodsmanLegs,F_WoodsmanLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodsmanFeet,@WoodsmanFeet_MasterName,Armor,,@WoodsmanFeet_Description,EquippableFeet,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,WoodsmanFeet,F_WoodsmanFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodsmanHatchet,@WoodsmanHatchet_MasterName,Weapon,,@WoodsmanHatchet_Description,EquippableMainHand+Hatchet+Melee,,,,,,,,,,Skin_Hatchet,,,,,,,,,,,,,,,,,,,,,ThrowingAxe,UI_Weapon,,,WoodsmanHatchet,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThespianHead,@ThespianHead_MasterName,Armor,,@ThespianHead_Description,EquippableHead,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,TwitchArmor_Hat,F_TwitchArmor_Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThespianChest,@ThespianChest_MasterName,Armor,,@ThespianChest_Description,EquippableChest,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,TwitchArmor_Shirt,F_TwitchArmor_Shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThespianHands,@ThespianHands_MasterName,Armor,,@ThespianHands_Description,EquippableHands,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,TwitchArmor_Gloves,F_TwitchArmor_Gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThespianLegs,@ThespianLegs_MasterName,Armor,,@ThespianLegs_Description,EquippableLegs,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,TwitchArmor_Pants,F_TwitchArmor_Pants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThespianFeet,@ThespianFeet_MasterName,Armor,,@ThespianFeet_Description,EquippableFeet,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,TwitchArmor_Boots,F_TwitchArmor_Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VioletRage,@VioletRage_MasterName,Weapon,,@VioletRage_Description,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,Longsword,UI_Weapon,,,VioletRage,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicFoxHead,@RunicFoxHead_MasterName,Armor,,@RunicFoxHead_Description,EquippableHead,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_light_head,f_viking_light_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicFoxChest,@RunicFoxChest_MasterName,Armor,,@RunicFoxChest_Description,EquippableChest,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_light_chest,f_viking_light_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicFoxHands,@RunicFoxHands_MasterName,Armor,,@RunicFoxHands_Description,EquippableHands,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_light_hands,f_viking_light_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicFoxLegs,@RunicFoxLegs_MasterName,Armor,,@RunicFoxLegs_Description,EquippableLegs,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_light_legs,f_viking_light_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicFoxFeet,@RunicFoxFeet_MasterName,Armor,,@RunicFoxFeet_Description,EquippableFeet,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_light_feet,f_viking_light_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicJackalHead,@RunicJackalHead_MasterName,Armor,,@RunicJackalHead_Description,EquippableHead,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,HeadHat,,m_viking_medium_head,f_viking_medium_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicJackalChest,@RunicJackalChest_MasterName,Armor,,@RunicJackalChest_Description,EquippableChest,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_viking_medium_chest,f_viking_medium_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicJackalHands,@RunicJackalHands_MasterName,Armor,,@RunicJackalHands_Description,EquippableHands,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_medium_hands,f_viking_medium_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicJackalLegs,@RunicJackalLegs_MasterName,Armor,,@RunicJackalLegs_Description,EquippableLegs,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_medium_legs,f_viking_medium_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicJackalFeet,@RunicJackalFeet_MasterName,Armor,,@RunicJackalFeet_Description,EquippableFeet,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_medium_feet,f_viking_medium_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
