NPAId,ReqAchievementConditional,ObjectiveFlow,ReqStatusEffectId
*SwapActive_18064_Charon,17_PQ_Vector_Start,,
*SwapActive_18034_Morgaine,17_PQ_Vector_Start&&!*SwapActive_18034_Morgaine_off,,
*SwapActive_18034_Morgaine_off,,u:Quest_18009/Quest_18009_Task_1:c,
*SwapActive_18035_Morgaine,,"u:Quest_18009/Quest_18009_Task_1,l:Quest_18013",
*SwapActive_18028_Lynette,,"u:Quest_18009/Quest_18009_Task_1,l:Quest_18010/Quest_18010_Task_6",
*SwapActive_18059_Lynette,,"u:Quest_18010/Quest_18010_Task_6:c,l:Quest_18010/Quest_18010_Task_4:c",
*SwapActive_18054_Oprea,,u:Quest_18010,
*SwapActive_18055_Lepadat,,u:Quest_18010,
*SwapActive_18042_Namkuzu,,"u:Quest_18010,l:Quest_18013",
*SwapActive_18029_Lynette,,"u:Quest_18010/Quest_18010_Task_4,l:Quest_18012",
*SwapActive_18000_Alecksi,,"u:Quest_18011,l:Quest_18011/Quest_18011_Task_16",
*SwapActive_18063_Istvan,,"u:Quest_18011,l:Quest_18011/Quest_18011_Task_16",
*SwapActive_18001_Alecksi,,"u:Quest_18011/Quest_18011_Task_16,l:Quest_18012/Quest_18012_Task_5",
*SwapActive_18030_Lynette,,"u:Quest_18012,l:Quest_18013/Quest_18013_Task_2",
*SwapActive_18002_Alecksi,,"u:Quest_18012/Quest_18012_Task_5,l:Quest_18013/Quest_18013_Task_2",
*SwapActive_18036_Morgaine,,"u:Quest_18013,l:Quest_18013/Quest_18013_Task_3",
*SwapActive_18043_Namkuzu,,"u:Quest_18013,l:Quest_18013/Quest_18013_Task_4:c",
*SwapActive_18044_Namkuzu,,"u:Quest_18013/Quest_18013_Task_3,l:Quest_18014/Quest_18014_Task_2:c",
*SwapActive_18024_FortuneMother,,"u:Quest_18013,l:Quest_18014/Quest_18014_Task_1",
*SwapActive_18045_Namkuzu,,"u:Quest_18014,l:Quest_18014/Quest_18014_Task_3:c",
*SwapActive_18060_Namkuzu,,"u:Quest_18014,l:Quest_18015/Quest_18015_Task_1:c",
*SwapActive_18037_Morgaine,,"u:Quest_18014,l:Quest_18016",
*SwapActive_18025_FortuneMother,,"u:Quest_18014/Quest_18014_Task_1,l:Quest_18016/Quest_18016_Task_1:c",
*SwapActive_18046_Namkuzu,,"u:Quest_18015/Quest_18015_Task_1,l:Quest_18016/Quest_18016_Task_2",
*SwapActive_18047_Namkuzu,,"u:Quest_18016/Quest_18016_Task_2,l:Quest_18018",
*SwapActive_18026_FortuneMother,,"u:Quest_18016/Quest_18016_Task_1,l:Quest_18018",
*SwapActive_18038_Morgaine,,"u:Quest_18016,l:Quest_18017/Quest_18017_Task_1",
*SwapActive_18003_Alecksi,,"u:Quest_18017,l:Quest_18017/Quest_18017_Task_5",
*SwapActive_18006_Cecilia,,"u:Quest_18017/Quest_18017_Task_13_0_0,l:Quest_18018/Quest_18018_Task_1",
*SwapActive_18049_LordGalbrion,,"u:Quest_18017/Quest_18017_Task_1_0,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18050_VolosDragomir,,"u:Quest_18017/Quest_18017_Task_1,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18051_LordVarlaam,,"u:Quest_18017/Quest_18017_Task_1_0,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18052_LordBathory,,"u:Quest_18017/Quest_18017_Task_1_0,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18053_LadyCarmilla,,"u:Quest_18017/Quest_18017_Task_1_0,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18004_Alecksi,,"u:Quest_18017/Quest_18017_Task_5,l:Quest_18017/Quest_18017_Task_10:c",
*SwapActive_18005_Alecksi,,"u:Quest_18017/Quest_18017_Task_10:c,l:Quest_18018/Quest_18018_Task_1:c",
*SwapActive_18031_Lynette,,"u:Quest_18018,l:Quest_18020,u:Quest_18020/Quest_18020_Task_5",
*SwapActive_18039_Morgaine,,"u:Quest_18018,l:Quest_18018/Quest_18018_Task_2_0",
*SwapActive_18007_Cecilia,,"u:Quest_18018,l:Quest_18018/Quest_18018_Task_5:c",
*SwapActive_18056_Voicu,,"u:Quest_18018/Quest_18018_Task_7,l:Quest_18019",
*SwapActive_18057_Mierla,,"u:Quest_18018/Quest_18018_Task_9,l:Quest_18019",
*SwapActive_18040_Morgaine,,"u:Quest_18018/Quest_18018_Task_6,l:Quest_18018/Quest_18018_Task_18:c",
*SwapActive_18008_Cecilia,,"u:Quest_18018/Quest_18018_Task_5,l:Quest_18019/Quest_18019_Task_1:c",
*SwapActive_18009_Cecilia,,"u:Quest_18019/Quest_18019_Task_2_0:c,l:Quest_18020/Quest_18020_Task_1:c",
*SwapActive_18032_Lynette,,"u:Quest_18020,l:Quest_18020/Quest_18020_Task_11:c",
*SwapActive_18033_Lynette,,"u:Quest_18020/Quest_18020_Task_11,l:Quest_18020/Quest_18020_Task_5",
*SwapActive_18010_Cecilia,,"u:Quest_18020/Quest_18020_Task_1,l:Quest_18020/Quest_18020_Task_9:c",
*SwapActive_18011_Cecilia,,"u:Quest_18020/Quest_18020_Task_9:c,l:Quest_18021",
*SwapActive_18012_Cecilia,,"u:Quest_18020/Quest_18020_Task_8,l:Quest_18021/Quest_18021_Task_1:c",
*SwapActive_18013_Cecilia,,"u:Quest_18021/Quest_18021_Task_1,l:Quest_18028/Quest_18028_Task_5:c",
*SwapActive_18014_Cecilia,,"u:Quest_18028/Quest_18028_Task_5,l:Quest_18022/Quest_18022_Task_1:c",
*SwapActive_18015_Cecilia,,"u:Quest_18022,l:Quest_18022/Quest_18022_Task_3:c",
*SwapActive_18016_Cecilia,,"u:Quest_18022/Quest_18022_Task_3:c,l:Quest_18023/Quest_18023_Task_1",
*SwapActive_18048_Namkuzu,,u:Quest_18018,
*SwapActive_18041_Morgaine,,u:Quest_18026/Quest_18026_Task_1:c,
*SwapActive_18027_FortuneMother,,u:Quest_18018,
*SwapActive_18061_Namkuzu,,"u:Quest_18029/Quest_18029_Task_1,l:Quest_18030/Quest_18030_Task_1:c",
*SwapActive_18017_Cecilia,,"u:Quest_18030,l:Quest_18024",
*SwapActive_18018_Cecilia,,"u:Quest_18024,l:Quest_18024/Quest_18024_Task_5",
*SwapActive_18062_Cecilia,,"u:Quest_18024/Quest_18024_Task_5,l:Quest_18031/Quest_18031_Task_1:c",
*SwapActive_18019_Cecilia,,"u:Quest_18031/Quest_18031_Task_1:c,l:Quest_18031/Quest_18031_Task_9",
*SwapActive_18020_Cecilia,,"u:Quest_18031/Quest_18031_Task_9,l:Quest_18025/Quest_18025_Task_3:c",
*SwapActive_18021_Cecilia,,"u:Quest_18025/Quest_18025_Task_3,l:Quest_18025/Quest_18025_Task_5:c",
*SwapActive_18022_Cecilia,,"u:Quest_18025/Quest_18025_Task_5:c,l:Quest_18026/Quest_18026_Task_1:c",
*SwapActive_18023_Cecilia,,u:Quest_18026/Quest_18026_Task_1,
*NPA_UnitTest_ReqAchCond_1,debug_11,,
*NPA_UnitTest_ReqAchCond_2,!debug_11,,
*NPA_UnitTest_ReqAchCond_3,*NPA_UnitTest_ReqAchCond_1,,
*NPA_UnitTest_ReqAchCond_4,!*NPA_UnitTest_ReqAchCond_1,,
*NPA_UnitTest_ReqAchCond_5,debug_12,,
*NPA_UnitTest_ReqAchCond_6,!debug_12,,
*NPA_UnitTest_ReqAchCond_7,*NPA_UnitTest_ReqAchCond_5,,
*NPA_UnitTest_ReqAchCond_8,!*NPA_UnitTest_ReqAchCond_5,,
*NPA_UnitTest_ReqAchCond_9,debug_11 && debug_12,,
*NPA_UnitTest_ReqAchCond_10,debug_11 && *NPA_UnitTest_ReqAchCond_5,,
*NPA_UnitTest_ReqAchCond_11,*NPA_UnitTest_ReqAchCond_1 && *NPA_UnitTest_ReqAchCond_5,,
