NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
0502_Magistrate,@0502_Magistrate_Title,@0502_Magistrate,,0502_00_Magistrate,0502_01_Magistrate,0502_02_Magistrate,0502_03_Magistrate,0502_04_Magistrate,0502_05_Magistrate,0502_06_Magistrate,0502_07_Magistrate,,,,,,,,,,,,
0503_Survivalist,@0503_Survivalist_Title,@0503_Survivalist,,0503_00_Survivalist,0503_01_Survivalist,0503_02_Survivalist,0503_03_Survivalist,0503_04_Survivalist,0503_05_Survivalist,0503_06_Survivalist,,,,,,,,,,,,,
0504_Overseer,@0504_Overseer_Title,@0504_Overseer,,0504_00_Overseer,0504_01_Overseer,0504_01a_Overseer,0504_02_Overseer,0504_03_Overseer,0504_04_Overseer,0504_05_Overseer,,,,,,,,,,,,,
0505_Artificer,@0505_Artificer_Title,@0505_Artificer,,0505_00_Artificer,0505_01_Artificer,0505_02_Artificer,0505_03_Artificer,0505_04_Artificer,,,,,,,,,,,,,,,
0511_Stranger,@0511_Stranger_Title,@0511_Stranger,,0511_00_Stranger,0511_01_Stranger,0511_02_Stranger,0511_03_Stranger,0511_04_Stranger,,,,,,,,,,,,,,,
0524_Stranger,@0524_Stranger_Title,@0524_Stranger,,0524_00_Stranger,0524_01_Stranger,0524_02_Stranger,0524_03_Stranger,0524_04_Stranger,,,,,,,,,,,,,,,
0507_Commander,@0507_Commander_Title,@0507_Commander,,0507_00_Commander,0507_01pre_Commander,0507_01_Commander,0507_02_Commander,0507_03_Commander,,,,,,,,,,,,,,,
0509_Adjudicator,@0509_Adjudicator_Title,@0509_Adjudicator,,0509_00_Adjudicator,0509_01pre_Adjudicator,0509_01_Adjudicator,0509_02_Adjudicator,0509_03_Adjudicator,,,,,,,,,,,,,,,
0510_Barkeep,@0510_Barkeep_Title,@0510_Barkeep,,0510_00_Barkeep,0510_01_Barkeep,,,,,,,,,,,,,,,,,,
0522_Innkeep,@0522_Innkeep_Title,@0522_Innkeep,,0522_00_Innkeep,,,,,,,,,,,,,,,,,,,
0523_Fisher,@0523_Fisher_Title,@0523_Fisher,,0523_00_Fisher,0523_01_Fisher,0523_02_Fisher,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_01,@Reekwater_Dungeon_Scylla_Title,@Reekwater_Dungeon_Scylla,,Reekwater_Dungeon_Scylla_01,,,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_02,@Reekwater_Dungeon_Scylla_Title,@Reekwater_Dungeon_Scylla,,Reekwater_Dungeon_Scylla_02,,,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_03,@Reekwater_Dungeon_Scylla_Title,@Reekwater_Dungeon_Scylla,,Reekwater_Dungeon_Scylla_03,,,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_04,@Reekwater_Dungeon_Scylla_Title,@Reekwater_Dungeon_Scylla,,Reekwater_Dungeon_Scylla_04,,,,,,,,,,,,,,,,,,,
0508_Alchemist,@0508_Alchemist_Title,@0508_Alchemist,,0508_00_Alchemist,0508_01pre_Alchemist,0508_01_Alchemist,0508_02_Alchemist,0508_03_Alchemist,0508_04pre_Alchemist,0508_04_Alchemist,0508_05pre_Alchemist,0508_05_Alchemist,,,,,,,,,,,
