NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
0823_Fisher,@0823_Fisher_t,@0823_Fisher,,0823_00_Fisher,0823_01_Fisher,0823_02_Fisher,,,,,,,,,,,,,,,,,
0803_Survivalist,@0803_Survivalist_t,@0803_Survivalist,,0803_00_Survivalist,0803_01_Survivalist,0803_02_Survivalist,0803_03_Survivalist,,,,,,,,,,,,,,,,
0808_Alchemist,@0808_Alchemist_t,@0808_Alchemist,,0808_00_Alchemist,0808_01pre_Alchemist,0808_01_Alchemist,0808_02_Alchemist,0808_03_Alchemist,,,,,,,,,,,,,,,
0809_Adjudicator,@0809_Adjudicator_t,@0809_Adjudicator,,0809_00_Adjudicator,0809_01pre_Adjudicator,0809_01_Adjudicator,0809_02_Adjudicator,0809_03_Adjudicator,,,,,,,,,,,,,,,
0810_Barkeep,@0810_Barkeep_t,@0810_Barkeep,,0810_00_Barkeep,0810_01_Barkeep,0810_02_Barkeep,,,,,,,,,,,,,,,,,
0824_Innkeep,@0824_Innkeep_t,@0824_Innkeep,,0824_00_Innkeep,,,,,,,,,,,,,,,,,,,
0899_Liberator,@0899_Liberator_t,@0899_Liberator,,0899_00_Liberator,0899_01_Liberator,,,,,,,,,,,,,,,,,,
0807_Commander,@0807_Commander_t,@0807_Commander,,0807_00_Commander,0807_01pre_Commander,0807_01_Commander,0807_02_Commander,0807_03_Commander,,,,,,,,,,,,,,,
0826_MaWeizhe,@0826_MaWeizhe_t,@0826_MaWeizhe,,0826_00_MaWeizhe,0826_01_MaWeizhe,0826_02_MaWeizhe,0826_03_MaWeizhe,0826_04_MaWeizhe,,,,,,,,,,,,,,,
0826_MaWeizhe_01,@0826_MaWeizhe_t,@0826_MaWeizhe,,0826_00_MaWeizhe,0826_01_MaWeizhe,0826_02_MaWeizhe,0826_03_MaWeizhe,0826_04_MaWeizhe,,,,,,,,,,,,,,,
08_ElderKemba,@0804_Overseer_t,@0804_Overseer,,08_00_ElderKemba,08_01_ElderKemba,08_02_ElderKemba,,,,,,,,,,,,,,,,,
0830_Posting,@0830_Posting_t,@0830_Posting,@0830_Override,0830_00_Posting,0830_01_Posting,0830_02_Posting,,,,,,,,,,,,,,,,,
0828_YueLai,@0828_YueLai_t,@0828_YueLai,,0828_00_YueLai,0828_01_YueLai,0828_02_YueLai,0828_03_YueLai,0828_04_YueLai,0828_05_YueLai,0828_06_YueLai,,,,,,,,,,,,,
0828_YueLai_01,@0828_YueLai_t,@0828_YueLai,,0828_00_YueLai,0828_01_YueLai,0828_02_YueLai,0828_03_YueLai,0828_04_YueLai,0828_05_YueLai,0828_06_YueLai,,,,,,,,,,,,,
0828_YueLai_02,@0828_YueLai_t,@0828_YueLai,,0828_00_YueLai,0828_01_YueLai,0828_02_YueLai,0828_03_YueLai,0828_04_YueLai,0828_05_YueLai,0828_06_YueLai,,,,,,,,,,,,,
