NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
09a_Hargest_WC,@09a_Hargest_title,@09a_Hargest,,09a_Hargest_WC_Default,09a_Hargest_WC_02,09a_Hargest_WC_02_InProgress,09a_Hargest_WC_03,,,,,,,,,,,,,,,,
09a_Hargest_NE_A,@09a_Hargest_title,@09a_Hargest,,09a_Hargest_NE_A_Default,,,,,,,,,,,,,,,,,,,
09a_Hargest_NE_C,@09a_Hargest_title,@09a_Hargest,,09a_Hargest_NE_C_Default,09a_Hargest_NE_C_00,09a_Hargest_NE_C_01,,,,,,,,,,,,,,,,,
09a_Hargest_LC,@09a_Hargest_title,@09a_Hargest,,09a_Hargest_LC_Default,09a_Hargest_LC_01,09a_Hargest_LC_02,09a_Hargest_LC_Sendoff,,,,,,,,,,,,,,,,
09a_Hargest_End,@09a_Hargest_title,@09a_Hargest,,09a_Hargest_End_Default,,,,,,,,,,,,,,,,,,,
09a_Yoon_A,@09a_Yoon_title,@09a_Yoon,,09a_Yoon_A_Default,09a_Yoon_A_01,,,,,,,,,,,,,,,,,,
09a_Yoon_B,@09a_Yoon_title,@09a_Yoon,,09a_Yoon_B_Default,09a_Yoon_B_01,,,,,,,,,,,,,,,,,,
09a_Yoon_WC,@09a_Yoon_title,@09a_Yoon,,09a_Yoon_WC_Default,,,,,,,,,,,,,,,,,,,
09a_Trahern_WC,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_WC_Default,09a_Trahern_WC_BS_01,09a_Trahern_WC_EG_01,09a_Trahern_WC_SM_01,09a_Trahern_WC_RW_01,09a_Trahern_WC_02,,,,,,,,,,,,,,
09a_Trahern_SD,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_SD_Default,09a_Trahern_SD_01,,,,,,,,,,,,,,,,,,
09a_Trahern_RR,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_RR_Default,,,,,,,,,,,,,,,,,,,
09a_Trahern_Tav,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_Tav_Default,09a_Trahern_Tav_01,,,,,,,,,,,,,,,,,,
09a_Trahern_HG,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_SD_Default,09a_M13_Trahern_HG_Delivery,,,,,,,,,,,,,,,,,,
09a_Trahern_SE,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_SD_Default,09a_M14_Trahern_SE_TalkTo,09a_M14_Trahern_SE_TalkTo_2,09A_M14_Trahern_SE_TaskComplete,,,,,,,,,,,,,,,,
09a_Trahern_LC,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_SD_Default,09A_M14_Trahern_LC_TalkTo,09a_Trahern_LC_Sendoff,,,,,,,,,,,,,,,,,
09a_Trahern_End,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_End_Default,,,,,,,,,,,,,,,,,,,
09a_Trahern_THM,@09a_Trahern_title,@09a_Trahern,,09a_Trahern_SD_Default,,,,,,,,,,,,,,,,,,,
