NotificationId,DisplayTitle,DisplayText,SecondaryText,IconPath,MaxDisplayCount,NotificationType,TrackDisplayCount,DurationOverride,CooldownSeconds,Keybind,KeybindActionmap,NumberFields
Complete_Territory_Marker,@ui_notification_land_claimed_title,@ui_notification_land_claimed_description,This settlement is now yours. PURCHASE PROTECTION at the Protection Ward with money to stop other players from destroying your structures.,,1,,1,10,2.5,,,
Complete_Structure,@ui_notification_structures_title,@ui_notification_structure_complete_description,,,1,,1,10,2.5,,,
Place_Camp,@ui_notification_camp_placed_title,@ui_notification_camp_placed_description,"You can only have one camp at a time. Use this camp to respawn, recover, do basic crafting, and refine wood and stone.",,1,,1,5,20,,,
Show_Structures,@ui_notification_structures_title,@ui_notification_structure_plan_description,,,1,,1,5,20,,,
See_Player,@ui_notification_wave_title,@ui_notification_wave_description,,,1,,1,5,20,,,
See_Animal,@ui_notification_creatures_title,@ui_notification_creatures_description,,,1,,1,5,20,,,
Hunger,@ui_notification_hunger_title,@ui_notification_hunger_description,,,1,,1,5,20,,,
Thirst,@ui_notification_thirst_title,@ui_notification_thirst_description,,,1,,1,5,20,,,
Damage_Ignored_Criminal_Intent,@ui_criminal_intent,@ui_criminal_intent_off_warning,,,-1,Social,,,20,toggleCriminalIntent,ui,
Damage_Ignored_Not_PvP_Flaged,@ui_not_pvp_flagged_title,@ui_not_pvp_flagged_warning,,,-1,Social,,,300,,,
Damage_Ignored_Sanctuary,@ui_sanctuary,@ui_sanctuary_damage_warning,,,-1,Social,,,20,,,
Damage_Ignored_Not_In_Duel,@ui_not_in_duel_notification_title,@ui_not_in_duel_notification_message,,,-1,Social,,,300,,,
Enter_Sanctuary,@ui_sanctuary,@ui_enter_sanctuary,,,-1,Social,,,20,,,
Exit_Sanctuary,@ui_sanctuary,@ui_exit_sanctuary,,,-1,Social,,,20,,,
Currency_Sent_To_Player,@ui_currency_sent_title,@ui_currency_sent_message,,,-1,,,5,2.5,,,amount
Currency_Received_From_Player,@ui_currency_received_title,@ui_currency_received_message,,,-1,,,5,2.5,,,amount
Currency_Send_Failed,@ui_currency_send_failed_title,@ui_currency_send_failed_message,,,-1,,,5,2.5,,,
Trading_Post_Price_Changed,@ui_trading_post_price_changed_title,@ui_trading_post_price_changed_message,,,-1,Popup,,5,2.5,,,
Trading_Post_Insufficient_Quantity,@ui_trading_post_insufficient_quantity_title,@ui_trading_post_insufficient_quantity_message,,,-1,Popup,,5,2.5,,,
Trade_Failure_Invalid_Transaction,@ui_trade_failure,@ui_trade_failure_invalid_transaction,,,-1,Minor,,,,,,
Trade_Failure_No_Withdraw_Permissions,@ui_trade_failure,@ui_trade_failure_no_withdrawal,,,-1,Minor,,,,,,
Trade_Failure_No_Deposit_Permissions,@ui_trade_failure,@ui_trade_failure_no_deposit,,,-1,Minor,,,,,,
Trade_Failure_Not_Enough_Space,@ui_trade_failure,@ui_trade_failure_not_enough_space,,,-1,Minor,,,,,,
Trade_Failure_Global_Storage_Not_Enough_Currency,@ui_trade_failure,@ui_trade_failure_global_storage_not_enough_currency,,,-1,Minor,,,,,,
Trade_Failure_Global_Storage_Wrong_Faction,@ui_trade_failure,@ui_trade_failure_global_storage_wrong_faction,,,-1,Minor,,,,,,
Trade_Failure_Global_Storage_Invalid_Deposit,@ui_trade_failure,@ui_trade_failure_global_storage_invalid_deposit,,,-1,Minor,,,,,,
Enter_Warzone,@ui_notification_warzone_warning_title,@ui_notification_warzone_warning_description,,,1,,1,10,20,,,
Enter_Lawless,@ui_lawless,@ui_enter_lawless,,,-1,Social,,,20,,,
Exit_Lawless,@ui_lawless,@ui_exit_lawless,,,-1,Social,,,20,,,
Exit_World_Bounds,@ui_notification_world_bound_exit_title,@ui_notification_world_bound_exit,,,1,Minor,1,10,,,,
Toggle_PvP,@ui_notification_pvp_flagging_title,@ui_notification_pvp_flagging_message,,,1,Social,1,10,20,,,
Red_Button_Coin_Transferal_Disabled,@ui_feature_disabled,@ui_red_button_coin_transferal_disabled,,,,Minor,,,,,,
Red_Button_Coin_Generation_Limited,@ui_feature_disabled,@ui_red_button_coin_generation_limited,,,,Minor,,,,,,
Red_Button_Crafting_Disabled,@ui_feature_disabled,@ui_red_button_crafting_disabled,,,,Minor,,,,,,
Damage_Ignored_Siege_Unclaimed_Points,@ui_unclaimed_points,@ui_unclaimed_points_damage_warning,,,1,Minor,,,20,,,
Teleport_Pending,@ui_teleport_pending,@ui_notification_teleport_pending,,,,Minor,,,,,,
Teleport_Denied,@ui_teleport_denied,@ui_notification_teleport_denied,,,,Minor,,,,,,
Teleport_Failed,@ui_teleport_failed,@ui_notification_teleport_failed,,,,Minor,,,,,,
Red_Button_Salvaging_Disabled,@ui_feature_disabled,@ui_red_button_salvaging_disabled,,,,Minor,,,,,,
