TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0401_0100_d_00_container_getoffbeach,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_getoffthebeach,,,,,,,,,0401_0100_d_02_task_goto_watchtower,,,,
0401_0100_d_02_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,,4,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_onboarding_goToOutpost_task01_desc,,,,,,,,,,,,,
0401_0101_d_00_container_culldrowned,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,0401_0101_d_03_kill_3_Drowned,,,
0401_0101_d_01_open_map_shipwreck,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@0401_0101_d_01_task,,,,,,,,,,,,,
0401_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,TaskGoToPOITag,,1,,,,,,,,,drowned_shipwreck_2_30216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0101_d_02_task,,,,,,,,,,,,,
0401_0101_d_03_kill_3_Drowned,TaskKillContribution,,1,,3,,,,,,,drowned_shipwreck_2_30216,,,,,,,,,,,,,Drowned,,,,,,,,,,,,,,,,,,,,@0401_0101_d_03_task,,,,,,,,,,,,,
0401_0102_d_00_container_campandtools,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0102_d_01_container_campandtools_gather,0401_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,,,
0401_0102_d_01_container_campandtools_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0401_0102_d_01_01_TaskHaveItems_1_FlintT1,0401_0102_d_01_02_TaskHaveItems_1_WoodT1,,,
0401_0102_d_01_01_TaskHaveItems_1_FlintT1,TaskHaveItems,,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@0401_0102_d_02_task,,,,,,,,,,,,,
0401_0102_d_01_02_TaskHaveItems_1_WoodT1,TaskHaveItems,,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0102_d_03_task,,,,,,,,,,,,,
