TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0601_0100_d_00_container_getoffbeach,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_getoffthebeach,,,,,,,,,0601_0100_d_02_task_goto_watchtower,,,,
0601_0100_d_02_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,6,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_onboarding_goToOutpost_task01_desc,,,,,,,,,,,,,
0601_0101_d_00_container_culldrowned,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,0601_0101_d_03_kill_3_Drowned,,,
0601_0101_d_01_open_map_shipwreck,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@0601_0101_d_01_task,,,,,,,,,,,,,
0601_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2,TaskGoToPOITag,,1,,,,,,,,drowned_shipwreck_2_40142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0101_d_02_task,,,,,,,,,,,,,
0601_0101_d_03_kill_3_Drowned,TaskKillContribution,,1,3,,,,,,,drowned_shipwreck_2_40142,,,,,,,,,,,,,Drowned,,,,,,,,,,,,,,,,,,,,@0601_0101_d_03_task,,,,,,,,,,,,,
0601_0102_d_00_container_campandtools,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0102_d_01_container_campandtools_gather,0601_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,,,
0601_0102_d_01_container_campandtools_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0601_0102_d_01_01_TaskHaveItems_1_FlintT1,0601_0102_d_01_02_TaskHaveItems_1_WoodT1,,,
0601_0102_d_01_01_TaskHaveItems_1_FlintT1,TaskHaveItems,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@0601_0102_d_02_task,,,,,,,,,,,,,
0601_0102_d_01_02_TaskHaveItems_1_WoodT1,TaskHaveItems,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0102_d_03_task,,,,,,,,,,,,,
0601_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,TaskHaveItems,,,1,1hSkinningKnifeT1,,,,,6,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0102_d_04_task,,9606.47 2367.78 44.71,,,,,,,,,,,
0601_0103_d_00_container_boarproblem,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0103_d_01_kill_1_Boar,0601_0103_d_02_equip_skinning,0601_0103_d_03_TaskGatherItems_1_RedMeatT1,0601_0103_d_04_TaskGameEvent_1_Craft_CookingT1,0601_0103_d_05_TaskHaveItems_1_LightRation
0601_0103_d_01_kill_1_Boar,TaskKillContribution,,,1,,,,,,,,,,,,,,,,,,,,Boar,,,,,,,,,,,,,,,,,,,,@0601_0103_d_01_task,,9537.550 2314.617 49.190,,,,,,,,,,,
0601_0103_d_02_equip_skinning,TaskEquipItem,,,1,1hSkinningKnifeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0103_d_02_task,,9537.550 2314.617 49.190,,,,,,,,,,,
0601_0103_d_03_TaskGatherItems_1_RedMeatT1,TaskGatherItems,,,1,PorkT1,Boar,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0103_d_03_task,,9537.550 2314.617 49.190,,,,,,,,,,,
0601_0103_d_04_TaskGameEvent_1_Craft_CookingT1,TaskCraftRecipe,,,1,,,,,,6,watchtower,,,,,,,,Procedural_HealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0103_d_04_task,,9606.47 2367.78 44.71,,,,,,,,,,,
0601_0103_d_05_TaskHaveItems_1_LightRation,TaskHaveItems,,1,1,FoodHealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0601_0104_d_00_container_xmarksthespot,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0104_d_01_TaskGoToPOITag_drowned_shipwreck_1,0601_0104_d_02_container_xmarksthespot_lorepages,0601_0104_d_03_container_xmarksthespot_locker,0601_0104_d_04_TaskGoToPOITag_drowned_shipwreck_4,0601_0104_d_05_container_xmarksthespot_flags
0601_0104_d_01_TaskGoToPOITag_drowned_shipwreck_1,TaskGoToPOITag,,,,,,,,,,drowned_shipwreck_1_40143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0601_0104_d_02_container_xmarksthespot_lorepages,SimpleTaskContainer,,,,,,,,,,drowned_shipwreck_1_40143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_POIRef_drowned_shipwreck_1,,,,,,,,,0601_0104_d_02_01_TaskAchievement_ShipsRoster_drowned_shipwreck_1,0601_0104_d_02_02_TaskAchievement_ShipsManifest_drowned_shipwreck_1,0601_0104_d_02_03_TaskAchievement_ShipsLog_drowned_shipwreck_1,,
0601_0104_d_02_01_TaskAchievement_ShipsRoster_drowned_shipwreck_1,TaskAchievement,,,1,Lore_unlock_06_Windsward_Title_12_01,,,,true,,drowned_shipwreck_1_40143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_collect_shipsroster,,9692.9 2162.2 43.08,,,,,,,,,,,
0601_0104_d_02_02_TaskAchievement_ShipsManifest_drowned_shipwreck_1,TaskAchievement,,,1,Lore_unlock_06_Windsward_Title_12_02,,,,true,,drowned_shipwreck_1_40143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_collect_shipsmanifest,,9702.4 2133.0 43.74,,,,,,,,,,,
0601_0104_d_02_03_TaskAchievement_ShipsLog_drowned_shipwreck_1,TaskAchievement,,,1,Lore_unlock_06_Windsward_Title_12_03,,,,true,,drowned_shipwreck_1_40143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_collect_shipslog,,9675.8 2110.6 46.01,,,,,,,,,,,
0601_0104_d_03_container_xmarksthespot_locker,ConsecutiveTaskContainer,,,,,,,,,,drowned_shipwreck_3_40140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0601_0104_d_03_01_TaskGoToPOITag_drowned_shipwreck_3,0601_0104_d_03_02_TaskGatherAndReturnItems_ShipsLocker_drowned_shipwreck_3,,,
0601_0104_d_03_01_TaskGoToPOITag_drowned_shipwreck_3,TaskGoToPOITag,,,,,,,,,,drowned_shipwreck_3_40140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0601_0104_d_03_02_TaskGatherAndReturnItems_ShipsLocker_drowned_shipwreck_3,TaskGatherAndReturnItems,,1,1,MI_ArcaneBottles,MSQ_ShipsLocker,100,,true,,drowned_shipwreck_3_40140,,,true,,,,,,,IO_MSQ_ShipsLocker,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_search_ShipsLocker,,9880.20 2303.60 47.51,,,,,,,,,,,
0601_0104_d_04_TaskGoToPOITag_drowned_shipwreck_4,TaskGoToPOITag,,,,,,,,,,drowned_shipwreck_4_40141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0601_0104_d_05_container_xmarksthespot_flags,SimpleTaskContainer,,,,,,,,,,drowned_shipwreck_4_40141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_POIRef_drowned_shipwreck_4,,,,,,,,,0601_0104_d_05_01_TaskGatherAndReturnItems_shipflagStern_drowned_shipwreck_4,0601_0104_d_05_02_TaskGatherAndReturnItems_shipflagBow_drowned_shipwreck_4,,,
0601_0104_d_05_01_TaskGatherAndReturnItems_shipflagStern_drowned_shipwreck_4,TaskGatherAndReturnItems,,1,1,0601_0104_ShipsFlagA,MSQ_0001_ShipFlagStern,100,,true,,drowned_shipwreck_4_40141,,,true,,,,,,,IO_MSQ_0001_ShipFlagStern,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_collect_sternflag,,9957.790 2422.025 51.143,,,,,,,,,,,
0601_0104_d_05_02_TaskGatherAndReturnItems_shipflagBow_drowned_shipwreck_4,TaskGatherAndReturnItems,,1,1,0601_0104_ShipsFlagB,MSQ_0002_ShipFlagBow,100,,true,,drowned_shipwreck_4_40141,,,true,,,,,,,IO_MSQ_0002_ShipFlagBow,,,,,,,,,,,,,,,,,,,,,,,@0601_0104_xmarksthespot_collect_bowflag,,9920.797 2442.865 50.145,,,,,,,,,,,
0601_0107_d_00_container_preciouscargo,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0107_d_01_TaskGoToPOITag_drowned_cavern,0601_0107_d_02_TaskTriggerArea_drowned_cavern,0601_0107_d_03_kill_Damned_Cultist_Named_03_drowned_cavern,,
0601_0107_d_01_TaskGoToPOITag_drowned_cavern,TaskGoToPOITag,,1,,,,,,,,drowned_cavern_40146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0601_0107_d_01_task,,,,,,,,,,,,,
0601_0107_d_02_TaskTriggerArea_drowned_cavern,TaskTriggerArea,,1,1,,,,,,,drowned_cavern_40146,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_06_BeachCave,@0601_0107_d_02_task,,9708.00 2544.00 59.35,,,,,,,,,,,
0601_0107_d_03_kill_Damned_Cultist_Named_03_drowned_cavern,TaskKillContribution,,1,1,,,,,true,,drowned_cavern_40146,,,,,,,,,,,,,Damned_Cultist_Named_03,,,,,,,,,,,,,,,,,,,,@0601_0107_d_03_task,,9708.00 2544.00 59.35,,,,,,,,,,,
0601_0108_d_00_container_introtosettlement,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601_0108_d_01_GrantAchievement_Windsward,0601_0108_d_02_transport_npc_note,0601_0108_d_03_have_npc_note,0601_0108_d_04_task_openmap,
0601_0108_d_01_GrantAchievement_Windsward,TaskUnlockAchievement,,1,1,BeachStart_Windsward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0601_0108_d_02_transport_npc_note,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_transport_generic,,,1,,,,,,,,,,
0601_0108_d_03_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@06_task_transport_generic,,,1,,,,,,,,,,
0601_0108_d_04_task_openmap,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@task_getoffbeach_openmap,,,,,,,,,,,,,
0625_0101_d_00_container_truffles,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0925_0101_d_01_GiveItem_GatheringSickleT1,0625_0101_d_01A_EquipItem_Sickle,0625_0101_d_02_container_truffles_tasks,0625_0101_d_03_SliceSwap_0425_HerbalistPath_Off,0625_0101_d_04_SliceSwap_0425_HerbalistWWTown_On
0625_0101_d_01_GiveItem_GatheringSickleT1,TaskGiveItem,,1,1,1hSickleT1,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0625_0101_d_01A_EquipItem_Sickle,TaskEquipItem,,1,1,1hSickleT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_equip_sickle,,,,,,,,,,,,,
0625_0101_d_02_container_truffles_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0625_0101_d_02_01_GatherAndReturn_5_DeliciousTruffles,0625_0101_d_02_02_container_truffles_tasks,,,
