TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,TP_StayComplete,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1102_0201_d_00_Container_abandonedduties,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102_0201_d_01_Task,1102_0201_d_02_Task,1102_0201_d_03_Task,,
1102_0201_d_01_Task,TaskGoToPOITag,,1,1,,,,,,,small_outpost,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0201_d_01_Task,,,,,,,,,,,,,,
1102_0201_d_02_Task,TaskKillContribution,,1,1,,,,,true,,small_outpost,,1,,,,,,,,,,Ghost_Starved_Named_03,,,,,,,,,,,,,,,,,,,,@1102_0201_d_02_Task,,,,,,,,,,,,,,
1102_0201_d_03_Task,TaskHaveAndReturnItems,,1,1,1102_0201_Spyglass,,,100,true,,small_outpost,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0201_d_03_Task,,,,,,,,,,,,,,
1102_0301_d_00_Container_musslebeard,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102_0301_d_01_Task,1102_0301_d_02_Container_musslebeard_kills,,,
1102_0301_d_01_Task,TaskGoToPOITag,,0,1,,,,,true,,wrecked_galleon_60339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0301_d_01_Task,,,,,,,,,,,,,,
1102_0301_d_02_Container_musslebeard_kills,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1102_0301_d_02a_Task,1102_0301_d_02b_Task,,,
1102_0301_d_02a_Task,TaskKillContribution,,0,12,,,,,true,,wrecked_galleon_60339,,,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@1102_0301_d_02_Task,,,,,,,,,,,,,,
1102_0301_d_02b_Task,TaskKillContribution,,0,1,,,,,true,,wrecked_galleon_60339,,,,,,,,,,,,Undead_Officer_Named_06,,,,,,,,,,,,,,,,,,,,@1102_0301_d_03_Task,,13994.923 7499.414 53.035,,,,,,,,,,,,
1102_0401_d_00_Container_march,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102_0401_d_01_container_Tasks_foulroot,1102_0401_d_02_container_Tasks_Grus,,,
1102_0401_d_01_container_Tasks_foulroot,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1102_0401_d_01a_TaskGoTo,1102_0401_d_01b_Container_march_foulroottasks,,,
1102_0401_d_01a_TaskGoTo,TaskGoToPOITag,,1,1,,,,,true,,mine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0401_d_01a_Task,,,,,,,,,,,,,,
1102_0401_d_01b_Container_march_foulroottasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1102_0401_d_01b_01_Task,1102_0401_d_01b_02_Task,,,
1102_0401_d_01b_01_Task,TaskHaveAndReturnItems,,1,6,1102_0401_CorruptedOre,,,100,true,,mine,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0401_d_01b_Task,,,,,,,,,,,,,,
1102_0401_d_01b_02_Task,TaskKillContribution,,1,12,,,,,true,,mine,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@1102_0401_d_01c_Task,,,,,,,,,,,,,,
