TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
12A_MSQ_01_SpeakLochnir_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_01_SpeakLochnir_TakeNote,12A_MSQ_01_SpeakLochnir_GiveNote,,,
12A_MSQ_01_SpeakLochnir_TakeNote,TaskGiveAndTakeItem,,,,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_01_SpeakLochnir_TakeNote,,,1,,,,,,,,,,,,,,,,
12A_MSQ_01_SpeakLochnir_GiveNote,TaskHaveAndReturnItems,,,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_01_SpeakLochnir_GiveNote,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Update_Container,12A_MSQ_02_InnTutorial_PayneSwap,12A_MSQ_02_InnTutorial_PayneSwap02,12A_MSQ_02_InnTutorial_UnlockTradingPost,
12A_MSQ_02_InnTutorial_Update_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Whisper_Partial,12A_MSQ_02_InnTutorial_OpenInnUIScreen,,,
12A_MSQ_02_InnTutorial_Whisper_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Whisper_Container,12A_MSQ_02_InnTutorial_OpenInnUIScreen_Partial,,,
12A_MSQ_02_InnTutorial_Whisper_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,12A_MSQ_02_InnTutorial_Leave_Hall,12A_MSQ_02_InnTutorial_Trigger_Whispers,,,
12A_MSQ_02_InnTutorial_Leave_Hall,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Leave,,,,,,,,,,,,,,,,,,,,Leave_TownHall,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_Trigger_Whispers,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,12A_MB_whisper_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_OpenInnUIScreen,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_02_InnTutorial_OpenInnUIScreen_Desc,,7383.348 3732.266 113.149,,,TRUE,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_OpenInnUIScreen_Partial,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_02_InnTutorial_OpenInnUIScreen_Desc,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_PayneSwap,TaskUnlockAchievement,,,,1,SwapActive_12_SerPayneBennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_PayneSwap02,TaskUnlockAchievement,,,,1,SwapActive_12_SerPayneBennett_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12A_MSQ_02_InnTutorial_UnlockTradingPost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
