TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1403_0201_d_00_Container_gates,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403_0201_d_01_Container_fertilecrescenttasks,1403_0201_d_02_Container_blisteroottasks,,,
1403_0201_d_01_Container_fertilecrescenttasks,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1403_0201_d_01a_Task,1403_0201_d_01b_Task,,,
1403_0201_d_01a_Task,TaskGoToPOITag,,1,1,,,,,,true,,ancientcrater12,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0201_d_01a_Task,,,,,,,,,,,,,,,,,,,
1403_0201_d_01b_Task,TaskKillContribution,,1,10,,,,,,true,,ancientcrater12,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1403_0201_d_01_Task,,,,,,,,,,,,,,,,,,,
1403_0201_d_02_Container_blisteroottasks,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1403_0201_d_02a_Task,1403_0201_d_02b_Task,,,
1403_0201_d_02a_Task,TaskGoToPOITag,,1,1,,,,,,true,,crater_blightedvillage_50343,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0201_d_02_Task,,,,,,,,,,,,,,,,,,,
1403_0201_d_02b_Task,TaskKillContribution,,1,8,,,,,,true,,crater_blightedvillage_50343,,,true,,,,,,,,,,Blighted,,,,,,,,,,,,,,,,,,,,@1403_0201_d_03_Task,,,,,,,,,,,,,,,,,,,
1403_0202_d_00_Container_tincturequest,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403_0202_d_01_Task,,,,
1403_0202_d_01_Task,TaskHaveItems,,1,1,TinctureBlightT3,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0202_d_01_Task,,,,,,,,,,,,,,,,,,,
1416_0201_d_00_Container_sabotage,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416_0201_d_01_Task,1416_0201_d_02_Container_tasks,,,
