TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95_s01_01_CROW_GracelessRequest_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_01_01_TriggerArea_CorruptedCamp,95_s01_01_02_TakeAndBurn_Simple,95_s01_01_03_01_BuildCamp,95_s01_01_03a_UnlockFTPs_container,95_s01_01_04_CelebrateCamp_container
95_s01_01_01_01_TriggerArea_CorruptedCamp,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_01_CorruptedCamp,@95_s01_01_CROW_GracelessRequest_gotoTriggerVol,,"7701.922852 6449.600098 220.324295,8585.077148 9358.038086 653.893005,12052.845703 8635.889648 311.109589",0,,1,,,,,,,,,,,,,,
95_s01_01_02_TakeAndBurn_Simple,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_02_01_01_01_BurnTents,95_s01_01_02_02_GatherSupplies_Partial,,,
95_s01_01_02_01_01_01_BurnTents,TaskGameEvent,,,,3,,,,,,,,,,,,,,,,,,IO_95_s01_01_CorruptedTent,,,95_s01_01_CorruptedTent_interact,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_BurnTents,,"7701.922852 6449.600098 220.324295,8585.077148 9358.038086 653.893005,12052.845703 8635.889648 311.109589",0,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_GatherSupplies_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_02_02_01_GatherSupplies33_Partial,95_s01_01_02_02_02_GatherSupplies44_Partial,95_s01_01_02_02_03_GatherSupplies54_Partial,,
95_s01_01_02_02_01_GatherSupplies33_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7701.922852 6449.600098 220.324295,1,,,,,,,,,,,,95_s01_01_02_02_01_01_GatherSupplies33,95_s01_01_02_02_01_02_GatherSupplies33,,,
95_s01_01_02_02_01_01_GatherSupplies33,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies1,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,0,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_01_02_GatherSupplies33,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies2,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_02_GatherSupplies44_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8585.077148 9358.038086 653.893005,1,,,,,,,,,,,,95_s01_01_02_02_02_01_GatherSupplies44,95_s01_01_02_02_02_02_GatherSupplies44,,,
95_s01_01_02_02_02_01_GatherSupplies44,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies3,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
