TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0330_0101_d_00_container_asgoodasmyword,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0330_0101_d_01_01_TaskTalkTenavan,0330_0101_d_02_01_TaskTalkRizal,0330_0101_d_03_Task_Swap,0330_0101_d_03_01_Task_Swap,
0330_0101_d_01_01_TaskTalkTenavan,TaskConversationTopic,,,1,0336_Ranger,,,,,,,,,,,,,,,,0336_RangerTenevan_Found,,,,,,,,,,,,,,,,,,,,,,@0330_0101_d_01_TalktoSurvivors,,8306.47 7583.75 587.40,,,,,,,,,,,,,,,,,
0330_0101_d_02_01_TaskTalkRizal,TaskConversationTopic,,,1,0337_Ranger,,,,,,,,,,,,,,,,0337_RangerRizal_Found,,,,,,,,,,,,,,,,,,,,,,@0330_0101_d_02_TalktoSurvivors,,8237.02 7595.40 597.34 ,,,,,,,,,,,,,,,,,
0330_0101_d_03_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0330_Ranger_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0330_0101_d_03_01_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0330_Ranger_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0330_0102_d_00_container_mappingtheedgeofdespair,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0330_0102_d_01_Task_MapA,0330_0102_d_02_Task_MapB,,,
0330_0102_d_01_Task_MapA,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_0330_0102_SketchingA,,,0330_0102_SketchingA_interact,,,,,,,,,,,,,,,,,,,,@0330_0102_d_01_MapA,,9366.90 8271.48 476.71,,,,,,,,,,,,,,,,,
0330_0102_d_02_Task_MapB,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_0330_0102_SketchingB,,,0330_0102_SketchingB_interact,,,,,,,,,,,,,,,,,,,,@0330_0102_d_02_MapB,,9636.54 7999.91 427.26,,,,,,,,,,,,,,,,,
0330_0103_d_00_container_pickingupthepieces,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0330_0103_d_01_container_findShieldandSpear,0330_0103_d_02_container_findHelmandAxe,,,
0330_0103_d_01_container_findShieldandSpear,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0330_0103_d_01_01_TaskGoToPOITag,0330_0103_d_01_container_findtasks,,,
0330_0103_d_01_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,corrupted_fort_40319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_FindShield,,,,,,,,,,,,,,,,,,,
0330_0103_d_01_container_findtasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0330_0103_d_01_02_Task_InteractShield,0330_0103_d_01_03_Task_InteractSpear,,,
0330_0103_d_01_02_Task_InteractShield,TaskGatherAndReturnItems,,,1,0330_0103_MardeaShield,0330_0103_MardeaShield_IO,100,,true,,corrupted_fort_40319,,true,,,,,,,IO_0330_0103_MardeaShield,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_TakeShield,,9721.04 8056.84 435.33,,,,,,,,,,,,,,,,,
0330_0103_d_01_03_Task_InteractSpear,TaskGatherAndReturnItems,,,1,0330_0103_HanuSpear,0330_0103_HanuSpear_IO,100,,true,,corrupted_fort_40319,,true,,,,,,,IO_0330_0103_HanuSpear,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_TakeSpear,,9708.68 8030.35 432.24,,,,,,,,,,,,,,,,,
0330_0103_d_02_container_findHelmandAxe,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0330_0103_d_02_01_TaskGoToPOITag,0330_0103_d_02_container_findtasks,,,
0330_0103_d_02_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,corrupted_fort_40318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_FindHelm,,,,,,,,,,,,,,,,,,,
0330_0103_d_02_container_findtasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0330_0103_d_02_02_Task_InteractHelm,0330_0103_d_02_03_Task_InteractAxe,,,
0330_0103_d_02_02_Task_InteractHelm,TaskGatherAndReturnItems,,,1,0330_0103_TopalianHelm,0330_0103_TopalianHelm_IO,100,,true,,corrupted_fort_40318,,true,,,,,,,IO_0330_0103_TopalianHelm,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_TakeHelm,,9478.26 7990.00 404.27,,,,,,,,,,,,,,,,,
0330_0103_d_02_03_Task_InteractAxe,TaskGatherAndReturnItems,,,1,0330_0103_KaipoAxe,0330_0103_KaipoAxe_IO,100,,true,,corrupted_fort_40318,,true,,,,,,,IO_0330_0103_KaipoAxe,,,,,,,,,,,,,,,,,,,,,,,@0330_0103_d_01_TakeAxe,,9502.46 7985.82 397.38,,,,,,,,,,,,,,,,,
0331_0101_d_00_container_thebalemawbeast,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0331_0101_d_01_container_FollowClues,0331_0101_d_01_container_FollowMoreClues,,,
0331_0101_d_01_container_FollowClues,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0331_0101_d_01_01_find_ClueA,0331_0101_d_01_02_find_ClueB,0331_0101_d_01_03_find_ClueC,,
