TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
06A_MSQ_01_Quartermaster_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_01_Quartermaster_Push,06A_MSQ_01_Quartermaster_SwapOff_container,06A_MSQ_01_Quartermaster_cinematic_container,06A_MSQ_01_Quartermaster_swapSaatvik01On,06A_MSQ_01_Quartermaster_talk_Francis
06A_MSQ_01_Quartermaster_Push,TaskUnlockAchievement,,,,1,WW_Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_SwapOff_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_01_Quartermaster_swapSaatvik01Off,06A_MSQ_01_Quartermaster_swapFrancisOn,06A_MSQ_01_Quartermaster_PreloadIGC,,
06A_MSQ_01_Quartermaster_swapSaatvik01Off,TaskLockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_swapFrancisOn,TaskLockAchievement,,,,1,SwapActive_06_FrancisTurner_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_cinematic_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_01_Quartermaster_cinematicTrigger,06A_MSQ_01_Quartermaster_turnOnIGC,06A_MSQ_01_Quartermaster_endCinematicTrigger,06A_MSQ_01_Quartermaster_turnOffIGC,
06A_MSQ_01_Quartermaster_PreloadIGC,TaskUnlockAchievement,,,,1,06A_MSQ_04_SeeSpeaker_IGC_Preload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_cinematicTrigger,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,SeeSpeaker_IGC_Trigger,@06A_MSQ_01_TalkToSpeaker_talk_Francis,,9377.0 2772.0 89.0,,,true,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_turnOnIGC,TaskUnlockAchievement,,,,1,06A_MSQ_04_SeeSpeaker_IGC_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_endCinematicTrigger,TaskCutsceneComplete,,,,1,06A_MSQ_04_SpeakerSaatvikArgue_IGC,,,,,,,,,,,,,,,,,,Leave,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_01_TalkToSpeaker_talk_Francis,,9377.0 2772.0 89.0,,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_turnOffIGC,TaskUnlockAchievement,,,,1,06A_MSQ_04_SeeSpeaker_IGC_Watched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_swapSaatvik01On,TaskUnlockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_01_Quartermaster_talk_Francis,TaskConversationTopic,,,,,06_FrancisTurner,,,,,,,,,,,,,,,,,06_MSQ_01_TalkFrancis,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_01_TalkToSpeaker_talk_Francis,,,,,,,,,,,,,,,,,,,
06A_MSQ_02_VisitInn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_02_VisitInn_unlock_tradingpost,06A_MSQ_02_VisitInn_interact_inn,06A_MSQ_02_VisitInn_unlock_inn_tutorial,,
06A_MSQ_02_VisitInn_unlock_tradingpost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_02_VisitInn_interact_inn,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_02_VisitInn_interact_inn,,9319.67 2667.69 84.87,,,true,,,,,,,,,,,,,,
06A_MSQ_02_VisitInn_unlock_inn_tutorial,TaskUnlockAchievement,,,,1,Tutorial_Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_03_VisitMarket_resetTopicAchievements_container,06A_MSQ_03_VisitMarket_simplecontainer,06A_MSQ_03_VisitMarket_whisper_container,06A_MSQ_03_VisitMarket_swap_container,06A_MSQ_03_VisitMarket_bard_container
06A_MSQ_03_VisitMarket_resetTopicAchievements_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_03_VisitMarket_lockPassion,06A_MSQ_03_VisitMarket_lockIntellect,06A_MSQ_03_VisitMarket_lockJoker,,
06A_MSQ_03_VisitMarket_lockPassion,TaskLockAchievement,,,,1,narrativeprofile_passion_stillwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_lockIntellect,TaskLockAchievement,,,,1,narrativeprofile_intellect_stillwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_lockJoker,TaskLockAchievement,,,,1,narrativeprofile_joker_stillwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_simplecontainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_unlock_tradingPost,06A_MSQ_03_VisitMarket_open_tradingPost,06A_MSQ_03_VisitMarket_openUI_globalStorage,,
06A_MSQ_03_VisitMarket_unlock_tradingPost,TaskUnlockAchievement,,,,1,S_hearthhome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_open_tradingPost,TaskOpenUiScreen,,,,1,,,,,,6,Windsward_Settlement_01,,,,,,,,,,,Contracts,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_03_VisitMarket_open_tradingpost,,,,,true,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_openUI_globalStorage,TaskInteract,,,,1,,,,,,6,Windsward_Settlement_01,,,,,,,,,,SettlementStorage,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_03_VisitMarket_openUI_globalstorage,,,,,true,,,,,,,,,true,,,,,
06A_MSQ_03_VisitMarket_whisper_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_triggerForWhispers,06A_MSQ_03_VisitMarket_whispers,,,
