TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,DiegeticPinZOverride,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0712_0101_d_00_container_layerspastandpresent,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0712_0101_d_01_TaskGoToPOITag_ancientcave_40415,0712_0101_d_01_01_swapcontainer,0712_0101_d_02_container_layerspastandpresent,,
0712_0101_d_01_TaskGoToPOITag_ancientcave_40415,TaskGoToPOITag,,1,,,,,,,,ancientcave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0712_0101_layerspastandpresent_goto_POI,,,,,,,,,,,,,,,,,,,
0712_0101_d_01_01_swapcontainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0712_0101_d_01_02_SwapFayed01_Off,0712_0101_d_01_03_SwapFayed02_On,,,
0712_0101_d_01_02_SwapFayed01_Off,TaskUnlockAchievement,,,1,SwapActive_0712_TahirFayed_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0712_0101_d_01_03_SwapFayed02_On,TaskUnlockAchievement,,,1,SwapActive_0712_TahirFayed_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0712_0101_d_02_container_layerspastandpresent,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0712_0101_d_02_01_kill_jasminethegiver_ancientcave_40415,0712_0101_d_02_02_TaskHaveAndReturnItems_8_CarverArmorScraps,,,
0712_0101_d_02_01_kill_jasminethegiver_ancientcave_40415,TaskKillContribution,,1,1,,,,,,,ancientcave,,,,,,,,,,,,,Ancient_Guardian_Mage_Named_07SM07,,,,,,,,,,,,,,,,,,,,@0712_0101_layerspastandpresent_kill_target_at_POI,,10110.4 8801.51 677.385,,,,,,,,,,,,,,,,,
0712_0101_d_02_02_TaskHaveAndReturnItems_8_CarverArmorScraps,TaskHaveAndReturnItems,,1,6,0712_0101_CarverArmorScraps,Ancient_Guardian_Reaver_07SM07,100,,,,ancientcave,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0712_0101_layerspastandpresent_collect_item_from_target_at_POI,,,,,,,,,,,,,,,,,,,
0714_0101_d_00_container_fieldsoffire,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0714_0101_d_03_TaskGoToPOITag_corrupted_fort_weaving_01_40401,0714_0101_d_03_01_swap_container,0714_0101_d_04_container_fieldsoffire_subtask_1,0714_0101_d_01_TaskGoToPOITag_corrupted_fort_alchemy_01_40403,0714_0101_d_02_container_fieldsoffire_subtask_2
0714_0101_d_03_TaskGoToPOITag_corrupted_fort_weaving_01_40401,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_weaving_01_40401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_goto_POI_b,,,,,,,,,,,,,,,,,,,
0714_0101_d_03_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0714_0101_d_03_02_SwapReese02_Off,0714_0101_d_03_03_SwapReese03_On,,,
0714_0101_d_03_02_SwapReese02_Off,TaskLockAchievement,,,1,SwapActive_0714_LeysonReese_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0714_0101_d_03_03_SwapReese03_On,TaskUnlockAchievement,,,1,SwapActive_0714_LeysonReese_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0714_0101_d_04_container_fieldsoffire_subtask_1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_iratus,,,,,,,,,,,,,,,0714_0101_d_04_01_kill_15_Hewscar_corrupted_fort_weaving_01_40401,0714_0101_d_04_03_TaskHaveAndReturnItems_5_PowderedStarmetal,,,
0714_0101_d_04_01_kill_15_Hewscar_corrupted_fort_weaving_01_40401,TaskKillContribution,,1,8,,,,,true,,corrupted_fort_weaving_01_40401,,,,,,,,,,,,,Hewscar,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_kill_targets_at_POI,,,,,,,,,,,,,,,,,,,
0714_0101_d_04_03_TaskHaveAndReturnItems_5_PowderedStarmetal,TaskHaveAndReturnItems,,1,5,0714_0101_PwdrStarmetal,,,100,true,,corrupted_fort_weaving_01_40401,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_get_items_from_container_at_POI,,,,,,,,,,,,,,,,,,,
0714_0101_d_01_TaskGoToPOITag_corrupted_fort_alchemy_01_40403,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_alchemy_01_40403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_goto_POI_a,,,,,,,,,,,,,,,,,,,
0714_0101_d_02_container_fieldsoffire_subtask_2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_vehemence,,,,,,,,,,,,,,,0714_0101_d_02_01_kill_15_Infernal_corrupted_fort_alchemy_01_40403,0714_0101_d_02_03_TaskHaveAndReturnItems_5_LiquidOrichalcum,,,
0714_0101_d_02_01_kill_15_Infernal_corrupted_fort_alchemy_01_40403,TaskKillContribution,,1,8,,,,,true,,corrupted_fort_alchemy_01_40403,,,,,,,,,,,,,Infernal,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_kill_targets_at_POI,,,,,,,,,,,,,,,,,,,
0714_0101_d_02_03_TaskHaveAndReturnItems_5_LiquidOrichalcum,TaskHaveAndReturnItems,,1,5,0714_0101_LiquidOrichalcum,,,100,true,,corrupted_fort_alchemy_01_40403,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0714_0101_fieldsoffire_get_items_from_container_at_POI,,,,,,,,,,,,,,,,,,,
0715_0101_d_00_container_varietiesofheat,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0715_0101_d_01_TaskGoToPOITag_shatteredmountain3,0715_0101_d_02_container_varietiesofheat_items,,,
0715_0101_d_01_TaskGoToPOITag_shatteredmountain3,TaskGoToPOITag,,1,,,,,,,,shatteredmountain3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0715_0101_varietiesofheat_goto_POI,,,,,,,,,,,,,,,,,,,
0715_0101_d_02_container_varietiesofheat_items,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0715_0101_d_02_01_TaskHaveAndReturnItems_1_SalSnailEssence,0715_0101_d_02_02_TaskHaveAndReturnItems_3_MirespiceBlend,,,
0715_0101_d_02_01_TaskHaveAndReturnItems_1_SalSnailEssence,TaskHaveAndReturnItems,,1,1,0715_0101_SalSnailEssence,Alligator_Strange,100,,true,shatteredmountain3,shatteredmountain3,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0715_0101_varietiesofheat_get_item_from_container_at_POI,,,,,,,,,,,,,,,,,,,
0715_0101_d_02_02_TaskHaveAndReturnItems_3_MirespiceBlend,TaskHaveAndReturnItems,,1,3,0715_0101_MirespiceBlend,Damned_Villager_Sickle_07SM03a,100,,,,village,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0715_0101_varietiesofheat_get_item_from_targets_at_POI,,,,,,,,,,,,,,,,,,,
0715_0102_d_00_container_luckonlylends,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0715_0102_d_01_TaskGoToPOITag_ancientcave,0715_0102_d_01_01_swap_container,0715_0102_d_02_container_luckonlylends_ancientcave,,
0715_0102_d_01_TaskGoToPOITag_ancientcave,TaskGoToPOITag,,1,,,,,,,,ancientcave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0715_0102_luckonlylends_goto_POI,,,,,,,,,,,,,,,,,,,
0715_0102_d_01_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0715_0102_d_01_02_SwapReese01_Off,0715_0102_d_01_03_SwapReese02_On,,,
0715_0102_d_01_02_SwapReese01_Off,TaskUnlockAchievement,,,1,SwapActive_0714_LeysonReese_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0715_0102_d_01_03_SwapReese02_On,TaskUnlockAchievement,,,1,SwapActive_0714_LeysonReese_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0715_0102_d_02_container_luckonlylends_ancientcave,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0715_0102_d_02_01_kill_guardiantzi-wang_ancientcave_40415,0715_0102_d_02_02_kill_25_rockruinguardians_ancientcave_40415,0715_0102_d_02_03_TaskHaveAndReturnItems_8_BaetylusLuckstone,,
0715_0102_d_02_01_kill_guardiantzi-wang_ancientcave_40415,TaskKillContribution,,1,1,,,,,,,ancientcave,,,,,,,,,,,,,Ancient_Guardian_Javelineer_Named_07SM07,,,,,,,,,,,,,,,,,,,,@0715_0102_luckonlylends_kill_target_at_POI,,9917.86 8632.11 662.768,,,,,,,,,,,,,,,,,
0715_0102_d_02_02_kill_25_rockruinguardians_ancientcave_40415,TaskKillContribution,,1,15,,,,,,,ancientcave,,,,,,,,,,,,,Rockruins,,,,,,,,,,,,,,,,,,,,@0715_0102_luckonlylends_cull_targets_at_POI,,,,,,,,,,,,,,,,,,,
0715_0102_d_02_03_TaskHaveAndReturnItems_8_BaetylusLuckstone,TaskGatherAndReturnItems,,1,8,0715_0201_BaetylusLuckstone,0703_BaetylusLuckstone,100,,true,,ancientcave,,,true,,,,,,,IO_0703_BaetylusLuckstone,,,,,,,,,,,,,,,,,,,,,,,@0715_0102_luckonlylends_recover_items_from_interact,,,,,,,,,,,,,,,,,,,
0716_0101_d_00_container_malevolentofferings,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0716_0101_d_01_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,0716_0101_d_01_01_swap_container,0716_0101_d_02_container_malevolentofferings_subtask_1,0716_0101_d_03_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,0716_0101_d_04_container_malevolentofferings_subtask_2
0716_0101_d_01_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_provisioning_01_40404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_goto_POI_a,,,,,,,,,,,,,,,,,,,
0716_0101_d_01_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0716_0101_d_01_02_SwapLinch01_Off,0716_0101_d_01_03_SwapLinch02_On,,,
0716_0101_d_01_02_SwapLinch01_Off,TaskUnlockAchievement,,,1,SwapActive_0713_NoraLinch_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0716_0101_d_01_03_SwapLinch02_On,TaskUnlockAchievement,,,1,SwapActive_0713_NoraLinch_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0716_0101_d_02_container_malevolentofferings_subtask_1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_lapsus,,,,,,,,,,,,,,,0716_0101_d_02_01_kill_6_MalevolentPatrollers_corrupted_fort_provisioning_01_40404,0716_0101_d_02_02_kill_1_CorruptionBarbs_corrupted_fort_provisioning_01_40404,0716_0101_d_02_03_TaskHaveAndReturnItems_4_SacrificialMask,,
0716_0101_d_02_01_kill_6_MalevolentPatrollers_corrupted_fort_provisioning_01_40404,TaskKillContribution,,1,6,,,,,,,corrupted_fort_provisioning_01_40404,,,,,,,,,,,,,Damned_Axeman_M-F_07SM05d,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_kill_targets_pl,,,,,,,,,,,,,,,,,,,
0716_0101_d_02_02_kill_1_CorruptionBarbs_corrupted_fort_provisioning_01_40404,TaskKillContribution,,1,1,,,,,true,,corrupted_fort_provisioning_01_40404,,,,,,,,,,,,,Corrupted_Totem_07SM05,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_kill_targets_pl,,,,,,,,,,,,,,,,,,,
0716_0101_d_02_03_TaskHaveAndReturnItems_4_SacrificialMask,TaskHaveAndReturnItems,,1,4,0716_0101_SacrificialMask,,,100,true,,corrupted_fort_provisioning_01_40404,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_steal_items_from_containers,,,,,,,,,,,,,,,,,,,
0716_0101_d_03_TaskGoToPOITag_corrupted_fort_provisioning_01_40404,TaskGoToPOITag,,1,,,,,,,,corruptedfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_goto_POI_b,,,,,,,,,,,,,,,,,,,
0716_0101_d_04_container_malevolentofferings_subtask_2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_pullus,,,,,,,,,,,,,,,0716_0101_d_04_01_kill_2_FesterspikeVicar_corruptedfort_40417,0716_0101_d_04_02_kill_5_FesterspikePatrollers_corruptedfort_40417,0716_0101_d_04_03_kill_1_CorruptionBarbs_corrupted_fort_provisioning_01_40404,0716_0101_d_04_04_TaskHaveAndReturnItems_4_CorrBindingClaw,
0716_0101_d_04_01_kill_2_FesterspikeVicar_corruptedfort_40417,TaskKillContribution,,1,2,,,,,,,corruptedfort,,,,,,,,,,,,,Damned_Acolyte_07SM05d1,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_kill_targets_pl,,,,,,,,,,,,,,,,,,,
0716_0101_d_04_02_kill_5_FesterspikePatrollers_corruptedfort_40417,TaskKillContribution,,1,5,,,,,,,corruptedfort,,,,,,,,,,,,,Damned_Axeman_M-F_07SM05d1,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_kill_targets_pl,,,,,,,,,,,,,,,,,,,
0716_0101_d_04_03_kill_1_CorruptionBarbs_corrupted_fort_provisioning_01_40404,TaskKillContribution,,1,1,,,,,true,,corruptedfort,,,,,,,,,,,,,Corrupted_Totem_07SM05,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_kill_targets_pl,,,,,,,,,,,,,,,,,,,
0716_0101_d_04_04_TaskHaveAndReturnItems_4_CorrBindingClaw,TaskHaveAndReturnItems,,1,4,0716_0101_CorrBindingClaw,,,100,true,,corruptedfort,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0716_0101_malevolentofferings_steal_items_from_containers,,,,,,,,,,,,,,,,,,,
0718_0101_d_00_container_guardian,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0718_0101_d_03_TaskGoToPOITag_dryadlookout_50418,0718_0101_d_03_01_swap_container,0718_0101_d_04_TaskHaveAndReturnItems_1_FaysBriars,0718_0101_d_01_TaskGoToPOITag_blightcave_50412,0718_0101_d_02_TaskHaveAndReturnItems_1_MoBlightSample
0718_0101_d_03_TaskGoToPOITag_dryadlookout_50418,TaskGoToPOITag,,1,,,,,,,,dryadlookout_50418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0101_guardian_goto_POI_b,,,,,,,,,,,,,,,,,,,
