TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
C10A_M1_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M1_Container_2,C10A_M1_Container_3,,,
C10A_M1_Container_2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7939 1961,1,,,,,,,,,,,,C10A_M1_MetPatriciaAchievement,C10A_M1_ListenToOxen,C10A_M1_ListenToGrimm,,
C10A_M1_MetPatriciaAchievement,TaskUnlockAchievement,,,1,C10A_M1_MetPatricia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_M1_ListenToOxen,TaskAchievement,,1,1,C10A_ListenToOxen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_M1_ListenToOxen,,,,,,,,,,,,,,,,,,,
C10A_M1_ListenToGrimm,TaskAchievement,,1,1,Cinematic_LaEsperanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_M1_ListenToGrimm,,,,,,,,,,,,,,,,,,,
C10A_M1_Container_3,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_M1_TalkToPatricia,C10A_M1_DoubloonsTable,,,
C10A_M1_TalkToPatricia,TaskConversationTopic,,,,C10A_Patricia,,,,,,,,,,,,,,,,C10A_Patricia_M1,,,,,,,,,,,,,,,,,,,,,,@C10A_M1_TalkToPatricia,,,,,,,,,,,,,,,,,,,
C10A_M1_DoubloonsTable,TaskInteract,,,1,,,,,,,,,,,,,,,,Specialty_Doubloon,,,,,,,,,,,,,,,,,,,,,,,@C10A_M1_DoubloonsTable,,,,,true,,,,,,,,,true,,,,,
C10A_M2_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M2_UnlockCinematic,C10A_M2_WatchCinematic,C10A_M2_LockCinematic1,C10A_M2_LockCinematic2,
C10A_M2_UnlockCinematic,TaskUnlockAchievement,,,,MSQ_LaEsperanza_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_M2_WatchCinematic,TaskInteract,,,1,10A_M2_Chair,,,,,,,,,,,,,,,IO_10A_M2_Chair,,,C10A_M2_Chair_Interact,,,,,,,,,,,,,,,,,,,,@C10A_M2_WatchCinematic,,7949.7769 1962.5216 111.9745,,,,,,,,,,,,false,,,,,
C10A_M2_LockCinematic1,TaskLockAchievement,,,,MSQ_LaEsperanza_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_M2_LockCinematic2,TaskUnlockAchievement,,,,Cinematic_LaEsperanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_M3_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M3_OxenListenedTo,C10A_M3_GoToRaidPOI,,,
C10A_M3_OxenListenedTo,TaskUnlockAchievement,,,,C10A_ListenToOxen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_M3_GoToRaidPOI,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_10A_M3,@C10A_M3_GoToRaidPOI,,8264.94 491.56 49.26,,,true,,,,,,,,,,,,,,
C10A_M4_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M4_Enter_Trial,C10A_M4_Container_Simple,,,
C10A_M4_Enter_Trial,TaskGameMode,,,1,,,,,,,raid_hiveofgorgons,RaidCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M4_Entrance,@C10A_M4_Enter_Trial,,8233.04 407.42 45.10,,,true,,,,,,,,,,,,,,
C10A_M4_Container_Simple,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_M4_Flowers1,C10A_M4_Flowers2,C10A_M4_Flowers3,C10A_M4_Finish,
C10A_M4_Flowers1,TaskHaveAndReturnItems,,,1,C10A_Flowers1,C10A_Flowers1_Gatherable,100,,,,,RaidCutlassKeys00,,,,,,,,IO_C10A_Flowers1_Gatherable,,,,,,,,,,,,,,,,,,,,,,,@C10A_M4_Flowers1,,,,,,,,,,,,,,,,,,,
C10A_M4_Flowers2,TaskHaveAndReturnItems,,,1,C10A_Flowers2,C10A_Flowers2_Gatherable,100,,,,,RaidCutlassKeys00,,,,,,,,IO_C10A_Flowers2_Gatherable,,,,,,,,,,,,,,,,,,,,,,,@C10A_M4_Flowers2,,,,,,,,,,,,,,,,,,,
C10A_M4_Flowers3,TaskHaveAndReturnItems,,,1,C10A_Flowers3,C10A_Flowers3_Gatherable,100,,,,,RaidCutlassKeys00,,,,,,,,IO_C10A_Flowers3_Gatherable,,,,,,,,,,,,,,,,,,,,,,,@C10A_M4_Flowers3,,,,,,,,,,,,,,,,,,,
