TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1403A_0301_d_00_Container_GKW,SimpleTaskContainer,,,,,,,,,,,dungeon_edengrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403A_Chest1,1403A_Chest2,1403A_Chest3,1403A_Finish,
1403A_Chest1,TaskHaveAndReturnItems,,,1,1403_AncientDevice,99C_MSQ2_AncientChest_1,100,,,,,dungeon_edengrove,DungeonEdengrove00,,true,,,,,,,IO_99C_MSQ2_AncientChest_1,,,,,,,,,,,,,,,,,,,,,,,@1403_Chest1,,673 1311,,,,,,,,,,,,,,,,,
1403A_Chest2,TaskHaveAndReturnItems,,,1,1403_OddContraption,99C_MSQ2_AncientChest_2,100,,,,,dungeon_edengrove,DungeonEdengrove00,,,,,,,,,IO_99C_MSQ2_AncientChest_2,,,,,,,,,,,,,,,,,,,,,,,@1403_Chest2,,652 1575,,,,,,,,,,,,,,,,,
1403A_Chest3,TaskHaveAndReturnItems,,,1,1403_StrangeTablet,99C_MSQ2_AncientChest_3,100,,,,,dungeon_edengrove,DungeonEdengrove00,,,,,,,,,IO_99C_MSQ2_AncientChest_3,,,,,,,,,,,,,,,,,,,,,,,@1403_Chest3,,480 1220,,,,,,,,,,,,,,,,,
1403A_Finish,TaskKillContribution,,,1,,,,,,,,,DungeonEdengrove00,,,,,,,,,,,,Naga_AngryEarth,,,,,,,,,,,,,,,,,,,,@objective_complete_the_expedition,,,,,,,,,,,,,,,,,,,
1427_0101_JoinedACult_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0101_01_TriggerVol_CultHQ,1427_0101_02_Container_TalkToCultists,1427_0101_03_TalkToCultOfficer,,
1427_0101_01_TriggerVol_CultHQ,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_1427_CultHQ,@1427_0101_01_TriggerVol_CultHQ,,11089.1563 7319.9424 167.6392,,,,,,,,,,,,,,,,,
1427_0101_02_Container_TalkToCultists,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0101_02a_TalkToCultist01,1427_0101_02b_TalkToCultist02,1427_0101_02c_TalkToCultist03,,
1427_0101_02a_TalkToCultist01,TaskConversationTopic,,,,1436_Cultist_Generic_01,,,,,,,,,,,,,,,,,,1427_0101_TalkTo_Cultist01,,,,,,,,,,,,,,,,,,,,,,@1427_0101_02a_TalkToCultist01,,11086.37 7335.2383 167.33,,,,,,,,,,,,,,,,,
1427_0101_02b_TalkToCultist02,TaskConversationTopic,,,,1437_Cultist_Generic_02,,,,,,,,,,,,,,,,,,1427_0101_TalkTo_Cultist02,,,,,,,,,,,,,,,,,,,,,,@1427_0101_02b_TalkToCultist02,,11086.37 7325.84 167.53,,,,,,,,,,,,,,,,,
1427_0101_02c_TalkToCultist03,TaskConversationTopic,,,,1438_Cultist_Generic_03,,,,,,,,,,,,,,,,,,1427_0101_TalkTo_Cultist03,,,,,,,,,,,,,,,,,,,,,,@1427_0101_02c_TalkToCultist03,,11103.97 7337.25 166.27,,,,,,,,,,,,,,,,,
1427_0101_03_TalkToCultOfficer,TaskConversationTopic,,,,1429_CultOfficer,,,,,,,,,,,,,,,,,,1427_0101_TalkTo_CultOfficer,,,,,,,,,,,,,,,,,,,,,,@1427_0101_03_TalkToCultOfficer,,11089.6074 7324.5444 167.4543,,,,,,,,,,,,,,,,,
1427_0102_Pilgrimmage01_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0102_01_TalkToCultOfficer,1427_0102_02_GoToPOI,1427_0102_03_Container_KillDryadsAnointSeed,1427_0102_03c_SliceSwap_Daughter_Field_On,
1427_0102_01_TalkToCultOfficer,TaskConversationTopic,,,,1429_CultOfficer,,,,,,,,,,,,,,,,,,1427_0102_TalkTo_CultOfficer_Pilgrimmage,,,,,,,,,,,,,,,,,,,,,,@1427_0102_01_TalkToCultOfficer,,11089.6074 7324.5444 167.4543,,,,,,,,,,,,,,,,,
1427_0102_02_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_brutalthicket_50310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0102_02_GoToPOI,,,,,,,,,,,,,,,,,,,
