TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
C91_container_00_FQ_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_01_TaskHaveItems,,,,
C91_FQ_01_TaskHaveItems,TaskGatherAndReturnItems,,1,,3,BaitFreshFireflyT3,,,,,,,,,true,true,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_01_TaskHaveItems,,,,,,,,,,,,,,,,,,,
C91_container_00_FQ_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_02_FishingContainer,C91_FQ_02_05_Unlock_Khadijah,,,
C91_FQ_02_FishingContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_02_01_TaskFishingEquip,C91_FQ_02_02_TaskFishingCast,C91_FQ_02_03_TaskFishingHook,C91_FQ_02_04_TaskFishingReel,
C91_FQ_02_01_TaskFishingEquip,TaskFishingEquip,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_02_TaskFishingEquip,,,,,,,,,,,,,,,,,,,
C91_FQ_02_02_TaskFishingCast,TaskFishingCast,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_02_02_TaskFishingCast,,,,,,,,,,,,,,,,,,,
C91_FQ_02_03_TaskFishingHook,TaskFishingHook,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_02_03_TaskFishingHook,,,,,,,,,,,,,,,,,,,
C91_FQ_02_04_TaskFishingReel,TaskFishingReel,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_02_04_TaskFishingReel,,,,,,,,,,,,,,,,,,,
C91_FQ_02_Vector_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_02_Vector_TakeNote,C91_FQ_02_Vector_GiveNote,,,
C91_FQ_02_Vector_TakeNote,TaskGiveAndTakeItem,,,,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_02_Vector_TakeNote,,,,,,,,,,,,,,,,,,,
C91_FQ_02_Vector_GiveNote,TaskHaveAndReturnItems,,,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_02_05_Unlock_Khadijah,TaskUnlockAchievement,,,,1,C91_FishQ_04_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_container_00_FQ_03,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_03_00_simple_container,C91_FQ_03_05_Unlock_Ishikawa,,,
C91_FQ_03_00_simple_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_03_00_Lock_Perronelle_A,C91_FQ_03_snail_container,C91_FQ_03_clam_container,,
C91_FQ_03_00_Lock_Perronelle_A,TaskUnlockAchievement,,,,1,C91_FishQ_01_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
