TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,OverrideLocation,ItemName,POITag,UIScreenTag,InteractTag
Quest_03190_Task_0,Quest_03190_Task_1,Quest_03190_Task_6,Quest_03190_Task_2,Quest_03190_Task_17,Quest_03190_Task_7,Quest_03190_Task_13,Quest_03190_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,
Quest_03190_Task_2,Quest_03190_Task_3,Quest_03190_Task_3_0,Quest_03190_Task_3_0_0,Quest_03190_Task_3_0_0_0,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_03190_Task_2_Description,7303.674805 3091.511475 45.167999,,,,
Quest_03190_Task_3,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03190_Task_3_Description,,1hPickT1,,,
Quest_03190_Task_3_0,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03190_Task_3_0_Description,,1hHatchetT1,,,
Quest_03190_Task_3_0_0,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03190_Task_3_0_0_Description,,1hSkinningKnifeT1,,,
Quest_03190_Task_3_0_0_0,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,@Quest_03190_Task_3_0_0_0_Description,,1hSickleT1,,,
Quest_03190_Task_7,Quest_03190_Task_8,Quest_03190_Task_9,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_03190_Task_8,,,,,,,,TASKGOTOPOITAGONTERRITORY,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,12,@Quest_03190_Task_8_Description,7429.529785 3614.060059 97.882896,,Windsward_Settlement_01,,
Quest_03190_Task_9,Quest_03190_Task_8_0,Quest_03190_Task_11,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03190_Task_9_Description,,,,,
Quest_03190_Task_8_0,,,,,,,,TASKGOTOPOITAGONTERRITORY,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,0.000000,12,@Quest_03190_Task_8_0_Description,,,Windsward_Settlement_01,,
Quest_03190_Task_11,Quest_03190_Task_12,Quest_03190_Task_12_0,Quest_03190_Task_18,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_03190_Task_12,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,10,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,@Quest_03190_Task_12_Description,,WoodT1,,,
Quest_03190_Task_12_0,,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,10,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,@Quest_03190_Task_12_0_Description,,StoneT1,,,
Quest_03190_Task_13,,,,,,,,TASKGOTOPOITAGONTERRITORY,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,0.000000,6,@Quest_03190_Task_13_Description,9329.480469 2589.790039 79.620003,,Windsward_Settlement_01,,
Quest_03190_Task_14,Quest_03190_Task_15,Quest_03190_Task_15_0,Quest_03190_Task_16,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03190_Task_14_Description,,,,,
Quest_03190_Task_15,,,,,,,,TASKOPENUISCREEN,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_03190_Task_15_Description,9316.625000 2706.854004 83.286003,,,Contracts,
Quest_03190_Task_15_0,,,,,,,,TASKINTERACT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_03190_Task_15_0_Description,9287.845703 2685.091309 82.663200,,,,SettlementStorage
Quest_03190_Task_16,,,,,,,,TASKOPENUISCREEN,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_03190_Task_16_Description,9319.522461 2667.009033 85.393097,,,InnInteractMenu,
Quest_03190_Task_1,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_01a,,,
Quest_03190_Task_4,Quest_03190_Task_5,Quest_03190_Task_10,Quest_03190_Task_19,Quest_03190_Task_14,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,
Quest_03190_Task_5,,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_01a,,,
