TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,ItemName,UIScreenTag,CraftingRecipeId,KillEnemyType,ItemDropVC,OverrideLocation,GameModeID
Quest_03195_Task_0,Quest_03195_Task_1,Quest_03195_Task_3,Quest_03195_Task_2,Quest_03195_Task_6,Quest_03195_Task_2_0,Quest_03195_Task_7,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_03195_Task_1,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_1_Description,WeaversFen_Settlement_01,,,,,,,
Quest_03195_Task_2,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_2_Description,,NPC_04631,NPC_04631_State_2_Topic_0,,,,,
Quest_03195_Task_3,Quest_03195_Task_4,Quest_03195_Task_5,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_03195_Task_4,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_04,,,,,,
Quest_03195_Task_5,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,SS2_SwapActive_Aelstrom_05,,,,,,
Quest_03195_Task_6,,,,,,,TASKCRAFTMULTIPLERECIPES,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_6_Description,,,,90_SS2_PHRecipe,S8BoxCraftT4,"WeaponsBoxT3,ArmorBoxT3,JewelryBoxT3,ToolsBoxT3,CombatConsumablesBoxT3,CutGemsBoxT3",,
Quest_03195_Task_2_0,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_2_0_Description,,NPC_04631,NPC_04631_State_3_Topic_0,,,,,
Quest_03195_Task_7,Quest_03195_Task_8,Quest_03195_Task_8_0,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_7_Description,,,,,,,13419.170898 5278.610840 76.249496,
Quest_03195_Task_8,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_8_Description,,,,,Damned_Priest_Miniboss_RestlessShores,,,DungeonRestlessShores01
Quest_03195_Task_8_0,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_03195_Task_8_0_Description,,,,,Damned_LongSwordsman_Commander_Named_DG_Restless_00,,1195.667358 1163.423096 203.663895,DungeonRestlessShores01
