TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,OverrideLocation,POITag,ItemName,UIScreenTag,InteractTag,KillEnemyType
Quest_16007_Task_0,Quest_16007_Task_3,Quest_16007_Task_1,Quest_16007_Task_2,Quest_16007_Task_6_1,Quest_16007_Task_6,Quest_16007_Task_4,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16007_Task_1,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16007_Task_1_Description,3350.946045 6586.538574 125.157303,ancient_hall_10311,,,,
Quest_16007_Task_2,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,5.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16007_Task_2_Description,,,NPC_16189,NPC_16189_State_1_Topic_0,IO_17_ZQBS4_Pylon1,
Quest_16007_Task_4,Quest_16007_Task_7,Quest_16007_Task_7_0,Quest_16007_Task_7_0_0,Quest_16007_Task_7_0_0_0,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16007_Task_4_Description,,,,,,
Quest_16007_Task_6,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16007_Task_6_Description,3370.331055 6618.116211 141.957001,,,,IO_17_ZQBS4_Pylon1,17_ZQBS4_Pylon1_interact
Quest_16007_Task_6_0,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,0.000000,0,@Quest_16007_Task_6_0_Description,3466.664062 6642.428223 140.106995,,,,IO_17_ZQBS4_Battery2,17_ZQBS4_Battery2_interact
Quest_16007_Task_6_0_0,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16007_Task_6_0_0_Description,3466.664062 6642.428223 140.106995,,,,IO_17_ZQBS4_Pylon2,17_ZQBS4_Pylon2_interact
Quest_16007_Task_7,Quest_16007_Task_6_0,Quest_16007_Task_6_0_0,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16007_Task_7_0,Quest_16007_Task_6_0_1,Quest_16007_Task_6_0_0_0,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16007_Task_7_0_Description,,,,,,
Quest_16007_Task_6_0_1,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,0.000000,0,@Quest_16007_Task_6_0_1_Description,3431.893066 6723.041992 141.679001,,,,IO_17_ZQBS4_Battery3,17_ZQBS4_Battery3_interact
