TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag
Quest_16026_Task_0,Quest_16026_Task_2,Quest_16026_Task_3,Quest_16026_Task_4,Quest_16026_Task_1,Quest_16026_Task_13_0,Quest_16026_Task_4_0,Quest_16026_Task_13,Quest_16026_Task_5,Quest_16026_Task_14,Quest_16026_Task_14_0,Quest_16026_Task_14_0_0,Quest_16026_Task_15,Quest_16026_Task_16,Quest_16026_Task_17,Quest_16026_Task_7,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16026_Task_2,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQU_RU2Push_Satisfy,,,,,,
Quest_16026_Task_3,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_3_Description,inquisitor_village_20324,,,,
Quest_16026_Task_4,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16026_Task_4_Description,,TV_17ZQURU2_SearchJudgement,4486.595215 7080.279785 157.000000,,
Quest_16026_Task_6,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_6_Description,,,,17_ZQURU2_EscapeTrapDoorTD_interact,IO_17_ZQURU2_EscapeTrapDoorTD
Quest_16026_Task_7,Quest_16026_Task_9,Quest_16026_Task_8,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16026_Task_8,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Leave,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,TV_17ZQURU2_EscapeCave,,,
Quest_16026_Task_9,Quest_16026_Task_6,Quest_16026_Task_10,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16026_Task_10,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_EscapedTrap,,,,,,
Quest_16026_Task_1,Quest_16026_Task_11,Quest_16026_Task_11_0,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,4486.600098 7080.279785 157.000000,,
