TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,ItemDropVC,InteractTag,OverrideLocation,KillEnemyType,TP_TargetTag
Quest_18017_Task_0,Quest_18017_Task_14,Quest_18017_Task_15,Quest_18017_Task_1,Quest_18017_Task_2,Quest_18017_Task_12,Quest_18017_Task_3,Quest_18017_Task_16,Quest_18017_Task_17,Quest_18017_Task_8,Quest_18017_Task_4,Quest_18017_Task_5,Quest_18017_Task_1_0,Quest_18017_Task_11,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18017_Task_1,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18003,NPC_18003_State_1_Topic_0,@Quest_18017_Task_1_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_2,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18050,NPC_18050_State_1_Topic_0,@Quest_18017_Task_2_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_3,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18006,NPC_18006_State_1_Topic_0,@Quest_18017_Task_3_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_4,,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Wine_Bottle,,@Quest_18017_Task_4_Description,dunwood_castle_10201,17_MSQ_WineCask1,IO_17_MSQ_WineCask1,3392.582031 5789.162109 204.190994,,
Quest_18017_Task_5,Quest_18017_Task_6,Quest_18017_Task_7,Quest_18017_Task_7_0,Quest_18017_Task_7_0_0,Quest_18017_Task_7_0_0_0,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18017_Task_6,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18017_Task_6_Description,dunwood_castle_10201,,IO_17_MSQ_GothicTorch1,3456.250000 5793.449219 212.005997,17_MSQ_GothicTorch1_Interact,
Quest_18017_Task_7,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18017_Task_7_Description,dunwood_castle_10201,,IO_17_MSQ_GothicTorch2,3474.624023 5802.225098 212.000000,17_MSQ_GothicTorch2_Interact,
Quest_18017_Task_8,,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17_MSQ_Wine_Bottle,,@Quest_18017_Task_8_Description,dunwood_castle_10201,17_MSQ_WineCask2,IO_17_MSQ_WineCask2,3370.726074 5794.533203 203.755005,,
Quest_18017_Task_7_0,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18017_Task_7_0_Description,dunwood_castle_10201,,IO_17_MSQ_GothicTorch3,3470.435059 5837.730957 219.250000,17_MSQ_GothicTorch3_Interact,
Quest_18017_Task_7_0_0,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18017_Task_7_0_0_Description,dunwood_castle_10201,,IO_17_MSQ_GothicTorch4,3434.345947 5840.845215 229.350006,17_MSQ_GothicTorch4_Interact,
Quest_18017_Task_7_0_0_0,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18017_Task_7_0_0_0_Description,dunwood_castle_10201,,IO_17_MSQ_GothicTorch5,3418.016113 5856.514160 229.350006,17_MSQ_GothicTorch5_Interact,
Quest_18017_Task_9,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18053,NPC_18053_State_1_Topic_0,@Quest_18017_Task_9_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_1_0,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18004,NPC_18004_State_1_Topic_0,@Quest_18017_Task_1_0_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_10,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18051,NPC_18051_State_1_Topic_0,@Quest_18017_Task_10_Description,dunwood_castle_10201,,,,,
Quest_18017_Task_11,Quest_18017_Task_9,Quest_18017_Task_10,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18017_Task_12,Quest_18017_Task_13,Quest_18017_Task_13_0,Quest_18017_Task_13_0_0,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18017_Task_13,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18017_Task_13_Description,dunwood_castle_10201,,,3307.319092 5952.276855 235.000000,,TV_17_MSQ_CastleDPathing1
Quest_18017_Task_13_0,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18017_Task_13_0_Description,dunwood_castle_10201,,,3269.406006 5915.919922 244.445999,,TV_17_MSQ_CastleDPathing2
Quest_18017_Task_13_0_0,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18017_Task_13_0_0_Description,dunwood_castle_10201,,,3227.214111 5889.147949 257.243011,,TV_17_MSQ_CastleDPathing3
Quest_18017_Task_14,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18017_Task_14_Description,dunwood_castle_10201,,,3357.721924 6199.521973 167.748993,,TV_17_MSQ_DraculaNorthCinematic
