TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,ItemName,UIScreenTag,OverrideLocation,TP_TargetTag,ItemDropVC,InteractTag
Quest_18024_Task_0,Quest_18024_Task_1,Quest_18024_Task_2,Quest_18024_Task_12,Quest_18024_Task_3,Quest_18024_Task_5,Quest_18024_Task_4,Quest_18024_Task_9,Quest_18024_Task_6,Quest_18024_Task_10,Quest_18024_Task_7,Quest_18024_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18024_Task_1,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_1_Description,ancient_hall_10311,,,,,,
Quest_18024_Task_2,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_2_Description,,NPC_18018,NPC_18018_State_1_Topic_0,,,,
Quest_18024_Task_3,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_3_Description,ancient_hall_10311,Lore_unlock_Topic_17_Nighthaven_Title_01_06,,3480.068115 6638.228027 72.125999,,,
Quest_18024_Task_4,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18024_Task_4_Description,ancient_hall_10312,,,3355.188965 6922.589844 108.598999,TV_17_MSQ_BuilderKingNorth,,
Quest_18024_Task_5,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_5_Description,ancient_hall_10312,,,,,,
Quest_18024_Task_6,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_6_Description,ancient_hall_10312,17_MSQ_Bronze-wrought_Keystone,,3342.777100 6991.066895 69.948997,,17_MSQ_AncientBuilderChest,IO_17_MSQ_AncientBuilderChest
Quest_18024_Task_12,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18024_Task_12_Description,ancient_hall_10311,,,3476.129883 6723.326172 110.932999,TV_17_MSQ_BuilderKingSouth,,
Quest_18024_Task_7,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_7_Description_0,graveyard_10313,,,,,,
Quest_18024_Task_8,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18024_Task_8_Description_0,graveyard_10313,Lore_unlock_Topic_17_Nighthaven_Title_01_07,,3390.486084 7130.696777 111.588997,,,
Quest_18024_Task_9,,,,,,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,Unlock_Animation_AncientLockedChestOpen,,,,,
Quest_18024_Task_10,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,Unlock_Animation_AncientLockedChestOpen,,,,,
