TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag,POITag,ItemName,ItemDropVC
Quest_18028_Task_0,Quest_18028_Task_5,Quest_18028_Task_7,Quest_18028_Task_1,Quest_18028_Task_3,Quest_18028_Task_9,Quest_18028_Task_6,Quest_18028_Task_13,Quest_18028_Task_10,Quest_18028_Task_11,Quest_18028_Task_12,Quest_18028_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_18028_Task_1,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18028_Task_1_Description,TV_17_MSQ_CarmillaDungeon,3771.148926 5478.444824 109.594002,,,,,
Quest_18028_Task_2,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18028_Task_2_Description,,3724.624023 5317.714844 122.288002,17_MSQ_SearchDresser_Interact,IO_17_MSQ_SearchDresser,upyr_castle_10219,,
Quest_18028_Task_3,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18028_Task_3_Description,,,17_MSQ_SearchPaperwork_Interact,IO_17_MSQ_SearchPaperwork,upyr_castle_10219,,
Quest_18028_Task_4,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18028_Task_4_Description,,3752.906006 5331.649902 151.087006,,,upyr_castle_10219,Lore_unlock_Topic_17_Nighthaven_Title_01_05,
Quest_18028_Task_6,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18028_Task_6_Description,TV_17_MSQ_MindThiefAttack,3737.000000 5353.000000 137.951996,,,upyr_castle_10219,,
Quest_18028_Task_7,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18028_Task_7_Description,,,,,upyr_castle_10220,17_MSQ_Morgaines_Potions,Lost
Quest_18028_Task_5,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18028_Task_5_Description_0,TV_17_MSQ_Cronewell,3879.309082 5645.797852 144.936005,,,,,
Quest_18028_Task_8,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18028_Task_8_Description,TV_17_MSQ_CarmillaBridge,3703.593994 5226.503906 131.001007,,,,,
Quest_18028_Task_9,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18028_Task_9_Description_0,TV_17_MSQ_ExitCarmillaDungeon,3730.409912 5326.355957 125.894997,,,upyr_castle_10219,,
