TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,KillEnemyType,OverrideLocation,TP_TargetTag
Quest_28001_Task_0,Quest_28001_Task_1,Quest_28001_Task_11,Quest_28001_Task_12,Quest_28001_Task_13,Quest_28001_Task_7,Quest_28001_Task_4,Quest_28001_Task_3,Quest_28001_Task_8,Quest_28001_Task_9,Quest_28001_Task_10,Quest_28001_Task_2,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,
Quest_28001_Task_7,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,17_IQ_01_CursedReliquary_IGC_Preload,@Quest_28001_Task_7_Description,,,
Quest_28001_Task_8,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Start_IGC_17_IQ_01_CursedReliquary,@Quest_28001_Task_8_Description,,,
Quest_28001_Task_3,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapActive_17_IQ_SerCrusader01,@Quest_28001_Task_3_Description_0,,,
Quest_28001_Task_9,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_28001_Task_9_Description_1,17_IQ_Corruption_Whisper_01,,
Quest_28001_Task_10,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,22.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_28001_Task_10_Description_0,,,
Quest_28001_Task_11,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SwapLore_17_IQ_Title_01_05,@Quest_28001_Task_11_Description_0,,,
Quest_28001_Task_12,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_28001_Task_12_Description_0,Corrupted,5293.088379 6819.117676 145.285400,
Quest_28001_Task_1,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_28001_Task_1_Description_0,,5255.910156 6851.229980 145.559998,TV_17_IQ_01_SealedEntrance
Quest_28001_Task_4,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_28001_Task_4_Description_0,,5290.808594 6788.260254 145.169800,TV_17_IQ_01_CursedReliquary
Quest_28001_Task_13,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_28001_Task_13_Description_0,,5290.657227 6800.451172 145.122696,TV_17_IQ_01_ForbiddenVault
Quest_28001_Task_2,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Watched_IGC_17_IQ_01_CursedReliquary,@Quest_28001_Task_2_Description_1,,,
