TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,OverrideLocation,KillEnemyType,InteractTag,GameModeID,ItemName,UIScreenTag,ItemDropVC
Quest_28004_Task_0,Quest_28004_Task_1,Quest_28004_Task_23,Quest_28004_Task_2,Quest_28004_Task_17,Quest_28004_Task_14,Quest_28004_Task_18,Quest_28004_Task_10,Quest_28004_Task_15,Quest_28004_Task_5,Quest_28004_Task_16,Quest_28004_Task_11,Quest_28004_Task_12,Quest_28004_Task_4,Quest_28004_Task_6,Quest_28004_Task_9,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28004_Task_1,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_1_Description,Dunwood_Settlement_01,,,,,,,
Quest_28004_Task_2,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_2_Description,inquisitor_camp_20332,,,,,,,
Quest_28004_Task_3,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_3_Description,inquisition_hq_20219,,,,,,,
Quest_28004_Task_4,,,,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_4_Description,,5187.379883 6911.799805 242.369995,,,,,,
Quest_28004_Task_7,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_7_Description,,4863.982910 5214.058594 93.509598,17_IQ_04_ThirdSeraphBrazier,IO_17_IQ_04_ThirdSeraphBrazier,,,,
Quest_28004_Task_8,,,,,,,,,,,,,,,,TASKGAMEMODE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_8_Description,inquisition_hq_20219,4870.759766 5220.580078 93.798798,,,QuestSeraphim,,,
Quest_28004_Task_10,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_10_Description,,5188.044922 6912.634766 231.951996,Quest_Placeholder_Destructible,IO_Quest_Placeholder_Destructible,,,,
Quest_28004_Task_11,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_11_Description,,5186.009766 6911.950195 246.119995,17_IQ_04_HangingChimes,IO_17_IQ_04_HangingChimes,,,,
Quest_28004_Task_12,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_12_Description,,5187.473145 6912.064941 242.100006,17_IQ_04_ThirdSeraphLungs,IO_17_IQ_04_ThirdSeraphLungs,,,,
Quest_28004_Task_14,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_14_Description,,5189.422852 6912.058594 231.288193,,,,NPC_28004,NPC_28004_State_0_Topic_0,
Quest_28004_Task_15,,,,,,,,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28004_Task_15_Description,,0.000000 0.000000 0.000000,,,,17_IQ_04_AshenLump,,Corrupted
Quest_28004_Task_19,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_19_Description,,4862.752441 6819.890137 158.108902,,,,Lore_unlock_Topic_17_IQ_Title_01_01,,
Quest_28004_Task_20,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_20_Description,,4854.680176 6837.729980 170.990005,,,,Lore_unlock_Topic_17_IQ_Title_01_02,,
Quest_28004_Task_21,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_21_Description,,4861.970215 6823.759766 154.000000,,,,Lore_unlock_Topic_17_IQ_Title_01_03,,
Quest_28004_Task_5,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_5_Description_0,,,17_IQ_Corruption_Whisper_04,,,,,
Quest_28004_Task_16,,,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,10.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_16_Description_0,,,,,,,,
Quest_28004_Task_17,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,SwapActive_17_IQ_CorruptedPrisoner,,
Quest_28004_Task_18,,,,,,,,,,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,,,,,SwapActive_17_IQ_CorruptedPrisoner,,
Quest_28004_Task_22,,,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_22_Description,,4895.379883 5167.720215 94.910004,Trial_Quest_Seraphim_Boss,,,,,
Quest_28004_Task_9,Quest_28004_Task_3,Quest_28004_Task_7,Quest_28004_Task_8,Quest_28004_Task_13,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28004_Task_23,Quest_28004_Task_24,Quest_28004_Task_19,Quest_28004_Task_25,Quest_28004_Task_20,Quest_28004_Task_26,Quest_28004_Task_21,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28004_Task_23_Description,,,,,,,,
Quest_28004_Task_24,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28004_Task_24_Description,,,,,,SwapLore_17_IQ_Title_01_01,,
Quest_28004_Task_25,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28004_Task_25_Description,,,,,,SwapLore_17_IQ_Title_01_02,,
Quest_28004_Task_26,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28004_Task_26_Description,,,,,,SwapLore_17_IQ_Title_01_03,,
Quest_28004_Task_6,,,,,,,,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28004_Task_6_Description_0,,,,,,17_IQ_04_SeraphicLungs,,
Quest_28004_Task_13,Quest_28004_Task_22,Quest_28004_Task_27,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_28004_Task_27,,,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,Inquisitor_Warden_17DW01_20219,,,,,
