ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,ShouldResetInProgressQuestOnScheduleEnd
04A_Side01_01_RecoverSupplies,Journey,,,,,,,04A_Side01_01_RecoverSupplies_container,0403a_HuntsmanLee,,04A_Side01_01,,,,04A_Side01_01_RecoverSupplies_success,,,,,,,,true,,@04A_Side01_01_RecoverSupplies_Title,@04A_Side01_01_RecoverSupplies_Desc,@04A_Side01_01_RecoverSupplies_Start_Prompt,@04A_Side01_01_RecoverSupplies_Proposal,@04A_Side01_01_RecoverSupplies_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side01_01_RecoverSupplies_Complete,,,true,,,,,,,,
04A_Side01_02_NiceFurs,Journey,,,,,,,04A_Side01_02_NiceFurs_container,0403a_HuntsmanLee,,04A_Side01_02,04A_Side01_01,,,04A_Side01_02_NiceFurs_success,,,,,,,,true,,@04A_Side01_02_NiceFurs_Title,@04A_Side01_02_NiceFurs_Desc,@04A_Side01_02_NiceFurs_Start_Prompt,@04A_Side01_02_NiceFurs_Proposal,@04A_Side01_02_NiceFurs_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side01_02_NiceFurs_Complete,,,,,,,,,,,
04A_Side02_01_ObeliskNotes,Journey,,,,,,,04A_Side02_01_ObeliskNotes_container,0411a_WilliamHeron,,04A_Side02_01,,,,04A_Side02_01_ObeliskNotes_success,,,,,,,,true,,@04A_Side02_01_ObeliskNotes_Title,@04A_Side02_01_ObeliskNotes_Desc,@04A_Side02_01_ObeliskNotes_Start_Prompt,@04A_Side02_01_ObeliskNotes_Proposal,@04A_Side02_01_ObeliskNotes_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side02_01_ObeliskNotes_Complete,,,true,,,,,,,,
04A_Side02_02_ObeliskDefenders,Journey,,,,,,,04A_Side02_02_ObeliskDefenders_container,0411a_WilliamHeron,,04A_Side02_02,04A_Side02_01,,,04A_Side02_02_ObeliskDefenders_success,,,,,,,,true,,@04A_Side02_02_ObeliskDefenders_Title,@04A_Side02_02_ObeliskDefenders_Desc,@04A_Side02_02_ObeliskDefenders_Start_Prompt,@04A_Side02_02_ObeliskDefenders_Proposal,@04A_Side02_02_ObeliskDefenders_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side02_02_ObeliskDefenders_Complete,,,,,,,,,,,
04A_Side02_03_LightBeacons,Journey,,,,,,,04A_Side02_03_LightBeacons_container,0411a_WilliamHeron_01,,04A_Side02_03,04A_Side02_02,,,04A_Side02_03_LightBeacons_success,,,,,,,,true,,@04A_Side02_03_LightBeacons_Title,@04A_Side02_03_LightBeacons_Desc,@04A_Side02_03_LightBeacons_Start_Prompt,@04A_Side02_03_LightBeacons_Proposal,@04A_Side02_03_LightBeacons_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side02_03_LightBeacons_Complete,,,,,,,,,,,
04A_Side02_04_CollectAzoth,Journey,,,,,,,04A_Side02_04_CollectAzoth_container,0411a_WilliamHeron_01,,04A_Side02_04,04A_Side02_03,,,04A_Side02_04_CollectAzoth_success,,,,,,,,true,,@04A_Side02_04_CollectAzoth_Title,@04A_Side02_04_CollectAzoth_Desc,@04A_Side02_04_CollectAzoth_Start_Prompt,@04A_Side02_04_CollectAzoth_Proposal,@04A_Side02_04_CollectAzoth_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side02_04_CollectAzoth_Complete,,,,,,,,,,,
04A_Side02_05_PlaceSphere,Journey,,,,,,,04A_Side02_05_PlaceSphere_container,0411a_WilliamHeron_01,,04A_Side02_05,04A_Side02_04,,,04A_Side02_05_PlaceSphere_success,,,,,,,,true,,@04A_Side02_05_PlaceSphere_Title,@04A_Side02_05_PlaceSphere_Desc,@04A_Side02_05_PlaceSphere_Start_Prompt,@04A_Side02_05_PlaceSphere_Proposal,@04A_Side02_05_PlaceSphere_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side02_05_PlaceSphere_Complete,,,,,,,,,,,
04A_Side02_06_Amrine,Journey,,25,,,,,0411_0413_d_00_Container_Amrine,0411a_WilliamHeron_01,,04_Quest_18,04A_Side02_05,,,0411_0413_Amrine_success,,,,,,,,true,,@0411_0413_a_Title,@0411_0413_b_Description,@0411_0413_c_start_prompt,@0411_0413_c_Proposal,@0411_0413_e_Incomplete,@complete_available_prompt_DEFAULT,@0411_0413_f_Complete,,,,,,,,,,,
04A_Side02_07_Shattered,Journey,,35,,,,,0411_0414_d_00_container_Shattered,0411a_WilliamHeron_01,,04_Quest_19,04_Quest_18,,,0411_0414_Shattered_success,,,,,,,,true,,@0411_0414_a_Title,@0411_0414_b_Description,@0411_0414_c_start_prompt,@0411_0414_c_Proposal,@0411_0414_e_Incomplete,@complete_available_prompt_DEFAULT,@0411_0414_f_Complete,,,,,,,,,,,
04A_Side03_01_RecoverVase,Journey,,,,,,,04A_Side03_01_RecoverVase_container,0436a_TamraAyad,,04A_Side03_01,,,,04A_Side03_01_RecoverVase_success,,,,,,,,true,,@04A_Side03_01_RecoverVase_Title,@04A_Side03_01_RecoverVase_Desc,@04A_Side03_01_RecoverVase_Start_Prompt,@04A_Side03_01_RecoverVase_Proposal,@04A_Side03_01_RecoverVase_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side03_01_RecoverVase_Complete,,,,,,,,,,,
04A_Side03_02_AncientScrolls,Journey,,,,,,,04A_Side03_02_AncientScrolls_container,0436a_TamraAyad_01,,04A_Side03_02,04A_Side03_01,,,04A_Side03_02_AncientScrolls_success,,,,,,,,true,,@04A_Side03_02_AncientScrolls_Title,@04A_Side03_02_AncientScrolls_Desc,@04A_Side03_02_AncientScrolls_Start_Prompt,@04A_Side03_02_AncientScrolls_Proposal,@04A_Side03_02_AncientScrolls_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side03_02_AncientScrolls_Complete,,,,,,,,,,,
04A_Side03_03_AncientTalismans,Journey,,,,,,,04A_Side03_03_AncientTalismans_container,0436a_TamraAyad_01,,04A_Side03_03,04A_Side03_01,,,04A_Side03_03_AncientTalismans_success,,,,,,,,true,,@04A_Side03_03_AncientTalismans_Title,@04A_Side03_03_AncientTalismans_Desc,@04A_Side03_03_AncientTalismans_Start_Prompt,@04A_Side03_03_AncientTalismans_Proposal,@04A_Side03_03_AncientTalismans_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side03_03_AncientTalismans_Complete,,,true,,,,,,,,
04A_Side04_01_ScoutCorrupted,Journey,,,,,,,04A_Side04_01_ScoutCorrupted_container,0405a_ArtificerPetrowski_01,,04A_Side04_01,,,,04A_Side04_01_ScoutCorrupted_success,,,,,,,,true,,@04A_Side04_01_ScoutCorrupted_Title,@04A_Side04_01_ScoutCorrupted_Desc,@04A_Side04_01_ScoutCorrupted_Start_Prompt,@04A_Side04_01_ScoutCorrupted_Proposal,@04A_Side04_01_ScoutCorrupted_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_01_ScoutCorrupted_Complete,,,,,,,,,,,
04A_Side04_02_PoisonCorrupted,Journey,,,,,,,04A_Side04_02_PoisonCorrupted_container,0405a_ArtificerPetrowski_01,,04A_Side04_02,04A_Side04_01,,,04A_Side04_02_PoisonCorrupted_success,,,,,,,,true,,@04A_Side04_02_PoisonCorrupted_Title,@04A_Side04_02_PoisonCorrupted_Desc,@04A_Side04_02_PoisonCorrupted_Start_Prompt,@04A_Side04_02_PoisonCorrupted_Proposal,@04A_Side04_02_PoisonCorrupted_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_02_PoisonCorrupted_Complete,,,,,,,,,,,
04A_Side04_03_ToHuntsman,Journey,,,,,,,04A_Side04_03_ToHuntsman_container,0403a_HuntsmanLee,,04A_Side04_03,04A_Side04_02,,,04A_Side04_03_ToHuntsman_success,,,,,,,,true,,@04A_Side04_03_ToHuntsman_Title,@04A_Side04_03_ToHuntsman_Desc,@04A_Side04_03_ToHuntsman_Start_Prompt,@04A_Side04_03_ToHuntsman_Proposal,@04A_Side04_03_ToHuntsman_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_03_ToHuntsman_Complete,,,,,,,,,,,
04A_Side04_04_KillNamed,Journey,,,,,,,04A_Side04_04_KillNamed_container,0405a_ArtificerPetrowski_02,,04A_Side04_04,04A_Side04_03,,,04A_Side04_04_KillNamed_success,,,,,,,,true,,@04A_Side04_04_KillNamed_Title,@04A_Side04_04_KillNamed_Desc,@04A_Side04_04_KillNamed_Start_Prompt,@04A_Side04_04_KillNamed_Proposal,@04A_Side04_04_KillNamed_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_04_KillNamed_Complete,,,,,,,,,,,
04A_Side04_05_GetLocket,Journey,,,,,,,04A_Side04_05_GetLocket_container,0405a_ArtificerPetrowski_02,,04A_Side04_05,04A_Side04_03,,,04A_Side04_05_GetLocket_success,,,,,,,,true,,@04A_Side04_05_GetLocket_Title,@04A_Side04_05_GetLocket_Desc,@04A_Side04_05_GetLocket_Start_Prompt,@04A_Side04_05_GetLocket_Proposal,@04A_Side04_05_GetLocket_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_05_GetLocket_Complete,,,true,,,,,,,,
04A_Side04_06_GetFlowers,Journey,,,,,,,04A_Side04_06_GetFlowers_container,0405a_ArtificerPetrowski_02,,04A_Side04_06,04A_Side04_05,,,04A_Side04_06_GetFlowers_success,,,,,,,,true,,@04A_Side04_06_GetFlowers_Title,@04A_Side04_06_GetFlowers_Desc,@04A_Side04_06_GetFlowers_Start_Prompt,@04A_Side04_06_GetFlowers_Proposal,@04A_Side04_06_GetFlowers_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_06_GetFlowers_Complete,,,,,,,,,,,
04A_Side04_07_ToHuntsman02,Journey,,,,,,,04A_Side04_07_ToHuntsman02_container,0403a_HuntsmanLee,,04A_Side04_07,04A_Side04_06,,,04A_Side04_07_ToHuntsman02_success,,,,,,,,true,,@04A_Side04_07_ToHuntsman02_Title,@04A_Side04_07_ToHuntsman02_Desc,@04A_Side04_07_ToHuntsman02_Start_Prompt,@04A_Side04_07_ToHuntsman02_Proposal,@04A_Side04_07_ToHuntsman02_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side04_07_ToHuntsman02_Complete,,,,,,,,,,,
