ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ReleaseEventTags,ReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
09_getoffbeach,MainStoryQuest,,1,,,,,0901_0100_d_00_container_getoffbeach,0901_Watcher,9,S_getoffbeach,,,,S_getoffbeach_success,,,,,,,,,false,@title_getoffbeach,@desc_getoffbeach,@prompt_DEFAULT,@proposal_getoffbeach,@incomplete_getoffbeach,@complete_available_prompt_DEFAULT,@0900_0101_getoffbeach_complete_availaible_response,,,true,,,,,,
0901_0101_culldrowned,MainStoryQuest,,,,,,,0901_0101_d_00_container_culldrowned,0901_Watcher,9,S_culldrowned,,,,0901_0101_culldrowned_success,,,,,,,,,false,@0901_0101_culldrowned_objective_title,@0901_0101_culldrowned_objective_desc,@0901_0101_culldrowned_start_prompt,@0901_0101_culldrowned_proposal,@0901_0101_culldrowned_incomplete,@complete_available_prompt_DEFAULT,@0901_0101_culldrowned_complete_availaible_response,,,,,,,,,
0901_0102_campandtools,MainStoryQuest,,1,,,,,0901_0102_d_00_container_campandtools,0901_Watcher,9,S_campandtools,,,,0901_0102_campandtools_success,,,,,,,,,false,@0901_0102_campandtools_objective_title,@0901_0102_campandtools_objective_desc,@0901_0102_campandtools_proposal_prompt,@0901_0102_campandtools_proposal_next,@0901_0102_campandtools_incomplete,@complete_available_prompt_DEFAULT,@0901_0102_campandtools_complete_availaible_response,,,,,,,,,
0901_0103_boarproblem,MainStoryQuest,,2,,,,,0901_0103_d_00_container_boarproblem,0901_Watcher,9,S_boarproblem,S_campandtools,,,0901_0103_boarproblem_success,,,,,,,,,false,@0901_0103_boarproblem_objective_title,@0901_0103_boarproblem_objective_desc,@0901_0103_boarproblem_start_prompt,@0901_0103_boarproblem_incomplete,@0901_0103_boarproblem_incomplete,@complete_available_prompt_DEFAULT,@0901_0103_boarproblem_complete_availaible_response,,,,,,,,,
0901_0104_xmarksthespot,MainStoryQuest,,,,,,,0901_0104_d_00_container_xmarksthespot,0901_Watcher,9,S_xmarksthespot_p1,,,,0901_0104_xmarksthespot_success,,,,,,,,,false,@0901_0104_xmarksthespot_objective_title,@0901_0104_xmarksthespot_objective_desc,@0901_0104_xmarksthespot_start_prompt,@0901_0104_xmarksthespot_proposal,@0901_0104_xmarksthespot_incomplete,@complete_available_prompt_DEFAULT,@0901_0104_xmarksthespot_complete_availaible_response,,,,,,,,,
0901_0107_preciouscargo,MainStoryQuest,,,,,,,0901_0107_d_00_container_preciouscargo,0901_Watcher,9,S_preciouscargo,,,,0901_0107_preciouscargo_success,,,,,,,,,false,@0901_0107_preciouscargo_objective_title,@0901_0107_preciouscargo_objective_desc,@0901_0107_preciouscargo_start_prompt,@0901_0107_preciouscargo_proposal,@0901_0107_preciouscargo_incomplete,@complete_available_prompt_DEFAULT,@0901_0107_preciouscargo_complete_availaible_response,,,,,,,,,
0901_0108_introtosettlement,MainStoryQuest,,3,,,,,0901_0108_d_00_container_introtosettlement,0904_Overseer,9,S_introtosettlement,,,,0901_0108_introtosettlement_success,,,,,,,,,false,@0901_0108_introtosettlement_objective_title,@0901_0108_introtosettlement_objective_desc,@0901_0108_introtosettlement_start_prompt,@0901_0108_introtosettlement_proposal,@0901_0108_introtosettlement_incomplete,@complete_available_prompt_DEFAULT,@0901_0108_introtosettlement_complete_availaible_response,,,,,,,,,
0925_0101_truffles,Journey,,3,,,,,0925_0101_d_00_container_truffles,0425_HerbalistFL_Town,9,S_truffles,,,,0925_0101_truffles_success,,,,,,,,,false,@0425_0101_truffles_title,@0425_0101_truffles_desc,@0425_0101_truffles_start_prompt,@0425_0101_truffles_proposal,@0425_0101_truffles_incomplete,@complete_available_prompt_DEFAULT,@0425_0101_truffles_complete,,,,,,,,,
0904_01a01_warnmagistrate,MainStoryQuest,,3,,,,,0904_01a01_d_00_container_warnmagistrate,0902_Magistrate,9,S_warnmagistrate,,,,0904_01a01_warnmagistrate_success,,,,,,,,,false,@0904_01a01_warnmagistrate_objective_title,@0904_01a01_warnmagistrate_objective_desc,@0904_0901_TheHermitFL_start_prompt,@0904_0901_TheHermitFL_proposal,@0904_01a01_warnmagistrate_incomplete,@complete_available_prompt_DEFAULT,@0904_01a01_warnmagistrate_complete_availaible_response,,,,,,,,,
0902_0101_hearthandhome,MainStoryQuest,,3,,,,,0902_0101_d_00_container_hearthandhome,0902_Magistrate,9,S_hearthhome,,,,0902_0101_hearthandhome_success,,,,,,,,,false,@0902_0101_hearthandhome_objective_title,@0902_0101_hearthandhome_objective_desc,@0902_0101_hearthandhome_start_prompt,@0902_0101_hearthandhome_proposal,@0902_0101_hearthandhome_incomplete,@complete_available_prompt_DEFAULT,@0902_0101_hearthandhome_complete_available_response,,,,,,,,,
