ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ReleaseVersion
95_s01_01_CROW_GracelessRequest,Journey,,60,,,,,95_s01_01_CROW_GracelessRequest_container,9501_Grace_s01_02,,95_s01_01,,,60,95_s01_01_CROW_GracelessRequest_success,,,,,,,,,true,@95_s01_01_CROW_GracelessRequest_Title,@95_s01_01_CROW_GracelessRequest_Description,@95_s01_01_CROW_GracelessRequest_Start,@95_s01_01_CROW_GracelessRequest_Proposal,@95_s01_01_CROW_GracelessRequest_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_01_CROW_GracelessRequest_Complete,,,,,,,,,,Season_1_Perm
95_s01_02_TEMP_FirstCustomer,Journey,,60,,,,,95_s01_02_TEMP_FirstCustomer_container,9505_Skye_s01_02,,95_s01_02,95_s01_01,,60,95_s01_02_TEMP_FirstCustomer_success,,,,,,,,,false,@95_s01_02_TEMP_FirstCustomer_Title,@95_s01_02_TEMP_FirstCustomer_Description,@95_s01_02_TEMP_FirstCustomer_Start,@95_s01_02_TEMP_FirstCustomer_Proposal,@95_s01_02_TEMP_FirstCustomer_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_02_TEMP_FirstCustomer_Complete,,,,,,,,,,Season_1_Temp
95_s01_02a_TEMP_TheCurse,Journey,,60,,,,,95_s01_02a_TEMP_TheCurse_container,,,95_s01_02a,95_s01_02,,60,95_s01_02a_TEMP_TheCurse_success,,,,,,,,,false,@95_s01_02a_TEMP_TheCurse_Title,@95_s01_02a_TEMP_TheCurse_Description,@95_s01_02a_TEMP_TheCurse_Start,@95_s01_02a_TEMP_TheCurse_Proposal,@95_s01_02a_TEMP_TheCurse_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_02a_TEMP_TheCurse_Complete,,,,,,,,,,Season_1_Temp
95_s01_03_CROW_BestOfAeternum,Journey,,60,,,,,95_s01_03_CROW_BestOfAeternum_container,9501_Grace_s01_04,,95_s01_03,95_s01_02a,,60,95_s01_03_CROW_BestOfAeternum_success,,,,,,,,,false,@95_s01_03_CROW_BestOfAeternum_Title,@95_s01_03_CROW_BestOfAeternum_Description,@95_s01_03_CROW_BestOfAeternum_Start,@95_s01_03_CROW_BestOfAeternum_Proposal,@95_s01_03_CROW_BestOfAeternum_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_03_CROW_BestOfAeternum_Complete,,,,,,,,,,Season_1_Perm
95_s01_04_CROW_ZanderTheRed,Journey,,60,,,,,95_s01_04_CROW_ZanderTheRed_container,,,95_s01_04,95_s01_03,,60,95_s01_04_CROW_ZanderTheRed_success,,,,,,,,,false,@95_s01_04_CROW_ZanderTheRed_Title,@95_s01_04_CROW_ZanderTheRed_Description,@95_s01_04_CROW_ZanderTheRed_Start,@95_s01_04_CROW_ZanderTheRed_Proposal,@95_s01_04_CROW_ZanderTheRed_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_04_CROW_ZanderTheRed_Complete,,,,,,,,,,Season_1_Perm
95_s01_05_CROW_CanonAndCoin,Journey,,60,,,,,95_s01_05_CROW_CanonAndCoin_container,,,95_s01_05,95_s01_04,,60,95_s01_05_CROW_CanonAndCoin_success,,,,,,,,,false,@95_s01_05_CROW_CanonAndCoin_Title,@95_s01_05_CROW_CanonAndCoin_Description,@95_s01_05_CROW_CanonAndCoin_Start,@95_s01_05_CROW_CanonAndCoin_Proposal,@95_s01_05_CROW_CanonAndCoin_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_05_CROW_CanonAndCoin_Complete,,,,,,,,,,Season_1_Perm
95_s01_06_TEMP_SupplyChains,Journey,,60,,,,,95_s01_06_TEMP_SupplyChains_container,,,95_s01_06,95_s01_05,,60,95_s01_06_TEMP_SupplyChains_success,,,,,,,,,false,@95_s01_06_TEMP_SupplyChains_Title,@95_s01_06_TEMP_SupplyChains_Description,@95_s01_06_TEMP_SupplyChains_Start,@95_s01_06_TEMP_SupplyChains_Proposal,@95_s01_06_TEMP_SupplyChains_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_06_TEMP_SupplyChains_Complete,,,,,,,,,,Season_1_Temp
95_s01_07_TEMP_PossibilitiesOfFire,Journey,,60,,,,,95_s01_07_TEMP_PossibilitiesOfFire_container,,,95_s01_07,95_s01_06,,60,95_s01_07_TEMP_PossibilitiesOfFire_success,,,,,,,,,false,@95_s01_07_TEMP_PossibilitiesOfFire_Title,@95_s01_07_TEMP_PossibilitiesOfFire_Description,@95_s01_07_TEMP_PossibilitiesOfFire_Start,@95_s01_07_TEMP_PossibilitiesOfFire_Proposal,@95_s01_07_TEMP_PossibilitiesOfFire_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_07_TEMP_PossibilitiesOfFire_Complete,,,,,,,,,,Season_1_Temp
95_s01_08_TEMP_HotOnTheTrail,Journey,,60,,,,,95_s01_08_TEMP_HotOnTheTrail_container,,,95_s01_08,95_s01_07,,60,95_s01_08_TEMP_HotOnTheTrail_success,,,,,,,,,false,@95_s01_08_TEMP_HotOnTheTrail_Title,@95_s01_08_TEMP_HotOnTheTrail_Description,@95_s01_08_TEMP_HotOnTheTrail_Start,@95_s01_08_TEMP_HotOnTheTrail_Proposal,@95_s01_08_TEMP_HotOnTheTrail_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_08_TEMP_HotOnTheTrail_Complete,,,,,,,,,,Season_1_Temp
95_s01_09_TEMP_Faceless,Journey,,60,,,,,95_s01_09_TEMP_Faceless_container,,,95_s01_09,95_s01_08,,60,95_s01_09_TEMP_Faceless_success,,,,,,,,,false,@95_s01_09_TEMP_Faceless_Title,@95_s01_09_TEMP_Faceless_Description,@95_s01_09_TEMP_Faceless_Start,@95_s01_09_TEMP_Faceless_Proposal,@95_s01_09_TEMP_Faceless_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_09_TEMP_Faceless_Complete,,,,,,,,,,Season_1_Temp
95_s01_10_TEMP_BeMyGuest,Journey,,60,,,,,95_s01_10_TEMP_BeMyGuest_container,,,95_s01_10,95_s01_09,,60,95_s01_10_TEMP_BeMyGuest_success,,,,,,,,,false,@95_s01_10_TEMP_BeMyGuest_Title,@95_s01_10_TEMP_BeMyGuest_Description,@95_s01_10_TEMP_BeMyGuest_Start,@95_s01_10_TEMP_BeMyGuest_Proposal,@95_s01_10_TEMP_BeMyGuest_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_10_TEMP_BeMyGuest_Complete,,,,,,,,,,Season_1_Temp
95_s01_X1_EXPD_Empyrean,Journey,,60,,,,,95_s01_X1_EXPD_Empyrean_container,9504_Shailyn_S01_01,,95_s01_X1,95_s01_02,,60,95_s01_X1_EXPD_Empyrean_success,,,,,,,,,false,@95_s01_X1_EXPD_Empyrean_Title,@95_s01_X1_EXPD_Empyrean_Description,@95_s01_X1_EXPD_Empyrean_Start,@95_s01_X1_EXPD_Empyrean_Proposal,@95_s01_X1_EXPD_Empyrean_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_X1_EXPD_Empyrean_Complete,,,,,,,,,,Season_1_Temp
95_s01_X2_EXPD_EmpyreanRepeat,Journey,,60,,,,,95_s01_X2_EXPD_EmpyreanRepeat_container,,,95_s01_X2,,,60,95_s01_X2_EXPD_EmpyreanRepeat_success,,,,,,,,1,false,@95_s01_X2_EXPD_EmpyreanRepeat_Title,@95_s01_X2_EXPD_EmpyreanRepeat_Description,@95_s01_X2_EXPD_EmpyreanRepeat_Start,@95_s01_X2_EXPD_EmpyreanRepeat_Proposal,@95_s01_X2_EXPD_EmpyreanRepeat_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_X2_EXPD_EmpyreanRepeat_Complete,,,,,,,,,,Season_1_Perm
95_s01_X3_EXPD_FireNaga,Journey,,60,,,,,95_s01_X3_EXPD_FireNaga_container,,,95_s01_X3,,,60,95_s01_X3_EXPD_FireNaga_success,,,,,,,,,false,@95_s01_X3_EXPD_FireNaga_Title,@95_s01_X3_EXPD_FireNaga_Description,@95_s01_X3_EXPD_FireNaga_Start,@95_s01_X3_EXPD_FireNaga_Proposal,@95_s01_X3_EXPD_FireNaga_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_X3_EXPD_FireNaga_Complete,,,,,,,,,,Season_1_Temp
95_s01_JT_01_TEMP_Talismans1,Journey,,60,,,,,95_s01_JT_01_TEMP_Talismans1_container,,,95_s01_JT01,95_s01_02a,,60,95_s01_JT_01_TEMP_Talismans1_success,,,,,,,,,true,@95_s01_JT_01_TEMP_Talismans1_Title,@95_s01_JT_01_TEMP_Talismans1_Description,@95_s01_JT_01_TEMP_Talismans1_Start,@95_s01_JT_01_TEMP_Talismans1_Proposal,@95_s01_JT_01_TEMP_Talismans1_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_JT_01_TEMP_Talismans1_Incomplete,,,,,,,,,,Season_1_Temp
95_s01_JC_01_PERM_Cores1,Journey,,60,,,,,95_s01_JC_01_PERM_Cores1_container,,,95_s01_JC01,95_s01_05,,60,95_s01_JC_01_PERM_Cores1_success,,,,,,,,,true,@95_s01_JC_01_PERM_Cores1_Title,@95_s01_JC_01_PERM_Cores1_Description,@95_s01_JC_01_PERM_Cores1_Start,@95_s01_JC_01_PERM_Cores1_Proposal,@95_s01_JC_01_PERM_Cores1_Incomplete,@complete_available_prompt_DEFAULT,@95_s01_JC_01_PERM_Cores1_Incomplete,,,,,,,,,,Season_1_Perm
