ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
99F_MSQ_ER_GatherAllies,MainStoryQuest,,58,,,,,99F_MSQ_ER_GatherAllies_container,99F_Sun_03,,99F_MSQ_01,99E_MSQ_10 || 99_MSQ_56,,,99F_MSQ_ER_GatherAllies_success,,,,,,,,,false,@99F_MSQ01_GatherAllies_title,@99F_MSQ01_GatherAllies_desc,@99F_MSQ01_GatherAllies_start_prompt,@99F_MSQ01_GatherAllies_proposal,@99F_MSQ01_GatherAllies_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ01_GatherAllies_complete,,,,,,,,,
99F_MSQ_ER_MeetWiseman,MainStoryQuest,,58,,,,,99F_MSQ_ER_MeetWiseman_container,99F_Grace_04,,99F_MSQ_02,99F_MSQ_01,,,99F_MSQ_ER_MeetWiseman_success,,,,,,,,,false,@99F_MSQ02_MeetWiseman_title,@99F_MSQ02_MeetWiseman_desc,@99F_MSQ02_MeetWiseman_start_prompt,@99F_MSQ02_MeetWiseman_proposal,@99F_MSQ02_MeetWiseman_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ02_MeetWiseman_complete,,,,,,,,,
99F_MSQ_ER_CreateRefuge,MainStoryQuest,,58,,,,,99F_MSQ_ER_CreateRefuge_container,99F_Sun_04,,99F_MSQ_03,99F_MSQ_02,,,99F_MSQ_ER_CreateRefuge_success,,,,,,,,,false,@99F_MSQ03_CreateRefuge_title,@99F_MSQ03_CreateRefuge_desc,@99F_MSQ03_CreateRefuge_start_prompt,@99F_MSQ03_CreateRefuge_proposal,@99F_MSQ03_CreateRefuge_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ03_CreateRefuge_complete,,,,,,,,,
99F_MSQ_ER_InspireAllies,MainStoryQuest,,58,,,,,99F_MSQ_ER_InspireAllies_container,99F_Sun_04a,,99F_MSQ_04,99F_MSQ_03,,,99F_MSQ_ER_InspireAllies_success,,,,,,,,,false,@99F_MSQ04_InspireAllies_title,@99F_MSQ04_InspireAllies_desc,@99F_MSQ04_InspireAllies_start_prompt,@99F_MSQ04_InspireAllies_proposal,@99F_MSQ04_InspireAllies_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ04_InspireAllies_complete,,,,,,,,,
99F_MSQ_ER_MeetEmpress,MainStoryQuest,,59,,,,,99F_MSQ_ER_MeetEmpress_container,99F_Empress_01,,99F_MSQ_05,99F_MSQ_04,,,99F_MSQ_ER_MeetEmpress_success,,,,,,,,,false,@99F_MSQ05_MeetEmpress_title,@99F_MSQ05_MeetEmpress_desc,@99F_MSQ05_MeetEmpress_start_prompt,@99F_MSQ05_MeetEmpress_proposal,@99F_MSQ05_MeetEmpress_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ05_MeetEmpress_complete,,,,,,,,,
99F_MSQ_ER_AscendPeak,MainStoryQuest,,59,,,,,99F_MSQ_ER_AscendPeak_container,99F_Empress_01a,,99F_MSQ_06,99F_MSQ_05,,,99F_MSQ_ER_AscendPeak_success,,,,,,,,,false,@99F_MSQ06_AscendPeak_title,@99F_MSQ06_AscendPeak_desc,@99F_MSQ06_AscendPeak_start_prompt,@99F_MSQ06_AscendPeak_proposal,@99F_MSQ06_AscendPeak_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ06_AscendPeak_complete,,,,,,,,,
99F_MSQ_ER_CreateIncense,MainStoryQuest,,59,,,,,99F_MSQ_ER_CreateIncense_container,99F_Sun_05a,,99F_MSQ_07,99F_MSQ_06,,,99F_MSQ_ER_CreateIncense_success,,,,,,,,,false,@99F_MSQ07_CreateIncense_title,@99F_MSQ07_CreateIncense_desc,@99F_MSQ07_CreateIncense_start_prompt,@99F_MSQ07_CreateIncense_proposal,@99F_MSQ07_CreateIncense_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ07_CreateIncense_complete,,,,,,,,,
99F_MSQ_ER_FightLiang,MainStoryQuest,,59,,,,,99F_MSQ_ER_FightLiang_container,99F_Liang_01,,99F_MSQ_08,99F_MSQ_07,,,99F_MSQ_ER_FightLiang_success,,,,,,,,,false,@99F_MSQ08_FightLiang_title,@99F_MSQ08_FightLiang_desc,@99F_MSQ08_FightLiang_start_prompt,@99F_MSQ08_FightLiang_proposal,@99F_MSQ08_FightLiang_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ08_FightLiang_complete,,,,,,,,,
99F_MSQ_ER_ReuniteFamily,MainStoryQuest,,60,,,,,99F_MSQ_ER_ReuniteFamily_container,99F_Grace_08a,,99F_MSQ_09,99F_MSQ_08,,,99F_MSQ_ER_ReuniteFamily_success,,,,,,,,,false,@99F_MSQ09_ReuniteFamily_title,@99F_MSQ09_ReuniteFamily_desc,@99F_MSQ09_ReuniteFamily_start_prompt,@99F_MSQ09_ReuniteFamily_proposal,@99F_MSQ09_ReuniteFamily_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ09_ReuniteFamily_complete,,,,,,,,,
99F_MSQ_ER_StealBoat,MainStoryQuest,,60,,,,,99F_MSQ_ER_StealBoat_container,99F_Grace_09,,99F_MSQ_10,99F_MSQ_09,,,99F_MSQ_ER_StealBoat_success,,,,,,,,,false,@99F_MSQ10_StealBoat_title,@99F_MSQ10_StealBoat_desc,@99F_MSQ10_StealBoat_start_prompt,@99F_MSQ10_StealBoat_proposal,@99F_MSQ10_StealBoat_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ10_StealBoat_complete,,,,,,,,,
99F_MSQ_ER_FightEmpress,MainStoryQuest,,60,,,,,99F_MSQ_ER_FightEmpress_container,99F_Sun_08,,99F_MSQ_11,99F_MSQ_10,,,99F_MSQ_ER_FightEmpress_success,,,,,,,,,false,@99F_MSQ11_FightEmpress_title,@99F_MSQ11_FightEmpress_desc,@99F_MSQ11_FightEmpress_start_prompt,@99F_MSQ11_FightEmpress_proposal,@99F_MSQ11_FightEmpress_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ11_FightEmpress_complete,,,,,,,,,
99F_MSQ_ER_DeliverPoem,MainStoryQuest,,60,,,,,99F_MSQ_ER_DeliverPoem_container,99F_Yash_03,,99F_MSQ_12,99F_MSQ_11,,,99F_MSQ_ER_DeliverPoem_success,,,,,,,,,false,@99F_MSQ12_DeliverPoem_title,@99F_MSQ12_DeliverPoem_desc,@99F_MSQ12_DeliverPoem_start_prompt,@99F_MSQ12_DeliverPoem_proposal,@99F_MSQ12_DeliverPoem_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ12_DeliverPoem_complete,,,,,,,,,
