ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,PushObjectiveOnReqMet,PushObjectiveOnReqRetrigger,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
01_SoleSurvivor,MainStoryQuest,,1,,,,,01_SoleSurvivor_Container,,,,!(S_introtosettlement || SoleSurvivor01_Check),,,,,,,,,01_SoleSurvivor2,,,,,false,@01_SoleSurvivor_title,@01_SoleSurvivor_desc,@01_SoleSurvivor_start_prompt,@01_SoleSurvivor_proposal_a,@01_SoleSurvivor_incomplete,@complete_available_prompt_DEFAULT,@01_SoleSurvivor_complete,,,,,,,,,
01_SoleSurvivor2,MainStoryQuest,,1,,,,,01_SoleSurvivor2_Container,,,,!(SoleSurvivor02_Check || S_introtosettlement),,,true,true,,,,,,,,,,true,@01_SoleSurvivor_title,@01_SoleSurvivor2_desc,@prompt_DEFAULT,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
06_getoffbeach,MainStoryQuest,,1,,,,,06_getoffbeach_container,01_AelstromWW_01,6,S_getoffbeach_ww,!S_introtosettlement && !Watched_IGC_Aelstrom_MB,,,,,S_getoffbeach_success,,,,,,,,,false,@01_GetOffBeach_title,@01_GetOffBeach_description,,,,@complete_available_prompt_DEFAULT,@01_GetOffBeach_complete_a_new,,,true,,,,,,
12_getoffbeach,MainStoryQuest,,1,,,,,12_getoffbeach_container,01_AelstromMB_01,12,S_getoffbeach_mb,!S_introtosettlement && !Watched_IGC_Aelstrom_WW,,,,,S_getoffbeach_success,,,,,,,,,false,@01_GetOffBeach_title,@01_GetOffBeach_description,,,,@complete_available_prompt_DEFAULT,@01_GetOffBeach_complete_a_new,,,true,,,,,,
06_skinningknife,MainStoryQuest,,1,,,,,06_skinningknife_container,01_UrdaWW_01,6,S_skinningknife,S_getoffbeach_ww,,,,,01_skinningknife_success,,,,,,,,,false,@01_skinningknife_title,@01_skinningknife_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal_next_a_new,@01_skinningknife_incomplete_new,@complete_available_prompt_DEFAULT,@01_skinningknife_complete_a_new,,,true,,,,,,
12_skinningknife,MainStoryQuest,,1,,,,,12_skinningknife_container,01_UrdaMB_01,12,S_skinningknife_mb,S_getoffbeach_mb,,,,,01_skinningknife_success,,,,,,,,,false,@01_skinningknife_title,@01_skinningknife_description,@01_skinningknife_start_prompt,@01_skinningknife_proposal_next_a_new,@01_skinningknife_incomplete_new,@complete_available_prompt_DEFAULT,@01_skinningknife_complete_a_new_MB,,,true,,,,,,
06_boarfeast,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_boarfeast_success,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_soldier,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Mercenary,,,,,01_boarfeast_success_soldier,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_destroyer,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Warmonger,,,,,01_boarfeast_success_destroyer,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_ranger,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Tracker,,,,,01_boarfeast_success_ranger,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
