ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,ScheduleId
0826_0801_ToBeFree,Journey,,,,,,,0826_0801_d_00_container_ToBeFree,0826_MaWeizhe,,08_Quest_18,99F_MSQ_02,,,0826_0801_ToBeFree_success,,,,,,,,TRUE,@08_SQ_ER_FreeTigers_title,@08_SQ_ER_FreeTigers_desc,@08_SQ_ER_FreeTigers_MaXinyi_start_prompt,@08_SQ_ER_FreeTigers_proposal,@08_SQ_ER_FreeTigers_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_FreeTigers_complete,,,,TRUE,,,,,,,
0830_0801_Inevitable,Journey,,55,,,,,0830_0801_d_00_container_Inevitable,08_ElderKemba,,08_Quest_19,99E_MSQ_10,,,0830_0801_Inevitable_success,,,,,,,,TRUE,@08_SQ_ER_FightIvan_title,@08_SQ_ER_FightIvan_desc,@08_SQ_ER_FightIvan_WantedPoster_start_prompt,@08_SQ_ER_FightIvan_start_prompt,@08_SQ_ER_FightIvan_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_FightIvan_complete,,,,TRUE,,,,,,,
08a04_08a04_FlowerForTheDeparted,Journey,,,,,,,08a04_08a04_d_00_container_FlowerForTheDeparted,08_ElderKemba,,08a_Quest_04,08_Quest_19,,,08a04_08a04_FlowerForTheDeparted_success,,,,,,,,1,@08_SQ_ER_KembaFriends_title,@08_SQ_ER_KembaFriends_desc,@08_SQ_ER_KembaFriends_ElderKemba_start_prompt,@08_SQ_ER_KembaFriends_proposal,@08_SQ_ER_KembaFriends_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_KembaFriends_complete,,,,TRUE,,,,,,,
08a03_08a11_TigerTiger,Journey,,,,,,,08a03_08a11_d_00_container_TigerTiger,0826_MaWeizhe_01,,08a_Quest_11,08_Quest_18 && 99F_MSQ_06,,,08a03_08a11_TigerTiger_success,,,,,,,,1,@08_SQ_ER_KillTigers_title,@08_SQ_ER_KillTigers_desc,@08_SQ_ER_KillTigers_MaXinyi_start_prompt,@08_SQ_ER_KillTigers_proposal,@08_SQ_ER_KillTigers_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_KillTigers_complete,,,,TRUE,,,,,,,
0828_0801_Deadeye,Journey,,,,,,,0828_0801_d_00_container_Deadeye,0828_YueLai,,08_Quest_23,99F_MSQ_04,,,0828_0801_Deadeye_success,,,,,,,,TRUE,@08_SQ_ER_KnockDownIdol_title,@08_SQ_ER_KnockDownIdol_desc,@08_SQ_ER_KnockDownIdol_YueLai_start_prompt,@08_SQ_ER_KnockDownIdol_proposal,@08_SQ_ER_KnockDownIdol_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_KnockDownIdol_complete,,,,TRUE,,,,,,,
0828_0802_Trinkets,Journey,,,,,,,0828_0802_d_00_container_Trinkets,0828_YueLai_01,,08_Quest_24,08_Quest_23,,,0828_0802_Trinkets_success,,,,,,,,TRUE,@08_SQ_ER_StealBackArtifacts_title,@08_SQ_ER_StealBackArtifacts_desc,@08_SQ_ER_StealBackArtifacts_YueLai_start_prompt,@08_SQ_ER_StealBackArtifacts_proposal,@08_SQ_ER_StealBackArtifacts_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_StealBackArtifacts_complete,,,,TRUE,,,,,,,
0827_0801_Brothers,Journey,,,,,,,0827_0801_d_00_container_Brothers,0827_Bardroy,,08_Quest_15,99F_MSQ_04,,,0827_0801_Brothers_success,,,,,,,,TRUE,@08_SQ_ER_TeachIdiots_title,@08_SQ_ER_TeachIdiots_desc,@08_SQ_ER_TeachIdiots_Bardroy_start_prompt,@08_SQ_ER_TeachIdiots_proposal,@08_SQ_ER_TeachIdiots_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_TeachIdiots_complete,,,,TRUE,,,,,,,
08a02_08a01_TheShowMustGoOn,Journey,,,,,,,08a02_08a01_d_00_container_TheShowMustGoOn,08_Redridge,,08a_Quest_01,99E_MSQ_10,,,08a02_08a01_TheShowMustGoOn_success,,,,,,,,1,@08_SQ_ER_CollectFungus_title,@08_SQ_ER_CollectFungus_desc,@08_SQ_ER_CollectFungus_Redridge_start_prompt,@08_SQ_ER_CollectFungus_proposal,@08_SQ_ER_CollectFungus_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_CollectFungus_complete,,,,TRUE,,,,,,,
08a05_08a09_StudyInGreen,Journey,,,,,,,08a05_08a09_d_00_container_StudyInGreen,08_ArtificerLong,,08a_Quest_09,99F_MSQ_07,,,08a05_08a09_StudyInGreen_success,,,,,,,,1,@08_SQ_ER_CollectDryadWood_title,@08_SQ_ER_CollectDryadWood_desc,@08_SQ_ER_CollectDryadWood_ArtificerLong_start_prompt,@08_SQ_ER_CollectDryadWood_proposal,@08_SQ_ER_CollectDryadWood_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_CollectDryadWood_complete,,,,TRUE,,,,,,,
08a11_08a02_StatuetteStash,Journey,,,,,,,08a11_08a02_d_00_container_StatuetteStash,08_Zeng,,08a_Quest_02,99F_MSQ_06,,,08a11_08a02_StatuetteStash_success,,,,,GypsumOrb,1,,1,@08_SQ_ER_CollectStatues_title,@08_SQ_ER_CollectStatues_desc,@08_SQ_ER_CollectStatues_Zeng_start_prompt,@08_SQ_ER_CollectStatues_proposal,@08_SQ_ER_CollectStatues_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_CollectStatues_complete,,,,TRUE,,,,,,,
