ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
13A_SQ_01_HakenstadtDoll,Journey,,,,,,,13A_SQ_01_HakenstadtDoll_container,13A_Primrose_00,,13A_SQ_01,99C_MSQ_04 || 99_MSQ_34,,,13A_SQ_01_HakenstadtDoll_success,,,,,,,,,true,@13A_SQ_01_HakenstadtDoll_objective_title,@13A_SQ_01_HakenstadtDoll_objective_desc,@13A_SQ_01_HakenstadtDoll_start,@13A_SQ_01_HakenstadtDoll_proposal_a,@13A_SQ_01_HakenstadtDoll_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_01_HakenstadtDoll_complete,,,TRUE,,,,,,
13A_SQ_02_KrummholmTransmutations,Journey,,,,,,,13A_SQ_02_KrummholmTransmutations_container,13A_Primrose_01,,13A_SQ_02,13A_SQ_01,,,13A_SQ_02_KrummholmTransmutations_success,,,,,,,,,true,@13A_SQ_02_KrummholmTransmutations_objective_title,@13A_SQ_02_KrummholmTransmutations_objective_desc,@13A_SQ_02_KrummholmTransmutations_start,@13A_SQ_02_KrummholmTransmutations_proposal_a,@13A_SQ_02_KrummholmTransmutations_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_02_KrummholmTransmutations_complete,,,TRUE,,,,,,
13A_SQ_03_FreeHazel,Journey,,,,,,,13A_SQ_03_FreeHazel_container,13A_Primrose_01,,13A_SQ_03,13A_SQ_02,,,13A_SQ_03_FreeHazel_success,,,,,,,,,true,@13A_SQ_03_FreeHazel_objective_title,@13A_SQ_03_FreeHazel_objective_desc,@13A_SQ_03_FreeHazel_start,@13A_SQ_03_FreeHazel_proposal_a,@13A_SQ_03_FreeHazel_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_03_FreeHazel_complete_a,,,TRUE,,,,,,
13A_SQ_14_GetTorches,Journey,,,,,,,13A_SQ_14_GetTorches_container,13A_Pyro_00,,13_Quest_17,99C_MSQ_04 || 99_MSQ_34,,,13A_SQ_14_GetTorches_success,,,,,,,,,true,@13A_SQ_14_GetTorches_objective_title,@13A_SQ_14_GetTorches_objective_desc,@13A_SQ_14_GetTorches_start,@13A_SQ_14_GetTorches_proposal_a,@13A_SQ_14_GetTorches_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_14_GetTorches_complete_a,,,TRUE,,,,,,
13A_SQ_15_GetIlluminationEssences,Journey,,,,,,,13A_SQ_15_GetIlluminationEssences_container,13A_Pyro_01,,13_Quest_18,13_Quest_17,,,13A_SQ_15_GetIlluminationEssences_success,,,,,,,,,true,@13A_SQ_15_GetIlluminationEssences_objective_title,@13A_SQ_15_GetIlluminationEssences_objective_desc,@13A_SQ_15_GetIlluminationEssences_start,@13A_SQ_15_GetIlluminationEssences_proposal_a,@13A_SQ_15_GetIlluminationEssences_incomplete_a,@complete_available_prompt_DEFAULT,@13A_SQ_15_GetIlluminationEssences_complete_a,,,TRUE,,,,,,
13A_SQ_16_NavarrosKitchen,Journey,,,,,,,13A_SQ_16_NavarrosKitchen_container,13A_Pyro_01,,13_Quest_19,13_Quest_18,,,13A_SQ_16_NavarrosKitchen_success,,,,,,,,,true,@13A_SQ_16_NavarrosKitchen_objective_title,@13A_SQ_16_NavarrosKitchen_objective_desc,@13A_SQ_16_NavarrosKitchen_start,@13A_SQ_16_NavarrosKitchen_proposal_a,@13A_SQ_16_NavarrosKitchen_incomplete_a,@complete_available_prompt_DEFAULT,@13A_SQ_16_NavarrosKitchen_complete_a,,,TRUE,,,,,,
13A_SQ_04_MonsterBounty,Journey,,,,,,,13A_SQ_04_MonsterBounty_container,13A_MonsterHunter_01,,13_Quest_20,99B_MSQ_11 || 99_MSQ_34,,,13A_SQ_04_MonsterBounty_success,,,,,,,,,true,@13A_SQ_04_MonsterBounty_objective_title,@13A_SQ_04_MonsterBounty_objective_desc,@13A_SQ_04_MonsterBounty_start,@13A_SQ_04_MonsterBounty_proposal_a,@13A_SQ_04_MonsterBounty_incomplete_a,@complete_available_prompt_DEFAULT,@13A_SQ_04_MonsterBounty_complete,,,TRUE,,,,,,
13A_SQ_05_FindHunters,Journey,,,,,,,13A_SQ_05_FindHunters_container,13A_MonsterHunter_02,,13_Quest_21,13_Quest_20,,,13A_SQ_05_FindHunters_success,,,,,,,,,true,@13A_SQ_05_FindHunters_objective_title,@13A_SQ_05_FindHunters_objective_desc,@13A_SQ_05_FindHunters_start,@13A_SQ_05_FindHunters_proposal_a,@13A_SQ_05_FindHunters_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_05_FindHunters_complete,,,TRUE,,,,,,
13A_SQ_06_KarburgHunters,Journey,,,,,,,13A_SQ_06_KarburgHunters_container,13A_MonsterHunter_03,,13_Quest_23,13_Quest_21,,,13A_SQ_06_KarburgHunters_success,,,,,,,,,true,@13A_SQ_06_KarburgHunters_objective_title,@13A_SQ_06_KarburgHunters_objective_desc,@13A_SQ_06_KarburgHunters_start,@13A_SQ_06_KarburgHunters_proposal_a,@13A_SQ_06_KarburgHunters_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_06_KarburgHunters_complete_a,,,TRUE,,,,,,
13A_SQ_17_KillGators,Journey,,,,,,,13A_SQ_17_KillGators_container,13A_AnimalHunter_01,,13_Quest_24,99C_MSQ_04 || 99_MSQ_34,,,13A_SQ_17_KillGators_success,,,,,,,,,true,@13A_SQ_17_KillGators_objective_title,@13A_SQ_17_KillGators_objective_desc,@13A_SQ_17_KillGators_start,@13A_SQ_17_KillGators_proposal_a,@13A_SQ_17_KillGators_incomplete,@complete_available_prompt_DEFAULT,@13A_SQ_17_KillGators_complete_a,,,TRUE,,,,,,
