ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,ShouldResetInProgressQuestOnScheduleEnd
1503_1504_Lupine,Journey,,,,,,,1503_1504_d_00_container_Lupine,1503_Survivalist,,15_Quest_04,,,,1503_1504_Lupine_Success,,,,,,,true,,@1503_1504_a_Title,@1503_1504_b_Description,@1503_1504_b_start,@1503_1504_c_Proposal_a,@1503_1504_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1503_1504_f_Complete_a,,,,true,,,,,RestlessShoreArc2,,,
1504_1503_Fury,Journey,,,,,,,1504_1503_d_00_container_Fury,1504_Overseer,,15_Quest_03,,,,1504_1503_Fury_Success,,,,,,,true,,@1504_1503_a_Title,@1504_1503_b_Description,@1504_1503_b_start,@1504_1503_c_Proposal_a,@1504_1503_e_Incomplete,@complete_available_prompt_DEFAULT,@1504_1503_f_Complete_a,,,,true,,,,,RestlessShoreArc3,,,
1502_1501_Sieged,Journey,,,,,,,1502_1501_d_00_container_Sieged,1502_Magistrate,,15_Quest_01,,,,1502_1501_Sieged_Success,,,,,,,true,,@1502_1501_a_Title,@1502_1501_b_Description,@1502_1501_b_start,@1502_1501_c_Proposal_a,@1502_1501_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1502_1501_f_Complete_a,,,,true,,,,,RestlessShoreArc1,,,
1502_1502_Stolen,Journey,,,,,,,1502_1502_d_00_container_Stolen,1502_Magistrate,,15_Quest_02,15_Quest_01,,,1502_1502_Stolen_Success,,,,,,,true,,@1502_1502_a_Title,@1502_1502_b_Description,@1502_1502_b_start,@1502_1502_c_Proposal_a,@1502_1502_e_Incomplete,@complete_available_prompt_DEFAULT,@1502_1502_f_Complete_a,,,,true,,,,,RestlessShoreArc1,,,
1505_1509_Menacing,Journey,,,,,,,1505_1509_d_00_container_Menacing,1505_Artificer,,15_Quest_09,15_Quest_03,,,1505_1509_Menacing_Success,,,,,,,true,,@1505_1509_a_Title,@1505_1509_b_Description,@1505_1509_b_start,@1505_1509_c_Proposal_a,@1505_1509_e_Incomplete,@complete_available_prompt_DEFAULT,@1505_1509_f_Complete_a,,,,true,,,,,RestlessShoreArc1,,,
1505_1510_Slaying,Journey,,,,,,,1505_1510_d_00_container_Slaying,1504_Overseer,,15_Quest_10,15_Quest_09,,,1505_1510_Slaying_Success,,,,,,,true,,@1505_1510_a_Title,@1505_1510_b_Description,@1505_1510_b_start,@1505_1510_c_Proposal_a,@1505_1510_e_Incomplete,@complete_available_prompt_DEFAULT,@1505_1510_f_Complete_a,,,,true,,,,,RestlessShoreArc1,,,
1503_1506_Boars,Journey,,,,,,,1503_1506_d_00_container_Boars,1503_Survivalist,,15_Quest_06,15_Quest_04,,,1503_1506_Boars_Success,,,,,,,true,,@1503_1506_a_Title,@1503_1506_b_Description,@1503_1506_b_start,@1503_1506_c_Proposal_a,@1503_1506_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1503_1506_f_Complete_a,,,,true,,,,,RestlessShoreArc2,,,
1510_1507_Scouting,Journey,,,,,,,1510_1507_d_00_container_Scouting,1504_Overseer,,15_Quest_07,15_Quest_10,,,1510_1507_Scouting_Success,,,,,,,true,,@1510_1507_a_Title,@1510_1507_b_Description,@1510_1507_b_start,@1510_1507_c_Proposal_a,@1510_1507_e_Incomplete,@complete_available_prompt_DEFAULT,@1510_1507_f_Complete_a,,,,true,,,,,RestlessShoreArc3,,,
1510_1508_Damnation,Journey,,,,,,,1510_1508_d_00_container_Damnation,1504_Overseer,,15_Quest_08,15_Quest_07,,,1510_1508_Damnation_Success,,,,,,,true,,@1510_1508_a_Title,@1510_1508_b_Description,@1510_1508_b_start,@1510_1508_c_Proposal_a,@1510_1508_e_Incomplete,@complete_available_prompt_DEFAULT,@1510_1508_f_Complete_a,,,,true,,,,,RestlessShoreArc3,,,
1510_1512_PayingRespects,Journey,,46,,,,,1510_1512_d_00_container_PayingRespects,1110_Barkeep,,15_Quest_12,15_Quest_08,,,1510_1512_PayingRespects_Success,,,,,,,true,,@1510_1512_PayingRespects_a_Title,@1510_1512_PayingRespects_b_Description,@1510_1512_PayingRespects_b_start,@1510_1512_PayingRespects_c_Proposal_a,@1510_1512_PayingRespects_e_Incomplete,@complete_available_prompt_DEFAULT,@1510_1512_PayingRespects_f_Complete_a,,,,true,,,,,,,,
1502_1511_UltimateEnemy,Journey,,46,,,,,1502_1511_d_00_container_UltimateEnemy,1502_Magistrate,,15_Quest_11,15_Quest_08,,,1502_1511_UltimateEnemy_Success,,,,,,,false,,@1502_1511_a_Title,@1502_1511_b_Description,@1502_1511_b_start,@1502_1511_c_Proposal_a,@1502_1511_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1502_1511_f_Complete_a,,,,true,,,,,,,,
1503_1505_Hoppy,Journey,,,,,,,1503_1505_d_00_container_Hoppy,1503_Survivalist,,15_Quest_05,15_Quest_04,,,1503_1505_Hoppy_Success,,,,,,,true,,@1503_1505_a_Title,@1503_1505_b_Description,@1503_1505_b_start,@1503_1505_c_Proposal_a,@1503_1505_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1503_1505_f_Complete_a,,,,true,,,,,,,,
1524_1514_FirstThing,Journey,,42,,,,,1524_1514_d_00_container_FirstThing,1524_Boatswain01,,15_Quest_14,,,,1524_1514_FirstThing_Success,,,,,,,false,,@1524_1514_a_Title,@1524_1514_b_Description,@1524_1514_b_start,@1524_1514_c_Proposal_a,@1524_1514_e_Incomplete,@complete_available_prompt_DEFAULT,@1524_1514_f_Complete_a,,,,true,,,,,,,,
1524_1515_FootstepsBeach,Journey,,,,,,,1524_1515_d_00_container_FootstepsBeach,1524_Boatswain01,,15_Quest_15,15_Quest_14,,,1524_1515_FootstepsBeach_Success,,,,,,,true,,@1524_1515_a_Title,@1524_1515_b_Description,@1524_1515_b_start,@1524_1515_c_Proposal_a,@1524_1515_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1524_1515_f_Complete,,,,true,,,,,,,,
1524_1516_TrueTerror,Journey,,,,,,,1524_1516_d_00_container_TrueTerror,1524_Boatswain01,,15_Quest_16,15_Quest_15,,,1524_1516_TrueTerror_Success,,,,,,,true,,@1524_1516_a_Title,@1524_1516_b_Description,@1524_1516_b_start,@1524_1516_c_Proposal_a,@1524_1516_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1524_1516_f_Complete,,,,true,,,,,,,,
1524_1517_PiratesLife,Journey,,,,,,,1524_1517_d_00_container_PiratesLife,1510_Barkeep,,15_Quest_17,15_Quest_16,,,1524_1517_PiratesLife_Success,,,,,,,true,,@1524_1517_a_Title,@1524_1517_b_Description,@1524_1517_b_start,@1524_1517_c_Proposal_a,@1524_1517_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1524_1517_f_Complete_a,,,,true,,,,,,,,
1525_1518_Communication,Journey,,46,,,,,1525_1518_d_00_container_Communication,1525_AngryEarth,,15_Quest_18,,,,1525_1518_Communication_Success,,,,,,,true,,@1525_1518_a_Title,@1525_1518_b_Description,@1525_1518_b_start,@1525_1518_c_Proposal_a,@1525_1518_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1525_1518_f_Complete_a,,,,true,,,,,,,,
1525_1519_Ammunition,Journey,,,,,,,1525_1519_d_00_container_Ammunition,1525_AngryEarth,,15_Quest_19,15_Quest_18,,,1525_1519_Ammunition_Success,,,,,,,true,,@1525_1519_a_Title,@1525_1519_b_Description,@1525_1519_b_start,@1525_1519_c_Proposal_a,@1525_1519_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1525_1519_f_Complete_a,,,,true,,,,,,,,
