ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,NOTE
99A_MSQ_01_LearnSoulwardens,MainStoryQuest,,17,,,,,99A_MSQ_01_LearnSoulwardens_container,99A_Yonas_00_B,,99A_MSQ_01,,,,99A_MSQ_01_LearnSoulwardens_success,,,,,CRX_RewardContainerT3_Legwear_20,1,,,false,@99A_MSQ_01_LearnSoulwardens_objective_title,@99A_MSQ_01_LearnSoulwardens_objective_desc,@99A_MSQ_01_LearnSoulwardens_start_prompt,@99A_MSQ_01_LearnSoulwardens_proposal_a,@99A_MSQ_01_LearnSoulwardens_incomplete_a,@complete_available_prompt_DEFAULT,@99A_MSQ_01_LearnSoulwardens_complete_available_response_a,,,true,,,,,,,
99A_MSQ_01B_LearnSoulwardens,MainStoryQuest,,17,,,,,99A_MSQ_01B_LearnSoulwardens_container,99A_Grace_00,,99A_MSQ_01B,99A_MSQ_01,,,99A_MSQ_01B_LearnSoulwardens_success,,,,,,,,,false,@99A_MSQ_01B_LearnSoulwardens_objective_title,@99A_MSQ_01B_LearnSoulwardens_objective_desc,@99A_MSQ_01B_LearnSoulwardens_start_prompt,@99A_MSQ_01B_LearnSoulwardens_proposal_a,@99A_MSQ_01B_LearnSoulwardens_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_01B_LearnSoulwardens_complete_available_response_a,,,true,,,,,,,
99A_MSQ_02_Rumors,MainStoryQuest,,17,,,,,99A_MSQ_02_Rumors_container,99A_Yonas_01,,99A_MSQ_02,99A_MSQ_01B,,,99A_MSQ_02_Rumors_success,,,,,PotionHealthT2,5,,,false,@99A_MSQ_02_Rumors_objective_title,@99A_MSQ_02_Rumors_objective_desc,@99A_MSQ_02_Rumors_start_prompt,@99A_MSQ_02_Rumors_proposal_a,@99A_MSQ_02_Rumors_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_02_Rumors_complete_available_response,,,true,,,,,,,
99A_MSQ_03_ClimbArcturus,MainStoryQuest,,19,,,,,99A_MSQ_03_ClimbArcturus_container,99A_Yonas_01,,99A_MSQ_03,99A_MSQ_02,,,99A_MSQ_03_ClimbArcturus_success,,,,,,,,,false,@99A_MSQ_03_ClimbArcturus_objective_title,@99A_MSQ_03_ClimbArcturus_objective_desc,@99A_MSQ_03_ClimbArcturus_start_prompt,@99A_MSQ_03_ClimbArcturus_proposal_a,@99A_MSQ_03_ClimbArcturus_incomplete_a,@complete_available_prompt_DEFAULT,@99A_MSQ_03_ClimbArcturus_complete_available_response_new,,,true,,,,,,,
99A_MSQ_04_ToAdiana,MainStoryQuest,,20,,,,,99A_MSQ_04_ToAdiana_container,99A_Adiana_00,,99A_MSQ_04,99A_MSQ_03,,,99A_MSQ_04_ToAdiana_success,,,,,amethystcutt2,1,,,false,@99A_MSQ_04_ToAdiana_objective_title,@99A_MSQ_04_ToAdiana_objective_desc,@99A_MSQ_04_ToAdiana_start_prompt,@99A_MSQ_04_ToAdiana_proposal_a,@99A_MSQ_04_ToAdiana_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_04_ToAdiana_complete_available_response,,,true,,,,,,,
99A_MSQ_05_UnblockFountain,MainStoryQuest,,20,,,,,99A_MSQ_05_UnblockFountain_container,99A_Adiana_00,,99A_MSQ_05,99A_MSQ_04,,,99A_MSQ_05_UnblockFountain_success,,,,,CRX_RewardContainerT3_Chestwear_20,1,,,false,@99A_MSQ_05_UnblockFountain_objective_title,@99A_MSQ_05_UnblockFountain_objective_desc,@99A_MSQ_05_UnblockFountain_start_prompt,@99A_MSQ_05_UnblockFountain_proposal_a,@99A_MSQ_05_UnblockFountain_incomplete_new,@complete_available_prompt_DEFAULT,@99A_MSQ_05_UnblockFountain_complete_available_response_a_new,,,true,,,,,,,
99A_MSQ_06_CorruptionTincture,MainStoryQuest,,20,,,,,99A_MSQ_06_CorruptionTincture_container,99A_Adiana_00,,99A_MSQ_06,99A_MSQ_05,,,99A_MSQ_06_CorruptionTincture_success,,,,,PotionHealthT2,5,,,false,@99A_MSQ_06_CorruptionTincture_objective_title,@99A_MSQ_06_CorruptionTincture_objective_desc,@99A_MSQ_06_CorruptionTincture_start_prompt,@99A_MSQ_06_CorruptionTincture_proposal_a,@99A_MSQ_06_CorruptionTincture_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_06_CorruptionTincture_complete_available_response_a,,,true,,,,,,,
99A_MSQ_07_CorruptedPlans,MainStoryQuest,,21,,,,,99A_MSQ_07_CorruptedPlans_container,99A_Adiana_00,,99A_MSQ_07,99A_MSQ_06,,,99A_MSQ_07_CorruptedPlans_success,,,,,Azoth_Vessel,,,,false,@99A_MSQ_07_CorruptedPlans_objective_title,@99A_MSQ_07_CorruptedPlans_objective_desc,@99A_MSQ_07_CorruptedPlans_start_prompt,@99A_MSQ_07_CorruptedPlans_proposal_a,@99A_MSQ_07_CorruptedPlans_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_07_CorruptedPlans_complete_available_response_a,,,true,,,,,,,
99A_MSQ_08_ToYonas,MainStoryQuest,,21,,,,,99A_MSQ_08_ToYonas_container,99A_Yonas_01,,99A_MSQ_08,99A_MSQ_07,,,99A_MSQ_08_ToYonas_success,,,,,CRX_RewardContainerT3_Footwear_20,1,,,false,@99A_MSQ_08_ToYonas_objective_title,@99A_MSQ_08_ToYonas_objective_desc,@99A_MSQ_08_ToYonas_start_prompt,@99A_MSQ_08_ToYonas_proposal_a,@99A_MSQ_08_ToYonas_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_08_ToYonas_complete_available_response_a,,,true,,,,,,,
99A_MSQ_09_GetHaft,MainStoryQuest,,21,,,,,99A_MSQ_09_GetHaft_container,99A_Yonas_01,,99A_MSQ_09,99A_MSQ_08,,,99A_MSQ_09_GetHaft_success,,,,,CRX_RewardContainerT3_Handwear_20,1,,,false,@99A_MSQ_09_GetHaft_objective_title,@99A_MSQ_09_GetHaft_objective_desc,@99A_MSQ_09_GetHaft_start_prompt,@99A_MSQ_09_GetHaft_proposal_a,@99A_MSQ_09_GetHaft_incomplete,@complete_available_prompt_DEFAULT,@99A_MSQ_09_GetHaft_complete_available_response,,,true,,,,,,,
