ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,NOTE
99F_MSQ_ER_GatherAllies,MainStoryQuest,,58,,,,,99F_MSQ_ER_GatherAllies_container,99F_Sun_03,,99F_MSQ_01,99E_MSQ_10 || 99_MSQ_56,,,99F_MSQ_ER_GatherAllies_success,,,,,PotionHealthT4,5,,,false,@99F_MSQ01_GatherAllies_title,@99F_MSQ01_GatherAllies_desc,@99F_MSQ01_GatherAllies_start_prompt,@99F_MSQ01_GatherAllies_proposal,@99F_MSQ01_GatherAllies_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ01_GatherAllies_complete,,,true,,,,,,,
99F_MSQ_ER_MeetWiseman,MainStoryQuest,,58,,,,,99F_MSQ_ER_MeetWiseman_container,99F_Grace_04,,99F_MSQ_02,99F_MSQ_01,,,99F_MSQ_ER_MeetWiseman_success,,,,,CRX_RewardContainerT5_Legwear_60,1,,,false,@99F_MSQ02_MeetWiseman_title,@99F_MSQ02_MeetWiseman_desc,@99F_MSQ02_MeetWiseman_start_prompt,@99F_MSQ02_MeetWiseman_proposal,@99F_MSQ02_MeetWiseman_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ02_MeetWiseman_complete,,,true,,,,,,,
99F_MSQ_ER_CreateRefuge,MainStoryQuest,,58,,,,,99F_MSQ_ER_CreateRefuge_container,99F_Sun_04,,99F_MSQ_03,99F_MSQ_02,,,99F_MSQ_ER_CreateRefuge_success,,,,,CRX_RewardContainerT5_Weapons_60,1,,,false,@99F_MSQ03_CreateRefuge_title,@99F_MSQ03_CreateRefuge_desc,@99F_MSQ03_CreateRefuge_start_prompt,@99F_MSQ03_CreateRefuge_proposal,@99F_MSQ03_CreateRefuge_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ03_CreateRefuge_complete,,,true,,,,,,,
99F_MSQ_ER_InspireAllies,MainStoryQuest,,58,,,,,99F_MSQ_ER_InspireAllies_container,99F_Sun_04a,,99F_MSQ_04,99F_MSQ_03,,,99F_MSQ_ER_InspireAllies_success,,,,,HoningStoneT4,3,,,false,@99F_MSQ04_InspireAllies_title,@99F_MSQ04_InspireAllies_desc,@99F_MSQ04_InspireAllies_start_prompt,@99F_MSQ04_InspireAllies_proposal,@99F_MSQ04_InspireAllies_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ04_InspireAllies_complete,,,true,,,,,,,
99F_MSQ_ER_MeetEmpress,MainStoryQuest,,59,,,,,99F_MSQ_ER_MeetEmpress_container,99F_Empress_01,,99F_MSQ_05,99F_MSQ_04,,,99F_MSQ_ER_MeetEmpress_success,,,,,CRX_RewardContainerT5_Footwear_60,1,,,false,@99F_MSQ05_MeetEmpress_title,@99F_MSQ05_MeetEmpress_desc,@99F_MSQ05_MeetEmpress_start_prompt,@99F_MSQ05_MeetEmpress_proposal,@99F_MSQ05_MeetEmpress_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ05_MeetEmpress_complete,,,true,,,,,,,
99F_MSQ_ER_AscendPeak,MainStoryQuest,,59,,,,,99F_MSQ_ER_AscendPeak_container,99F_Empress_01a,,99F_MSQ_06,99F_MSQ_05,,,99F_MSQ_ER_AscendPeak_success,,,,,CRX_RewardContainerT5_Chestwear_60,1,,,false,@99F_MSQ06_AscendPeak_title,@99F_MSQ06_AscendPeak_desc,@99F_MSQ06_AscendPeak_start_prompt,@99F_MSQ06_AscendPeak_proposal,@99F_MSQ06_AscendPeak_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ06_AscendPeak_complete,,,true,,,,,,,
99F_MSQ_ER_CreateIncense,MainStoryQuest,,59,,,,,99F_MSQ_ER_CreateIncense_container,99F_Sun_05a,,99F_MSQ_07,99F_MSQ_06,,,99F_MSQ_ER_CreateIncense_success,,,,,PotionHealthT4,10,,,false,@99F_MSQ07_CreateIncense_title,@99F_MSQ07_CreateIncense_desc,@99F_MSQ07_CreateIncense_start_prompt,@99F_MSQ07_CreateIncense_proposal,@99F_MSQ07_CreateIncense_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ07_CreateIncense_complete,,,true,,,,,,,
99F_MSQ_ER_FightLiang,MainStoryQuest,,59,,,,,99F_MSQ_ER_FightLiang_container,99F_Liang_01,,99F_MSQ_08,99F_MSQ_07 && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,99F_MSQ_ER_FightLiang_success,,,,,CRX_RewardContainerT5_Weapons_60,1,,,false,@99F_MSQ08_FightLiang_title,@99F_MSQ08_FightLiang_desc,@99F_MSQ08_FightLiang_start_prompt,@99F_MSQ08_FightLiang_proposal,@99F_MSQ08_FightLiang_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ08_FightLiang_complete,,,true,,,,,,,Soul Trial
99F_MSQ_ER_FightLiang_destroyer,MainStoryQuest,,59,,,,,99F_MSQ_ER_FightLiang_container,99F_Liang_01,,99F_MSQ_08,99F_MSQ_07 && Archetype_Warmonger,,,99F_MSQ_ER_FightLiang_success_destroyer,,,,,CRX_RewardContainerT5_Handwear_60,1,,,false,@99F_MSQ08_FightLiang_title,@99F_MSQ08_FightLiang_desc,@99F_MSQ08_FightLiang_start_prompt,@99F_MSQ08_FightLiang_proposal,@99F_MSQ08_FightLiang_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ08_FightLiang_complete,,,true,,,,,,,Soul Trial alt
99F_MSQ_ER_FightLiang_musketeer,MainStoryQuest,,59,,,,,99F_MSQ_ER_FightLiang_container,99F_Liang_01,,99F_MSQ_08,99F_MSQ_07 && Archetype_Musketeer,,,99F_MSQ_ER_FightLiang_success_musketeer,,,,,CRX_RewardContainerT5_Handwear_60,1,,,false,@99F_MSQ08_FightLiang_title,@99F_MSQ08_FightLiang_desc,@99F_MSQ08_FightLiang_start_prompt,@99F_MSQ08_FightLiang_proposal,@99F_MSQ08_FightLiang_incomplete,@complete_available_prompt_DEFAULT,@99F_MSQ08_FightLiang_complete,,,true,,,,,,,Soul Trial alt
