PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerPlayerLevel,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_Stat_ArmorArtificer,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorArtificer,,@Perk_Attribute_ArmorArtificer_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@ArtificerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorArtificer,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorAssassin,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorAssassin,,@Perk_Attribute_ArmorAssassin_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@AssassinSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorAssassin,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorBarbarian,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorBarbarian,,@Perk_Attribute_ArmorBarbarian_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorBarbarian,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorBattlemage,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorBattlemage,,@Perk_Attribute_ArmorBattlemage_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@BattlemageSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorBattlemage,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorBrigand,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorBrigand,,@Perk_Attribute_ArmorBrigand_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@BrigandSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorBrigand,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorCavalier,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorCavalier,,@Perk_Attribute_ArmorCavalier_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorCavalier,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorCleric,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorCleric,,@Perk_Attribute_ArmorCleric_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@ClericSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorCleric,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorDruid,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorDruid,,@Perk_Attribute_ArmorDruid_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@DruidSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorDruid,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorDuelist,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorDuelist,,@Perk_Attribute_ArmorDuelist_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@DuelistSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorDuelist,,,,,,,,,,,,Attribute,
PerkID_Stat_ArmorFighter,Inherent,OnEquip,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken,,1,Attribute,,,,"0.018,550:0.00",,,@Perk_Attribute_ArmorFighter,,@Perk_Attribute_ArmorFighter_Description,@ui_stat_bonus_multiple_tooltip,,,1,,@FighterSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,Affix_Stat_ArmorFighter,,,,,,,,,,,,Attribute,
