PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerPlayerLevel,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_Charm_EmptySkillPerk,SkillCharm,OnEquip,EquippableMainHand+EquippableTwoHand+Armor+Jewelry+Shield,EquippableTool+NoGem+SeasonalEthereal,1,,,,,,,,@PerkID_Charm_EmptySkillPerk_Name,,@PerkID_Charm_EmptySkillPerk_Description,,,,,,,,LyShineUI/Images/Crafting/crafting_gemSlot.png,,,,,,,,,,,,,Gem,
PerkID_Charm_EmptyDefense,DefensiveCharm,OnEquip,EquippableMainHand+EquippableTwoHand+Armor+Jewelry+Shield,EquippableTool+NoGem+SeasonalEthereal,1,,,,,,,,@PerkID_Charm_EmptyDefense_Name,,@PerkID_Charm_EmptyDefense_Description,,,,,,,,LyShineUI/Images/Crafting/crafting_gemSlot.png,,,,,,,,,,,,,Gem,
PerkID_Charm_EmptyOffense,OffensiveCharm,OnEquip,EquippableMainHand+EquippableTwoHand+Armor+Jewelry+Shield,EquippableTool+NoGem+SeasonalEthereal,1,,,,,,,,@PerkID_Charm_EmptyOffense_Name,,@PerkID_Charm_EmptyOffense_Description,,,,,,,,LyShineUI/Images/Crafting/crafting_gemSlot.png,,,,,,,,,,,,,Gem,
PerkID_WeaponMastery_Hatchet_FeralRush,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_FeralRush,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_FeralRush_Name,,@PerkID_WeaponMastery_Hatchet_FeralRush_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability02.png,,MasteryPerk_Ability_Hatchet_FeralRush,,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hatchet_Berserk,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_Berserk,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_Berserk_Name,,@PerkID_WeaponMastery_Hatchet_Berserk_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability01.png,,MasteryPerk_Ability_Hatchet_Berserk,,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hatchet_RagingTorrent,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_RagingTorrent,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_RagingTorrent_Name,,@PerkID_WeaponMastery_Hatchet_RagingTorrent_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability03.png,,"MasteryPerk_Ability_Hatchet_RagingTorrent_DmgTrack,MasteryPerk_Ability_Hatchet_RagingTorrent_DmgBonus",,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hatchet_Rending_Throw,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_Rending_Throw,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_Rending_Throw_Name,,@PerkID_WeaponMastery_Hatchet_Rending_Throw_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability04.png,,MasteryPerk_Ability_Hatchet_RendingThrow,,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hatchet_DistancingThrow,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_DistancingThrow,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_DistancingThrow_Name,,@PerkID_WeaponMastery_Hatchet_DistancingThrow_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability05.png,,MasteryPerk_Ability_Hatchet_DistancingThrow,,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hatchet_InfectedThrow,SkillCharm,OnActive,Hatchet+Armor+Jewelry,,1,PerkID_WeaponMastery_Hatchet_InfectedThrow,,,,"0,725:0.00365",,Hatchet:200,@PerkID_WeaponMastery_Hatchet_InfectedThrow_Name,,@PerkID_WeaponMastery_Hatchet_InfectedThrow_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/hatchet_Ability06.png,,MasteryPerk_Ability_Hatchet_InfectedThrow,,,,,,,,,,,Ability,
PerkID_WeaponMastery_Hammer_ArmorBreaker,SkillCharm,OnActive,2HHammer+Armor+Jewelry,,1,PerkID_WeaponMastery_Hammer_ArmorBreaker,,,,"0,725:0.00365",,2HHammer:200,@PerkID_WeaponMastery_Hammer_ArmorBreaker_Name,,@PerkID_WeaponMastery_Hammer_ArmorBreaker_Description,,,,,,,,LyShineUI/Images/Icons/Abilities/warhammer_Ability01.png,,MasteryPerk_Ability_Hammer_ArmorBreaker,,,,,Warhammer,,,,,,Ability,
