PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerPlayerLevel,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_Gem_EmptyGemSlot,Gem,OnEquip,EquippableMainHand+EquippableTwoHand+Armor+Jewelry+Shield,EquippableTool+NoGem+SeasonalEthereal,1,EmptyGem,,,,,,,@EmptyGemSlotName,,@EmptyGemSlotDesc,,,,,,,,LyShineUI/Images/Crafting/crafting_gemSlot.png,,,,,,,,,,,,,Gem,
PerkID_Gem_VoidDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,VoidGauntlet+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@VoidDMG1Name,,@VoidDMG1Desc,,Amethyst_VoidDMG,1,,@AbyssalPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmethystCutT1.png,Abyssal1,,,,,,,,,,,,Gem,
PerkID_Gem_VoidDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,VoidGauntlet+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@VoidDMG2Name,,@VoidDMG2Desc,,Amethyst_VoidDMG,2,,@AbyssalPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmethystCutT2.png,Abyssal2,,,,,,,,,,,,Gem,
PerkID_Gem_VoidDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,VoidGauntlet+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@VoidDMG3Name,,@VoidDMG3Desc,,Amethyst_VoidDMG,3,,@AbyssalPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmethystCutT3.png,Abyssal3,,,,,,,,,,,,Gem,
PerkID_Gem_VoidDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,VoidGauntlet+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@VoidDMG4Name,,@VoidDMG4Desc,,Amethyst_VoidDMG,4,,@AbyssalPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmethystCutT4.png,Abyssal4,,,,,,,,,,,,Gem,
PerkID_Gem_LightningDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@LightningDMG1Name,,@LightningDMG1Desc,,Topaz_LightningDMG,1,,@ElectrifiedPrefix,,,LyShineUI/Images/Icons/Items/Resource/TopazCutT1.png,Electrified1,,,,,,,,,,,,Gem,
PerkID_Gem_LightningDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@LightningDMG2Name,,@LightningDMG2Desc,,Topaz_LightningDMG,2,,@ElectrifiedPrefix,,,LyShineUI/Images/Icons/Items/Resource/TopazCutT2.png,Electrified2,,,,,,,,,,,,Gem,
PerkID_Gem_LightningDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@LightningDMG3Name,,@LightningDMG3Desc,,Topaz_LightningDMG,3,,@ElectrifiedPrefix,,,LyShineUI/Images/Icons/Items/Resource/TopazCutT3.png,Electrified3,,,,,,,,,,,,Gem,
PerkID_Gem_LightningDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@LightningDMG4Name,,@LightningDMG4Desc,,Topaz_LightningDMG,4,,@ElectrifiedPrefix,,,LyShineUI/Images/Icons/Items/Resource/TopazCutT4.png,Electrified4,,,,,,,,,,,,Gem,
PerkID_Gem_ArcaneDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,Flail+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@ArcaneDMG1Name,,@ArcaneDMG1Desc,,Sapphire_ArcaneDMG,1,,@EmpoweredPrefix,,,LyShineUI/Images/Icons/Items/Resource/SapphireCutT1.png,Empowered1,,,,,,,,,,,,Gem,
PerkID_Gem_ArcaneDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,Flail+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@ArcaneDMG2Name,,@ArcaneDMG2Desc,,Sapphire_ArcaneDMG,2,,@EmpoweredPrefix,,,LyShineUI/Images/Icons/Items/Resource/SapphireCutT2.png,Empowered2,,,,,,,,,,,,Gem,
PerkID_Gem_ArcaneDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,Flail+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@ArcaneDMG3Name,,@ArcaneDMG3Desc,,Sapphire_ArcaneDMG,3,,@EmpoweredPrefix,,,LyShineUI/Images/Icons/Items/Resource/SapphireCutT3.png,Empowered3,,,,,,,,,,,,Gem,
PerkID_Gem_ArcaneDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,Flail+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@ArcaneDMG4Name,,@ArcaneDMG4Desc,,Sapphire_ArcaneDMG,4,,@EmpoweredPrefix,,,LyShineUI/Images/Icons/Items/Resource/SapphireCutT4.png,Empowered4,,,,,,,,,,,,Gem,
PerkID_Gem_FireDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,FireStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@FireDMG1Name,,@FireDMG1Desc,,Ruby_FireDMG,1,,@IgnitedPrefix,,,LyShineUI/Images/Icons/Items/Resource/RubyCutT1.png,Ignited1,,,,,,,,,,,,Gem,
PerkID_Gem_FireDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,FireStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@FireDMG2Name,,@FireDMG2Desc,,Ruby_FireDMG,2,,@IgnitedPrefix,,,LyShineUI/Images/Icons/Items/Resource/RubyCutT2.png,Ignited2,,,,,,,,,,,,Gem,
PerkID_Gem_FireDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,FireStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@FireDMG3Name,,@FireDMG3Desc,,Ruby_FireDMG,3,,@IgnitedPrefix,,,LyShineUI/Images/Icons/Items/Resource/RubyCutT3.png,Ignited3,,,,,,,,,,,,Gem,
PerkID_Gem_FireDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,FireStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@FireDMG4Name,,@FireDMG4Desc,,Ruby_FireDMG,4,,@IgnitedPrefix,,,LyShineUI/Images/Icons/Items/Resource/RubyCutT4.png,Ignited4,,,,,,,,,,,,Gem,
PerkID_Gem_IceDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,IceMagic+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@IceDMG1Name,,@IceDMG1Desc,,Aquamarine_IceDMG,1,,@FrozenPrefix,,,LyShineUI/Images/Icons/Items/Resource/AquamarineCutT1.png,Frozen1,,,,,,,,,,,,Gem,
PerkID_Gem_IceDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,IceMagic+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@IceDMG2Name,,@IceDMG2Desc,,Aquamarine_IceDMG,2,,@FrozenPrefix,,,LyShineUI/Images/Icons/Items/Resource/AquamarineCutT2.png,Frozen2,,,,,,,,,,,,Gem,
PerkID_Gem_IceDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,IceMagic+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@IceDMG3Name,,@IceDMG3Desc,,Aquamarine_IceDMG,3,,@FrozenPrefix,,,LyShineUI/Images/Icons/Items/Resource/AquamarineCutT3.png,Frozen3,,,,,,,,,,,,Gem,
PerkID_Gem_IceDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,IceMagic+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@IceDMG4Name,,@IceDMG4Desc,,Aquamarine_IceDMG,4,,@FrozenPrefix,,,LyShineUI/Images/Icons/Items/Resource/AquamarineCutT4.png,Frozen4,,,,,,,,,,,,Gem,
PerkID_Gem_NatureDMG1,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,LifeStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@NatureDMG1Name,,@NatureDMG1Desc,,Amber_NatureDMG,1,,@ArborealPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmberCutT1.png,Arboreal1,,,,,,,,,,,,Gem,
PerkID_Gem_NatureDMG2,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,LifeStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@NatureDMG2Name,,@NatureDMG2Desc,,Amber_NatureDMG,2,,@ArborealPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmberCutT2.png,Arboreal2,,,,,,,,,,,,Gem,
PerkID_Gem_NatureDMG3,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,LifeStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@NatureDMG3Name,,@NatureDMG3Desc,,Amber_NatureDMG,3,,@ArborealPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmberCutT3.png,Arboreal3,,,,,,,,,,,,Gem,
PerkID_Gem_NatureDMG4,Gem,OnEquip,EquippableMainHand+EquippableTwoHand,LifeStaff+SeasonalEthereal,4,ConversionGem,@incompatible_elemental_perk,,,,,,@NatureDMG4Name,,@NatureDMG4Desc,,Amber_NatureDMG,4,,@ArborealPrefix,,,LyShineUI/Images/Icons/Items/Resource/AmberCutT4.png,Arboreal4,,,,,,,,,,,,Gem,
PerkID_Gem_BrashGem1,Gem,OnActive,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,Brash,,,,,,,@Brash1Name,,@Brash1Desc,,Onyx_BrashGem,1,,@BrashPrefix,,,LyShineUI/Images/Icons/Items/Resource/OnyxCutT1.png,,BonusDamageFullHealthPerk1,,,,,,,,,,,Gem,
PerkID_Gem_BrashGem2,Gem,OnActive,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,Brash,,,,,,,@Brash2Name,,@Brash2Desc,,Onyx_BrashGem,2,,@BrashPrefix,,,LyShineUI/Images/Icons/Items/Resource/OnyxCutT2.png,,BonusDamageFullHealthPerk2,,,,,,,,,,,Gem,
PerkID_Gem_BrashGem3,Gem,OnActive,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,Brash,,,,,,,@Brash3Name,,@Brash3Desc,,Onyx_BrashGem,3,,@BrashPrefix,,,LyShineUI/Images/Icons/Items/Resource/OnyxCutT3.png,,BonusDamageFullHealthPerk3,,,,,,,,,,,Gem,
PerkID_Gem_BrashGem4,Gem,OnActive,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,Brash,,,,,,,@Brash4Name,,@Brash4Desc,,Onyx_BrashGem,4,,@BrashPrefix,,,LyShineUI/Images/Icons/Items/Resource/OnyxCutT4.png,,BonusDamageFullHealthPerk4,,,,,,,,,,,Gem,
PerkID_Gem_OpportunistGem1,Gem,OnActive,EquippableMainHand+EquippableTwoHand,SeasonalEthereal,4,Opportunist,,,,,,,@Opportunist1Name,,@Opportunist1Desc,,Emerald_OpportunistGem,1,,@OpportunistPrefix,,,LyShineUI/Images/Icons/Items/Resource/EmeraldCutT1.png,,"BonusDamageLowHealthPerk1,BonusHealingLowHealthPerk1",,,,,,,,,,,Gem,
