PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerPlayerLevel,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_Infix_Weapon_OnCrit_LightningBolt,Inherent,OnActive,EquippableMainHand+EquippableTwoHand,,1,Infix,,,,,,,@PerkID_Infix_Weapon_OnCrit_LightningBolt_Name,,@PerkID_Infix_Weapon_OnCrit_LightningBolt_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Infix_Weapon_OnCrit_LightningBolt_Tracking,Ability_Infix_Weapon_OnCrit_LightningBolt_Damage",,,,,,,,,,,Infix,
PerkID_Infix_Weapon_Melee_OnTargetGrit_Stun,Inherent,OnActive,Melee,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Melee_OnTargetGrit_Stun_Name,,@PerkID_Infix_Weapon_Melee_OnTargetGrit_Stun_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Infix_Weapon_Melee_OnTargetGrit_Stun_Grit,Ability_Infix_Weapon_Melee_OnTargetGrit_Stun_Uninterruptible,Ability_Infix_Weapon_Melee_OnTargetGrit_Stun_Apply",,,,,,,,,,,Infix,
PerkID_Infix_Ring_GritOnBasic,Inherent,OnActive,EquippableRing,,1,Infix,,,,,,,@PerkID_Infix_Ring_GritOnBasic_Name,,@PerkID_Infix_Ring_GritOnBasic_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Infix_Ring_GritOnBasic,Ability_Infix_Ring_GritOnBasic_TradeOff",,,,,,,,,,,,
PerkID_Infix_Weapon_Ranged_DamageOnDistance,Inherent,OnActive,Ranged+Hatchet,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Ranged_DamageOnDistance_Name,,@PerkID_Infix_Weapon_Ranged_DamageOnDistance_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Infix_Weapon_Ranged_DamageOnDistance,Ability_Infix_Weapon_Ranged_DamageOnDistance_DmgTaken",,,,,,,,,,,,
PerkID_Infix_Weapon_Melee_AlternateAttacks,Inherent,OnUnsheathed,Melee+VoidGauntlet,Shield,1,Infix,,,,"0,725:0.00365",,,@PerkID_Infix_Weapon_Melee_AlternateAttacks_Name,,@PerkID_Infix_Weapon_Melee_AlternateAttacks_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Perk_Weapon_Melee_AlternateAttacks_Basic_Proc,Ability_Perk_Weapon_Melee_AlternateAttacks_Basic_Dmg,Ability_Perk_Weapon_Melee_AlternateAttacks_Ability_Proc,Ability_Perk_Weapon_Melee_AlternateAttacks_Ability_Dmg",,,,,,,,,,,Weapon,
PerkID_Infix_Weapon_Magic_ChainLightning,Inherent,OnEquip,Magic,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Magic_ChainLightning,,@PerkID_Infix_Weapon_Magic_ChainLightning_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,Ability_Infix_Weapon_Magic_ChainLightning,,,,,,,,,,,,
PerkID_Infix_Weapon_Flail_EmpoweringHeal,Inherent,OnEquip,Flail+VoidGauntlet,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Flail_EmpoweringHeal,,@PerkID_Infix_Weapon_Flail_EmpoweringHeal_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"Ability_Infix_Weapon_Flail_EmpoweringHeal,Ability_Infix_Weapon_Flail_EmpoweringHeal_TrackingStacks",,,,,,,,,,,,
PerkID_Infix_Weapon_LowHealthCrit,Inherent,OnEquip,EquippableMainHand+EquippableTwoHand,,1,Infix,,,,,,,@PerkID_Infix_Weapon_LowHealthCrit_Name,,@PerkID_Infix_Weapon_LowHealthCrit_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,Ability_Infix_Weapon_LowHealthCrit,,,,,,,,,,,,
PerkID_Infix_Weapon_Melee_ArmorPenetrationBehind,Inherent,OnActive,Melee,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Melee_ArmorPenetrationBehind_Name,,@PerkID_Infix_Weapon_Melee_ArmorPenetrationBehind_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,Ability_Infix_Weapon_Melee_ArmorPenetrationBehind,,,,,,,,,,,,
PerkID_Infix_Weapon_Blunderbuss_HeavyMortar,Inherent,OnUnsheathed,Blunderbuss,,1,Infix,,,,,,,@PerkID_Infix_Weapon_Blunderbuss_HeavyMortar_Name,,@PerkID_Infix_Weapon_Blunderbuss_HeavyMortar_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,Ability_Infix_Weapon_Blunderbuss_HeavyMortar,,,,,,,,,,,,
