ResourceID,SocketType,GemPerk,PerkBucket
AdamantT1,,,PerkBucket_AdamantT1
AdamantT2,,,PerkBucket_AdamantT2
AdamantT3,,,PerkBucket_AdamantT3
AdderStoneT1,,,PerkBucket_AdderStoneT1
AdderStoneT2,,,PerkBucket_AdderStoneT2
AdderStoneT3,,,PerkBucket_AdderStoneT3
AncientEssenceT1,,,PerkBucket_AncientEssenceT1
AncientEssenceT2,,,PerkBucket_AncientEssenceT2
AncientEssenceT3,,,PerkBucket_AncientEssenceT3
AnimusT1,,,PerkBucket_AnimusT1
AnimusT2,,,PerkBucket_AnimusT2
AnimusT3,,,PerkBucket_AnimusT3
ArcanistCharmT1,,,PerkBucket_ArcanistCharmT1
ArcanistCharmT2,,,PerkBucket_ArcanistCharmT2
ArcanistCharmT3,,,PerkBucket_ArcanistCharmT3
ArmorerCharmT1,,,PerkBucket_ArmorerCharmT1
ArmorerCharmT2,,,PerkBucket_ArmorerCharmT2
ArmorerCharmT3,,,PerkBucket_ArmorerCharmT3
ArmorScrapsT1,,,PerkBucket_ArmorScrapsT1
ArmorScrapsT2,,,PerkBucket_ArmorScrapsT2
ArmorScrapsT3,,,PerkBucket_ArmorScrapsT3
AzaleaNectarT1,,,PerkBucket_AzaleaNectarT1
AzaleaNectarT2,,,PerkBucket_AzaleaNectarT2
AzaleaNectarT3,,,PerkBucket_AzaleaNectarT3
AzothOilT1,,,PerkBucket_AzothOilT1
AzothOilT2,,,PerkBucket_AzothOilT2
AzothOilT3,,,PerkBucket_AzothOilT3
BaetylusT1,,,PerkBucket_BaetylusT1
BaetylusT2,,,PerkBucket_BaetylusT2
BaetylusT3,,,PerkBucket_BaetylusT3
BatrachiteT1,,,PerkBucket_BatrachiteT1
BatrachiteT2,,,PerkBucket_BatrachiteT2
BatrachiteT3,,,PerkBucket_BatrachiteT3
BearPawT1,,,PerkBucket_BearPawT1
BearPawT2,,,PerkBucket_BearPawT2
BearPawT3,,,PerkBucket_BearPawT3
BoarHoofT1,,,PerkBucket_BoarHoofT1
BoarHoofT2,,,PerkBucket_BoarHoofT2
BoarHoofT3,,,PerkBucket_BoarHoofT3
BoarTuskT1,,,PerkBucket_BoarTuskT1
BoarTuskT2,,,PerkBucket_BoarTuskT2
BotanistCharmT1,,,PerkBucket_BotanistCharmT1
BotanistCharmT2,,,PerkBucket_BotanistCharmT2
BotanistCharmT3,,,PerkBucket_BotanistCharmT3
ChefCharmT1,,,PerkBucket_ChefCharmT1
ChefCharmT2,,,PerkBucket_ChefCharmT2
ChefCharmT3,,,PerkBucket_ChefCharmT3
ClawT1,,,PerkBucket_ClawT1
ClawT2,,,PerkBucket_ClawT2
ClawT3,,,PerkBucket_ClawT3
CobaltT1,,,PerkBucket_CobaltT1
CobaltT2,,,PerkBucket_CobaltT2
CobaltT3,,,PerkBucket_CobaltT3
ConsecratedIronT1,,,PerkBucket_ConsecratedIronT1
ConsecratedIronT2,,,PerkBucket_ConsecratedIronT2
ConsecratedIronT3,,,PerkBucket_ConsecratedIronT3
CorruptedClothT1,,,PerkBucket_CorruptedClothT1
CorruptedClothT2,,,PerkBucket_CorruptedClothT2
CorruptedClothT3,,,PerkBucket_CorruptedClothT3
CorruptedEssenceT1,,,PerkBucket_CorruptedEssenceT1
CorruptedEssenceT2,,,PerkBucket_CorruptedEssenceT2
CorruptedEssenceT3,,,PerkBucket_CorruptedEssenceT3
CorruptedIchorT1,,,PerkBucket_CorruptedIchorT1
CorruptedIchorT2,,,PerkBucket_CorruptedIchorT2
CorruptedIchorT3,,,PerkBucket_CorruptedIchorT3
CorruptedInsigniaT1,,,PerkBucket_CorruptedInsigniaT1
CorruptedInsigniaT2,,,PerkBucket_CorruptedInsigniaT2
CorruptedInsigniaT3,,,PerkBucket_CorruptedInsigniaT3
CorruptedMatterT1,,,PerkBucket_CorruptedMatterT1
CorruptedMatterT2,,,PerkBucket_CorruptedMatterT2
CorruptedMatterT3,,,PerkBucket_CorruptedMatterT3
CorruptedSigilT1,,,PerkBucket_CorruptedSigilT1
CorruptedSigilT2,,,PerkBucket_CorruptedSigilT2
CorruptedSigilT3,,,PerkBucket_CorruptedSigilT3
CrystalT1,,,PerkBucket_CrystalT1
CrystalT2,,,PerkBucket_CrystalT2
CrystalT3,,,PerkBucket_CrystalT3
CrystalizedAzothT1,,,PerkBucket_CrystalizedAzothT1
CrystalizedAzothT2,,,PerkBucket_CrystalizedAzothT2
CrystalizedAzothT3,,,PerkBucket_CrystalizedAzothT3
CrystalizedEctoplasmT1,,,PerkBucket_CrystalizedEctoplasmT1
CrystalizedEctoplasmT2,,,PerkBucket_CrystalizedEctoplasmT2
CrystalizedEctoplasmT3,,,PerkBucket_CrystalizedEctoplasmT3
EctoplasmT1,,,PerkBucket_EctoplasmT1
EctoplasmT2,,,PerkBucket_EctoplasmT2
EctoplasmT3,,,PerkBucket_EctoplasmT3
ElkHoofT1,,,PerkBucket_ElkHoofT1
ElkHoofT2,,,PerkBucket_ElkHoofT2
ElkHoofT3,,,PerkBucket_ElkHoofT3
EnchantedEarthT1,,,PerkBucket_EnchantedEarthT1
EnchantedEarthT2,,,PerkBucket_EnchantedEarthT2
EnchantedEarthT3,,,PerkBucket_EnchantedEarthT3
EngineerCharmT1,,,PerkBucket_EngineerCharmT1
EngineerCharmT2,,,PerkBucket_EngineerCharmT2
EngineerCharmT3,,,PerkBucket_EngineerCharmT3
FangT1,,,PerkBucket_FangT1
FangT2,,,PerkBucket_FangT2
FangT3,,,PerkBucket_FangT3
FrozenFangT1,,,PerkBucket_FrozenFangT1
FrozenFangT2,,,PerkBucket_FrozenFangT2
FrozenFangT3,,,PerkBucket_FrozenFangT3
HolyWaterT1,,,PerkBucket_HolyWaterT1
HolyWaterT2,,,PerkBucket_HolyWaterT2
HolyWaterT3,,,PerkBucket_HolyWaterT3
HornT1,,,PerkBucket_HornT1
HornT2,,,PerkBucket_HornT2
HornT3,,,PerkBucket_HornT3
IronwoodResinT1,,,PerkBucket_IronwoodResinT1
IronwoodResinT2,,,PerkBucket_IronwoodResinT2
IronwoodResinT3,,,PerkBucket_IronwoodResinT3
IronwoodSapT1,,,PerkBucket_IronwoodSapT1
IronwoodSapT2,,,PerkBucket_IronwoodSapT2
IronwoodSapT3,,,PerkBucket_IronwoodSapT3
JewelcrafterCharmT1,,,PerkBucket_JewelcrafterCharmT1
JewelcrafterCharmT2,,,PerkBucket_JewelcrafterCharmT2
JewelcrafterCharmT3,,,PerkBucket_JewelcrafterCharmT3
LumberjackCharmT1,,,PerkBucket_LumberjackCharmT1
LumberjackCharmT2,,,PerkBucket_LumberjackCharmT2
LumberjackCharmT3,,,PerkBucket_LumberjackCharmT3
MangyHideT1,,,PerkBucket_MangyHideT1
MangyHideT2,,,PerkBucket_MangyHideT2
MangyHideT3,,,PerkBucket_MangyHideT3
MinerCharmT1,,,PerkBucket_MinerCharmT1
MinerCharmT2,,,PerkBucket_MinerCharmT2
MinerCharmT3,,,PerkBucket_MinerCharmT3
NiterT1,,,PerkBucket_NiterT1
NiterT2,,,PerkBucket_NiterT2
NiterT3,,,PerkBucket_NiterT3
QuicksilverT1,,,PerkBucket_QuicksilverT1
QuicksilverT2,,,PerkBucket_QuicksilverT2
QuicksilverT3,,,PerkBucket_QuicksilverT3
ResinT1,,,PerkBucket_ResinT1
ResinT2,,,PerkBucket_ResinT2
ResinT3,,,PerkBucket_ResinT3
RivetedMailT1,,,PerkBucket_RivetedMailT1
RivetedMailT2,,,PerkBucket_RivetedMailT2
RivetedMailT3,,,PerkBucket_RivetedMailT3
SapT1,,,PerkBucket_SapT1
SapT2,,,PerkBucket_SapT2
SapT3,,,PerkBucket_SapT3
SkinnerCharmT1,,,PerkBucket_SkinnerCharmT1
SkinnerCharmT2,,,PerkBucket_SkinnerCharmT2
SkinnerCharmT3,,,PerkBucket_SkinnerCharmT3
SparkmetalT1,,,PerkBucket_SparkmetalT1
SparkmetalT2,,,PerkBucket_SparkmetalT2
SparkmetalT3,,,PerkBucket_SparkmetalT3
TallowT1,,,PerkBucket_TallowT1
TallowT2,,,PerkBucket_TallowT2
TallowT3,,,PerkBucket_TallowT3
ThunderstoneT1,,,PerkBucket_ThunderstoneT1
ThunderstoneT2,,,PerkBucket_ThunderstoneT2
ThunderstoneT3,,,PerkBucket_ThunderstoneT3
TravelersCharmT1,,,PerkBucket_TravelersCharmT1
TravelersCharmT2,,,PerkBucket_TravelersCharmT2
TravelersCharmT3,,,PerkBucket_TravelersCharmT3
TravelersStoneT1,,,PerkBucket_TravelersStoneT1
TravelersStoneT2,,,PerkBucket_TravelersStoneT2
TravelersStoneT3,,,PerkBucket_TravelersStoneT3
VerbenaT1,,,PerkBucket_VerbenaT1
VerbenaT2,,,PerkBucket_VerbenaT2
VerbenaT3,,,PerkBucket_VerbenaT3
ViscousAzothT1,,,PerkBucket_ViscousAzothT1
ViscousAzothT2,,,PerkBucket_ViscousAzothT2
ViscousAzothT3,,,PerkBucket_ViscousAzothT3
WeaponsmithCharmT1,,,PerkBucket_WeaponsmithCharmT1
WeaponsmithCharmT2,,,PerkBucket_WeaponsmithCharmT2
WeaponsmithCharmT3,,,PerkBucket_WeaponsmithCharmT3
WhetstoneT1,,,PerkBucket_WhetstoneT1
WhetstoneT2,,,PerkBucket_WhetstoneT2
WhetstoneT3,,,PerkBucket_WhetstoneT3
WitheredEssenceT1,,,PerkBucket_WitheredEssenceT1
WitheredEssenceT2,,,PerkBucket_WitheredEssenceT2
WitheredEssenceT3,,,PerkBucket_WitheredEssenceT3
WolfEssenceT1,,,PerkBucket_WolfEssenceT1
WolfEssenceT2,,,PerkBucket_WolfEssenceT2
WolfEssenceT3,,,PerkBucket_WolfEssenceT3
WolfPawT1,,,PerkBucket_WolfPawT1
WolfPawT2,,,PerkBucket_WolfPawT2
WolfPawT3,,,PerkBucket_WolfPawT3
WrithingBriarT1,,,PerkBucket_WrithingBriarT1
WrithingBriarT2,,,PerkBucket_WrithingBriarT2
WrithingBriarT3,,,PerkBucket_WrithingBriarT3
WrithingVinesT1,,,PerkBucket_WrithingVinesT1
WrithingVinesT2,,,PerkBucket_WrithingVinesT2
WrithingVinesT3,,,PerkBucket_WrithingVinesT3
WyrdwoodResinT1,,,PerkBucket_WyrdwoodResinT1
WyrdwoodResinT2,,,PerkBucket_WyrdwoodResinT2
WyrdwoodResinT3,,,PerkBucket_WyrdwoodResinT3
WyrdwoodSapT1,,,PerkBucket_WyrdwoodSapT1
WyrdwoodSapT2,,,PerkBucket_WyrdwoodSapT2
WyrdwoodSapT3,,,PerkBucket_WyrdwoodSapT3
SwordCharmT1,,,PerkBucket_SwordCharmT1
SwordCharmT2,,,PerkBucket_SwordCharmT2
SwordCharmT3,,,PerkBucket_SwordCharmT3
ShieldCharmT1,,,PerkBucket_ShieldCharmT1
ShieldCharmT2,,,PerkBucket_ShieldCharmT2
ShieldCharmT3,,,PerkBucket_ShieldCharmT3
HatchetCharmT1,,,PerkBucket_HatchetCharmT1
HatchetCharmT2,,,PerkBucket_HatchetCharmT2
HatchetCharmT3,,,PerkBucket_HatchetCharmT3
HatchetCharmT4,,,PerkBucket_HatchetCharmT4
HatchetCharmT5,,,PerkBucket_HatchetCharmT5
HatchetCharmT6,,,PerkBucket_HatchetCharmT6
2HHammerCharmT1,,,PerkBucket_2HHammerCharmT1
2HHammerCharmT2,,,PerkBucket_2HHammerCharmT2
