Modifiers,Experience,Currency,CurrencyRewardChance,TerritoryStanding,Azoth,LootDropModifier,FactionReputationModifier,FactionTokenModifier,ProgressionCurrencyAmount,AzothSaltModifier,PvpXpModifier,SeasonsXpModifier,Found in,DisplayName
Boss,5,1.5,,150,1,1,,,,,,0,Flags on vitals,
Boss+,10,2,,200,1,1,,,,,,0,Flags on vitals,
Critter,0,0,,0,0,1,,,,,,0,Flags on vitals,
Spell,0,0,,0,0,1,,,,,,0,Flags on vitals,
Darkness,0.5,0,,0,0,1,,,,,,0,Flags on vitals,
Elite,3,1.35,,35,1,1,,,,,,0,Flags on vitals,
Elite-,2.25,1.35,,35,1,1,,,,,,0,Flags on vitals,
Elite+,4,1.35,,35,1,1,,,,,,0,Flags on vitals,
EliteMiniBoss,5,1.5,,150,1,1,,,,,,0,Flags on vitals,
EliteBoss,10,1.5,,150,1,1,,,,,,0,Flags on vitals,
Solo,1,1,,5,1,1,,,,,,0,Flags on vitals,
Solo-,0.5,0.5,,2,1,1,,,,,,0,Flags on vitals,
Solo+,2,1.15,,15,1,1,,,,,,0,Flags on vitals,
Named_Solo,1,1,,5,1,1,,,,,,0,Flags on vitals,
Named_Solo+,2,1.15,,15,1,1,,,,,,0,Flags on vitals,
SoloBoss,2,1.15,,15,1,1,,,,,,0,Flags on vitals,
Solo_Quest,0,0,,0,0,1,,,,,,0,Flags on vitals,
Arena,5,7,,250,4,1,,,,,,0,Flags on vitals,
DarknessMajor,1.25,1.5,,375,4,1,,,,,,15,Flags on Quests (not hooked up),
DarknessMinor,0.35,0.25,,250,2,1,,,,,,0,Flags on Quests (not hooked up),
Mission,1.5,1,,250,0,1,,,,,,2,Flags on Quests (not hooked up),
Mission-,0.75,0.5,,125,0,1,,,,,,1,Flags on Quests (not hooked up),
Mission+,2,1.5,,375,0,1,,,,,,4,Flags on Quests (not hooked up),
MissionPvP,1.8,1.15,,40,0,1,,,,1,1,3,Flags on Quests (not hooked up),
MissionPvP-,0.9,0.55,,15,0,1,,,,1,1,1,Flags on Quests (not hooked up),
MissionPvP+,2.25,1.75,,75,0,1,,,,1,1,5,Flags on Quests (not hooked up),
Project,0.5,0.5,,500,0,1,,,,,,1,Flags on Quests (not hooked up),
Project-,0.25,0.25,,250,0,1,,,,,,0,Flags on Quests (not hooked up),
Project+,0.85,0.75,,750,0,1,,,,,,2,Flags on Quests (not hooked up),
Quest,2,1,,175,1,1,,,,,,5,Flags on Quests (not hooked up),
Quest-,1,0.5,,100,0.5,1,,,,,,1,Flags on Quests (not hooked up),
Quest+,2.5,1.5,,250,2,1,,,,,,10,Flags on Quests (not hooked up),
Dungeon,1,1.35,,0,1,1,,15,,,,0,Flags on vitals,
Dungeon-,1,1.35,,0,1,1,,,,,,0,Flags on vitals,
Dungeon+,1,1.35,,0,1,1,,,,,,0,Flags on vitals,
Dungeon_NoCurrency,1,0,,0,0,1,,,,,,0,Flags on vitals,
Dungeon-_NoCurrency,1,0,,0,0,1,,,,,,0,Flags on vitals,
Dungeon+_NoCurrency,1,0,,0,0,1,,,,,,0,Flags on vitals,
