RewardId,Entitlement,GameEvent,Item,Name,Description,Quantity,RollOnPresent,CategoricalProgressionId,BuyCategoricalProgressionCost,IconPath,HiResIconPath,UseLevelGS
LB_BasicArmorHands,,,[LTID]PvP_BasicArmorHands,,,1,true,AzothSalt_Currency,2000,,,
LB_BasicArmorFeet,,,[LTID]PvP_BasicArmorFeet,,,1,true,AzothSalt_Currency,2000,,,
LB_BasicArmorLegs,,,[LTID]PvP_BasicArmorLegs,,,1,true,AzothSalt_Currency,2800,,,
LB_BasicArmorHead,,,[LTID]PvP_BasicArmorHead,,,1,true,AzothSalt_Currency,2200,,,
LB_BasicArmorChest,,,[LTID]PvP_BasicArmorChest,,,1,true,AzothSalt_Currency,3200,,,
LB_BasicArmorTrinkets,,,[LTID]PvP_BasicArmorTrinkets,,,1,true,AzothSalt_Currency,2000,,,
LB_BasicWeaponRolledTagged,,,[LTID]PvP_BasicWeaponRolledTagged,,,1,true,AzothSalt_Currency,3200,,,
LB_BasicWeaponRolled,,,[LTID]PvP_BasicWeaponRolled,,,1,true,AzothSalt_Currency,3200,,,
LB_NamedArmorHands,,,[LTID]PVP_NamedArmorHands,,,1,true,AzothSalt_Currency,2400,,,
LB_NamedArmorFeet,,,[LTID]PVP_NamedArmorFeet,,,1,true,AzothSalt_Currency,2400,,,
LB_NamedArmorLegs,,,[LTID]PVP_NamedArmorLegs,,,1,true,AzothSalt_Currency,3200,,,
LB_NamedArmorHead,,,[LTID]PVP_NamedArmorHead,,,1,true,AzothSalt_Currency,2600,,,
LB_NamedArmorChest,,,[LTID]PVP_NamedArmorChest,,,1,true,AzothSalt_Currency,3600,,,
LB_NamedArmorTrinkets,,,[LTID]PVP_NamedArmorTrinkets,,,1,true,AzothSalt_Currency,2400,,,
LB_NamedWeaponRolledTagged,,,[LTID]PVP_NamedWeaponRolledTagged,,,1,true,AzothSalt_Currency,3600,,,
LB_NamedWeaponRolled,,,[LTID]PVP_NamedWeaponRolled,,,1,true,AzothSalt_Currency,3600,,,
LB_NamedArmor,,,[LTID]PVP_NamedArmor,,,1,true,AzothSalt_Currency,4800,,,
LB_PrestigeArmorHands,,,[LTID]PVP_PrestigeArmorHands,,,1,true,AzothSalt_Currency,4000,,,
LB_PrestigeArmorFeet,,,[LTID]PVP_PrestigeArmorFeet,,,1,true,AzothSalt_Currency,4000,,,
LB_PrestigeArmorLegs,,,[LTID]PVP_PrestigeArmorLegs,,,1,true,AzothSalt_Currency,4800,,,
LB_PrestigeArmorHead,,,[LTID]PVP_PrestigeArmorHead,,,1,true,AzothSalt_Currency,4200,,,
LB_PrestigeArmorChest,,,[LTID]PVP_PrestigeArmorChest,,,1,true,AzothSalt_Currency,5200,,,
LB_PrestigeArmorTrinkets,,,[LTID]PVP_PrestigeArmorTrinkets,,,1,true,AzothSalt_Currency,2800,,,
LB_PrestigeWeaponRolledTagged,,,[LTID]PVP_PrestigeWeaponRolledTagged,,,1,true,AzothSalt_Currency,5200,,,
LB_PrestigeWeaponRolled,,,[LTID]PVP_PrestigeWeaponRolled,,,1,true,AzothSalt_Currency,5200,,,
LB_PrestigeArmor,,,[LTID]PVP_PrestigeArmor,,,1,true,AzothSalt_Currency,3200,,,
LB_PrestigeGS600Hands,,,[LTID]PvP_PrestigeGSHands,,,1,true,AzothSalt_Currency,8000,,,
LB_PrestigeGS600Feet,,,[LTID]PvP_PrestigeGSFeet,,,1,true,AzothSalt_Currency,8000,,,
LB_PrestigeGS600Legs,,,[LTID]PvP_PrestigeGSLegs,,,1,true,AzothSalt_Currency,10000,,,
LB_PrestigeGS600Head,,,[LTID]PvP_PrestigeGSHead,,,1,true,AzothSalt_Currency,9000,,,
LB_PrestigeGS600Chest,,,[LTID]PvP_PrestigeGSChest,,,1,true,AzothSalt_Currency,12000,,,
LB_PrestigeGS600ArmorTrinkets,,,[LTID]PvP_PrestigeGSArmorTrinkets,,,1,true,AzothSalt_Currency,10000,,,
LB_PrestigeGS600WeaponsTagged,,,[LTID]PvP_PrestigeGSWeaponsTagged,,,1,true,AzothSalt_Currency,12000,,,
LB_PrestigeGS600Weapons,,,[LTID]PvP_PrestigeGSWeapons,,,1,true,AzothSalt_Currency,12000,,,
LB_PrestigeGS600Armor,,,[LTID]PvP_PrestigeGSArmor,,,1,true,AzothSalt_Currency,10000,,,
LB_PrestigeGS600BArmorTrinkets,,,[LTID]PvP_PrestigeGSArmorTrinkets_B,,,1,true,AzothSalt_Currency,16000,,,
LB_PrestigeGS600BWeapons,,,[LTID]PVP_PrestigeGSWeapons_B,,,1,true,AzothSalt_Currency,16000,,,
LB_PrestigeGS600BArmor,,,[LTID]PVP_PrestigeGSArmor_B,,,1,true,AzothSalt_Currency,16000,,,
ENT_Emote_1_Discount,Emote_Frustrated,,,@ui_emote_Frustrated_name,@ui_emote_Frustrated_description,1,,AzothSalt_Currency,4000,LyShineUI\Images\Icons\Emotes\emote_WorkingWithMorons,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_WorkingWithMorons,
ENT_Emote_1,Emote_Frustrated,,,@ui_emote_Frustrated_name,@ui_emote_Frustrated_description,1,,AzothSalt_Currency,8000,LyShineUI\Images\Icons\Emotes\emote_WorkingWithMorons,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_WorkingWithMorons,
ENT_Emote_2,Emote_BreakItUp,,,@ui_emote_BreakItUp_name,@ui_emote_BreakItUp_description,1,,AzothSalt_Currency,9600,LyShineUI\Images\Icons\Emotes\emote_WoahSettleDown,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_WoahSettleDown,
ENT_Emote_3,Emote_ImmatureTaunt,,,@ui_emote_ImmatureTaunt_name,@ui_emote_ImmatureTaunt_description,1,,AzothSalt_Currency,12000,LyShineUI\Images\Icons\Emotes\emote_ChildishTaunt,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_ChildishTaunt,
ENT_Emote_4,Emote_Umpire,,,@ui_emote_Umpire_name,@ui_emote_Umpire_description,1,,AzothSalt_Currency,13600,LyShineUI\Images\Icons\Emotes\emote_YouAreOuttaHere,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_YouAreOuttaHere,
ENT_Emote_5,Emote_MimeInBox,,,@ui_emote_MimeInBox_name,@ui_emote_MimeInBox_description,1,,AzothSalt_Currency,16000,LyShineUI\Images\Icons\Emotes\emote_MimeTrapedInBox,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_MimeTrapedInBox,
ENT_Emote_6,Ent_Emote_TrafficCop,,,@ui_emote_TrafficCop_name,@ui_emote_TrafficCop_description,1,,AzothSalt_Currency,9600,LyShineUI\Images\Icons\Emotes\emote_TrafficCop,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_TrafficCop,
ENT_Emote_7,Ent_Emote_DoffCap,,,@ui_emote_DoffCap_name,@ui_emote_DoffCap_description,1,,AzothSalt_Currency,12000,LyShineUI\Images\Icons\Emotes\emote_DoffCap,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_DoffCap,
ENT_Emote_8,Ent_Emote_BadSmell,,,@ui_emote_BadSmell_name,@ui_emote_BadSmell_description,1,,AzothSalt_Currency,13600,LyShineUI\Images\Icons\Emotes\emote_BadSmell,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_BadSmell,
ENT_Emote_9,Ent_Emote_Facepalm,,,@ui_emote_Facepalm_name,@ui_emote_Facepalm_description,1,,AzothSalt_Currency,16000,LyShineUI\Images\Icons\Emotes\emote_FacePalm,LyShineUI\Images\Icons\Items_Hires\Emotes\emote_FacePalm,
ITM_MountAttachmentITM_Shield11,,,MountAttachmentItem_Shield11,,,1,,AzothSalt_Currency,8000,,,
ITM_MountAttachmentITM_Shield26,,,MountAttachmentItem_Shield26,,,1,,AzothSalt_Currency,8000,,,
