Level,MaximumInfluence,InfluenceCost,FreeRewardId,PremiumRewardId
0,2750,0,S2_BattlePass_Free_00,
1,2750,2750,S2_BattlePass_Free_01,S2_BattlePass_Premium_01
2,2750,2750,S2_BattlePass_Free_02,S2_BattlePass_Premium_02
3,2750,2750,S2_BattlePass_Free_03,S2_BattlePass_Premium_03
4,2750,2750,S2_BattlePass_Free_04,S2_BattlePass_Premium_04
5,2750,2750,S2_BattlePass_Free_05,S2_BattlePass_Premium_05
6,2750,2750,S2_BattlePass_Free_06,S2_BattlePass_Premium_06
7,2750,2750,S2_BattlePass_Free_07,S2_BattlePass_Premium_07
8,2750,2750,S2_BattlePass_Free_08,S2_BattlePass_Premium_08
9,2750,2750,S2_BattlePass_Free_09,S2_BattlePass_Premium_09
10,2750,2750,S2_BattlePass_Free_10,S2_BattlePass_Premium_10
11,2750,2750,S2_BattlePass_Free_11,S2_BattlePass_Premium_11
12,2750,2750,S2_BattlePass_Free_12,S2_BattlePass_Premium_12
13,2750,2750,S2_BattlePass_Free_13,S2_BattlePass_Premium_13
14,2750,2750,S2_BattlePass_Free_14,S2_BattlePass_Premium_14
15,2750,2750,S2_BattlePass_Free_15,S2_BattlePass_Premium_15
16,2750,2750,S2_BattlePass_Free_16,S2_BattlePass_Premium_16
17,2750,2750,S2_BattlePass_Free_17,S2_BattlePass_Premium_17
18,2750,2750,S2_BattlePass_Free_18,S2_BattlePass_Premium_18
19,2750,2750,S2_BattlePass_Free_19,S2_BattlePass_Premium_19
20,2750,2750,S2_BattlePass_Free_20,S2_BattlePass_Premium_20
21,2750,2750,S2_BattlePass_Free_21,S2_BattlePass_Premium_21
22,2750,2750,S2_BattlePass_Free_22,S2_BattlePass_Premium_22
23,2750,2750,S2_BattlePass_Free_23,S2_BattlePass_Premium_23
24,2750,2750,S2_BattlePass_Free_24,S2_BattlePass_Premium_24
25,2750,2750,S2_BattlePass_Free_25,S2_BattlePass_Premium_25
26,2750,2750,S2_BattlePass_Free_26,S2_BattlePass_Premium_26
27,2750,2750,S2_BattlePass_Free_27,S2_BattlePass_Premium_27
28,2750,2750,S2_BattlePass_Free_28,S2_BattlePass_Premium_28
29,2750,2750,S2_BattlePass_Free_29,S2_BattlePass_Premium_29
30,2750,2750,S2_BattlePass_Free_30,S2_BattlePass_Premium_30
31,2750,2750,S2_BattlePass_Free_31,S2_BattlePass_Premium_31
32,2750,2750,S2_BattlePass_Free_32,S2_BattlePass_Premium_32
33,2750,2750,S2_BattlePass_Free_33,S2_BattlePass_Premium_33
34,2750,2750,S2_BattlePass_Free_34,S2_BattlePass_Premium_34
35,2750,2750,S2_BattlePass_Free_35,S2_BattlePass_Premium_35
36,2750,2750,S2_BattlePass_Free_36,S2_BattlePass_Premium_36
37,2750,2750,S2_BattlePass_Free_37,S2_BattlePass_Premium_37
38,2750,2750,S2_BattlePass_Free_38,S2_BattlePass_Premium_38
39,2750,2750,S2_BattlePass_Free_39,S2_BattlePass_Premium_39
40,2750,2750,S2_BattlePass_Free_40,S2_BattlePass_Premium_40
41,2750,2750,S2_BattlePass_Free_41,S2_BattlePass_Premium_41
42,2750,2750,S2_BattlePass_Free_42,S2_BattlePass_Premium_42
43,2750,2750,S2_BattlePass_Free_43,S2_BattlePass_Premium_43
44,2750,2750,S2_BattlePass_Free_44,S2_BattlePass_Premium_44
45,2750,2750,S2_BattlePass_Free_45,S2_BattlePass_Premium_45
46,2750,2750,S2_BattlePass_Free_46,S2_BattlePass_Premium_46
47,2750,2750,S2_BattlePass_Free_47,S2_BattlePass_Premium_47
48,2750,2750,S2_BattlePass_Free_48,S2_BattlePass_Premium_48
49,2750,2750,S2_BattlePass_Free_49,S2_BattlePass_Premium_49
50,2750,2750,S2_BattlePass_Free_50,S2_BattlePass_Premium_50
51,2750,2750,S2_BattlePass_Free_51,S2_BattlePass_Premium_51
52,2750,2750,S2_BattlePass_Free_52,S2_BattlePass_Premium_52
53,2750,2750,S2_BattlePass_Free_53,S2_BattlePass_Premium_53
54,2750,2750,S2_BattlePass_Free_54,S2_BattlePass_Premium_54
55,2750,2750,S2_BattlePass_Free_55,S2_BattlePass_Premium_55
56,2750,2750,S2_BattlePass_Free_56,S2_BattlePass_Premium_56
57,2750,2750,S2_BattlePass_Free_57,S2_BattlePass_Premium_57
58,2750,2750,S2_BattlePass_Free_58,S2_BattlePass_Premium_58
59,2750,2750,S2_BattlePass_Free_59,S2_BattlePass_Premium_59
60,2750,2750,S2_BattlePass_Free_60,S2_BattlePass_Premium_60
61,2750,2750,S2_BattlePass_Free_61,S2_BattlePass_Premium_61
62,2750,2750,S2_BattlePass_Free_62,S2_BattlePass_Premium_62
63,2750,2750,S2_BattlePass_Free_63,S2_BattlePass_Premium_63
64,2750,2750,S2_BattlePass_Free_64,S2_BattlePass_Premium_64
65,2750,2750,S2_BattlePass_Free_65,S2_BattlePass_Premium_65
66,2750,2750,S2_BattlePass_Free_66,S2_BattlePass_Premium_66
67,2750,2750,S2_BattlePass_Free_67,S2_BattlePass_Premium_67
68,2750,2750,S2_BattlePass_Free_68,S2_BattlePass_Premium_68
69,2750,2750,S2_BattlePass_Free_69,S2_BattlePass_Premium_69
70,2750,2750,S2_BattlePass_Free_70,S2_BattlePass_Premium_70
71,2750,2750,S2_BattlePass_Free_71,S2_BattlePass_Premium_71
72,2750,2750,S2_BattlePass_Free_72,S2_BattlePass_Premium_72
73,2750,2750,S2_BattlePass_Free_73,S2_BattlePass_Premium_73
74,2750,2750,S2_BattlePass_Free_74,S2_BattlePass_Premium_74
75,2750,2750,S2_BattlePass_Free_75,S2_BattlePass_Premium_75
76,2750,2750,S2_BattlePass_Free_76,S2_BattlePass_Premium_76
77,2750,2750,S2_BattlePass_Free_77,S2_BattlePass_Premium_77
78,2750,2750,S2_BattlePass_Free_78,S2_BattlePass_Premium_78
79,2750,2750,S2_BattlePass_Free_79,S2_BattlePass_Premium_79
80,2750,2750,S2_BattlePass_Free_80,S2_BattlePass_Premium_80
81,2750,2750,S2_BattlePass_Free_81,S2_BattlePass_Premium_81
82,2750,2750,S2_BattlePass_Free_82,S2_BattlePass_Premium_82
83,2750,2750,S2_BattlePass_Free_83,S2_BattlePass_Premium_83
84,2750,2750,S2_BattlePass_Free_84,S2_BattlePass_Premium_84
85,2750,2750,S2_BattlePass_Free_85,S2_BattlePass_Premium_85
86,2750,2750,S2_BattlePass_Free_86,S2_BattlePass_Premium_86
87,2750,2750,S2_BattlePass_Free_87,S2_BattlePass_Premium_87
88,2750,2750,S2_BattlePass_Free_88,S2_BattlePass_Premium_88
89,2750,2750,S2_BattlePass_Free_89,S2_BattlePass_Premium_89
90,2750,2750,S2_BattlePass_Free_90,S2_BattlePass_Premium_90
91,2750,2750,S2_BattlePass_Free_91,S2_BattlePass_Premium_91
92,2750,2750,S2_BattlePass_Free_92,S2_BattlePass_Premium_92
93,2750,2750,S2_BattlePass_Free_93,S2_BattlePass_Premium_93
94,2750,2750,S2_BattlePass_Free_94,S2_BattlePass_Premium_94
95,2750,2750,S2_BattlePass_Free_95,S2_BattlePass_Premium_95
96,2750,2750,S2_BattlePass_Free_96,S2_BattlePass_Premium_96
97,2750,2750,S2_BattlePass_Free_97,S2_BattlePass_Premium_97
98,2750,2750,S2_BattlePass_Free_98,S2_BattlePass_Premium_98
99,2750,2750,S2_BattlePass_Free_99,S2_BattlePass_Premium_99
100,0,2750,S2_BattlePass_Free_100,S2_BattlePass_Premium_100
