CardAndRowID,Column1Type,Column1XP,Column1Special,Column2Type,Column2XP,Column2Special,Column3Type,Column3XP,Column3Special,Column4Type,Column4XP,Column4Special
Card001Row1,Season,250,,Crafting,250,,Gathering,250,,Season,250,
Card001Row2,Expedition,250,,Pve,250,,Pve,250,,Pvp,250,
Card001Row3,Pvp,250,,Pve,250,,Pve,250,,Expedition,250,
Card001Row4,Season,250,,Gathering,250,,Crafting,250,,Season,250,
Card002Row1,Pvp,250,,Pve,250,,Pve,250,,Pvp,250,
Card002Row2,Gathering,250,,Season,250,,Gathering,250,,Season,250,
Card002Row3,Season,250,,Crafting,250,,Season,250,,Crafting,250,
Card002Row4,Pvp,250,,Pve,250,,Pve,250,,Pvp,250,
Card003Row1,Pve,250,,Crafting,250,,Gathering,250,,Season,250,
Card003Row2,Pve,250,,Pvp,250,,Expedition,250,,Season,250,
Card003Row3,Pve,250,,Expedition,250,,Pvp,250,,Season,250,
Card003Row4,Pve,250,,Gathering,250,,Crafting,250,,Season,250,
Card004Row1,Pve,250,,Gathering,250,,Crafting,250,,Season,250,
Card004Row2,Season,250,,Expedition,250,,Pvp,250,,Pve,250,
Card004Row3,Pve,250,,Pvp,250,,Expedition,250,,Season,250,
Card004Row4,Season,250,,Crafting,250,,Gathering,250,,Pve,250,
Card005Row1,Season,250,,Pve,250,,Gathering,250,,Season,250,
Card005Row2,Crafting,250,,Expedition,250,,Pvp,250,,Crafting,250,
Card005Row3,Gathering,250,,Season,250,,Pve,250,,Gathering,250,
Card005Row4,Pvp,250,,Crafting,250,,Expedition,250,,Pve,250,
Card006Row1,Season,250,,Expedition,250,,Season,250,,Gathering,250,
Card006Row2,Crafting,250,,Crafting,250,,Pvp,250,,Pve,250,
Card006Row3,Pve,250,,Season,250,,Gathering,250,,Pvp,250,
Card006Row4,Pvp,250,,Pvp,250,,Pve,250,,Season,250,
Card007Row1,Season,250,,Expedition,250,,Gathering,250,,Pve,250,
Card007Row2,Pvp,250,,Season,250,,Pve,250,,Expedition,250,
Card007Row3,Crafting,250,,Pve,250,,Season,250,,Pvp,250,
Card007Row4,Pve,250,,Crafting,250,,Gathering,250,,Season,250,
Card008Row1,Crafting,250,,Season,250,,Season,250,,Gathering,250,
Card008Row2,Pve,250,,Expedition,250,,Pvp,250,,Pve,250,
Card008Row3,Pve,250,,Expedition,250,,Pvp,250,,Pve,250,
Card008Row4,Gathering,250,,Season,250,,Season,250,,Crafting,250,
Card009Row1,Expedition,250,,Pve,250,,Season,250,,Gathering,250,
Card009Row2,Pvp,250,,Pve,250,,Season,250,,Pvp,250,
Card009Row3,Pvp,250,,Pve,250,,Season,250,,Pvp,250,
Card009Row4,Crafting,250,,Pve,250,,Season,250,,Expedition,250,
Card010Row1,Season,250,,Crafting,250,,Pve,250,,Gathering,250,
Card010Row2,Pvp,250,,Gathering,250,,Expedition,250,,Pvp,250,
Card010Row3,Gathering,250,,Gathering,250,,Season,250,,Season,250,
Card010Row4,Expedition,250,,Crafting,250,,Pve,250,,Crafting,250,
