CardAndRowID,Column1Type,Column1XP,Column1Special,Column2Type,Column2XP,Column2Special,Column3Type,Column3XP,Column3Special,Column4Type,Column4XP,Column4Special
Card001Row1,Season,300,,Crafting,300,,Gathering,300,,Season,300,
Card001Row2,Expedition,300,,Pve,300,,Pve,300,,Pvp,300,
Card001Row3,Pvp,300,,Pve,300,,Pve,300,,Expedition,300,
Card001Row4,Season,300,,Gathering,300,,Crafting,300,,Season,300,
Card002Row1,Pvp,300,,Pve,300,,Pve,300,,Pvp,300,
Card002Row2,Gathering,300,,Season,300,,Gathering,300,,Season,300,
Card002Row3,Season,300,,Crafting,300,,Season,300,,Crafting,300,
Card002Row4,Pvp,300,,Pve,300,,Pve,300,,Pvp,300,
Card003Row1,Pve,300,,Crafting,300,,Gathering,300,,Season,300,
Card003Row2,Pve,300,,Pvp,300,,Expedition,300,,Season,300,
Card003Row3,Pve,300,,Expedition,300,,Pvp,300,,Season,300,
Card003Row4,Pve,300,,Gathering,300,,Crafting,300,,Season,300,
Card004Row1,Pve,300,,Gathering,300,,Crafting,300,,Season,300,
Card004Row2,Season,300,,Expedition,300,,Pvp,300,,Pve,300,
Card004Row3,Pve,300,,Pvp,300,,Expedition,300,,Season,300,
Card004Row4,Season,300,,Crafting,300,,Gathering,300,,Pve,300,
Card005Row1,Season,300,,Pve,300,,Gathering,300,,Season,300,
Card005Row2,Crafting,300,,Expedition,300,,Pvp,300,,Crafting,300,
Card005Row3,Gathering,300,,Season,300,,Pve,300,,Gathering,300,
Card005Row4,Pvp,300,,Crafting,300,,Expedition,300,,Pve,300,
Card006Row1,Season,300,,Expedition,300,,Season,300,,Gathering,300,
Card006Row2,Crafting,300,,Crafting,300,,Pvp,300,,Pve,300,
Card006Row3,Pve,300,,Season,300,,Gathering,300,,Pvp,300,
Card006Row4,Pvp,300,,Pvp,300,,Pve,300,,Season,300,
Card007Row1,Season,300,,Expedition,300,,Gathering,300,,Pve,300,
Card007Row2,Pvp,300,,Season,300,,Pve,300,,Expedition,300,
Card007Row3,Crafting,300,,Pve,300,,Season,300,,Pvp,300,
Card007Row4,Pve,300,,Crafting,300,,Gathering,300,,Season,300,
Card008Row1,Crafting,300,,Season,300,,Season,300,,Gathering,300,
Card008Row2,Pve,300,,Expedition,300,,Pvp,300,,Pve,300,
Card008Row3,Pve,300,,Expedition,300,,Pvp,300,,Pve,300,
Card008Row4,Gathering,300,,Season,300,,Season,300,,Crafting,300,
Card009Row1,Expedition,300,,Pve,300,,Season,300,,Gathering,300,
Card009Row2,Pvp,300,,Pve,300,,Season,300,,Pvp,300,
Card009Row3,Pvp,300,,Pve,300,,Season,300,,Pvp,300,
Card009Row4,Crafting,300,,Pve,300,,Season,300,,Expedition,300,
Card010Row1,Season,300,,Crafting,300,,Pve,300,,Gathering,300,
Card010Row2,Pvp,300,,Gathering,300,,Expedition,300,,Pvp,300,
Card010Row3,Gathering,300,,Gathering,300,,Season,300,,Season,300,
Card010Row4,Expedition,300,,Crafting,300,,Pve,300,,Crafting,300,
