JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS9C1T1,Season9Chapter1,S9_Ch1_Task1,S9_Journey_Ch01_T01,1
JourneyS9C1T2,Season9Chapter1,S9_Ch1_Task2,S9_Journey_Ch01_T02,2
JourneyS9C1T3,Season9Chapter1,S9_Ch1_Task3,S9_Journey_Ch01_T03,3
JourneyS9C1T4,Season9Chapter1,S9_Ch1_Task4,S9_Journey_Ch01_T04,4
JourneyS9C1T5,Season9Chapter1,S9_Ch1_Task5,S9_Journey_Ch01_T05,5
JourneyS9C1T6,Season9Chapter1,S9_Ch1_Task6,S9_Journey_Ch01_T06,6
JourneyS9C1T7,Season9Chapter1,S9_Ch1_Task7,S9_Journey_Ch01_T07,7
JourneyS9C1T8,Season9Chapter1,S9_Ch1_Task8,S9_Journey_Ch01_T08,8
JourneyS9C1T9,Season9Chapter1,S9_Ch1_Task9,S9_Journey_Ch01_T09,9
JourneyS9C1T10,Season9Chapter1,S9_Ch1_Task10,S9_Journey_Ch01_T10,10
JourneyS9C2T1,Season9Chapter2,S9_Ch2_Task1,S9_Journey_Ch02_T01,1
JourneyS9C2T2,Season9Chapter2,S9_Ch2_Task2,S9_Journey_Ch02_T02,2
JourneyS9C2T3,Season9Chapter2,S9_Ch2_Task3,S9_Journey_Ch02_T03,3
JourneyS9C2T4,Season9Chapter2,S9_Ch2_Task4,S9_Journey_Ch02_T04,4
JourneyS9C2T5,Season9Chapter2,S9_Ch2_Task5,S9_Journey_Ch02_T05,5
JourneyS9C2T6,Season9Chapter2,S9_Ch2_Task6,S9_Journey_Ch02_T06,6
JourneyS9C2T7,Season9Chapter2,S9_Ch2_Task7,S9_Journey_Ch02_T07,7
JourneyS9C2T8,Season9Chapter2,S9_Ch2_Task8,S9_Journey_Ch02_T08,8
JourneyS9C2T9,Season9Chapter2,S9_Ch2_Task9,S9_Journey_Ch02_T09,9
JourneyS9C2T10,Season9Chapter2,S9_Ch2_Task10,S9_Journey_Ch02_T10,10
JourneyS9C2T11,Season9Chapter2,S9_Ch2_Task11,S9_Journey_Ch02_T11,11
JourneyS9C3T1,Season9Chapter3,S9_Ch3_Task1,S9_Journey_Ch03_T01,1
JourneyS9C3T2,Season9Chapter3,S9_Ch3_Task2,S9_Journey_Ch03_T02,2
JourneyS9C3T3,Season9Chapter3,S9_Ch3_Task3,S9_Journey_Ch03_T03,3
JourneyS9C3T4,Season9Chapter3,S9_Ch3_Task4,S9_Journey_Ch03_T04,4
JourneyS9C3T5,Season9Chapter3,S9_Ch3_Task5,S9_Journey_Ch03_T05,5
