TrackedStatID,StatType,GameEventTypes,CreatureTypes,GameEventIDs,RequiredWorldTag,RequiresStatusEffect,RequiresPristineGroup
LocateLostEasel,GameEvent,,,"ExploreVista_EastCleave01,ExploreVista_EastCutlass01,ExploreVista_EastEdengrove01,ExploreVista_EastEverfall01,ExploreVista_EastShattered01,ExploreVista_MidRestless01,ExploreVista_NorthBrightwood01,ExploreVista_NorthEbonscale01,ExploreVista_NorthFirstLight01,ExploreVista_NorthMonarchs01,ExploreVista_NorthReekwater01,ExploreVista_NorthWeavers01,ExploreVista_NorthWeavers02,ExploreVista_NorthWindsward01,ExploreVista_NorthWindsward02,ExploreVista_SouthBrightwood01,ExploreVista_SouthEbonscale01,ExploreVista_SouthFirstLight01,ExploreVista_SouthMonarchs01,ExploreVista_SouthMourningdale01,ExploreVista_SouthReekwater01,ExploreVista_SouthRestless01,ExploreVista_SouthShattered01,ExploreVista_WestCleave01,ExploreVista_WestEdengrove01,ExploreVista_WestEverfall01,ExploreVista_WestMourningdale01,ExploreVista_WestCutlass01,ExploreVista_EastBrimstone01,ExploreVista_EastBrimstone02",,,
CompleteAnyTrial,GameEvent,,,"Arena_Spriggan_AngryEarth_T1,Arena_LostSiren_Reekwater,Arena_SwampBeast_Reekwater",,,
GatherWispybloomFlower,GameEvent,,,Gather_Springtide_Wispybloom,,,
PlantWispySpritzes,GameEvent,,,Gather_WispySpritzPlantSite,,,
GameEvent_Breach,GameEvent,Darkness,"DarknessMinor,DarknessMinor+,DarknessMajor,DarknessMajor+,Myrkgard",,,,
GameEvent_MinorBreach,GameEvent,Darkness,"DarknessMinor,DarknessMinor+",,,,
GameEvent_MajorBreach,GameEvent,Darkness,"DarknessMajor,DarknessMajor+,Myrkgard",,,,
DefeatSolariumKhepri,GameEvent,,,"SolariumKhepri_EliteOverlord_MinorSuccess,SolariumKhepri_EliteOverlord_MajorSuccess",,,
GatherMaudlinDust,GameEvent,,,"Gather_SummerMedley_Maudlindust,MusicReward_Amazing_Waltz,MusicReward_Great_Waltz,MusicReward_Okay_Waltz,MusicReward_Bad_Waltz",,,
LocateBrimstoneLostEasel,GameEvent,,,"ExploreVista_EastBrimstone01,ExploreVista_EastBrimstone02",,,
DefeatWurmBoss,GameEvent,,,SandwormEliteTrial_Reward,,,
TakeInfluenceTower,GameEvent,,,PvP_InfluenceTowerTakeover,,,
ParticipateInfluenceRace,GameEvent,,,"InfluenceRace_Lose_Reward,InfluenceRace_Attacker_Win_Reward,InfluenceRace_Defender_Win_Reward",,,
WinInfluenceRace,GameEvent,,,"InfluenceRace_Attacker_Win_Reward,InfluenceRace_Defender_Win_Reward",,,
DefeatHatcheryTrial,GameEvent,,,Trial_S2_Success,,,
ConsumeMushroomFlask,GameEvent,,,"EVENT_MushroomFlaskT1_Consumed,EVENT_MushroomFlaskT2_Consumed,EVENT_MushroomFlaskT3_Consumed,EVENT_MushroomFlaskT4_Consumed,EVENT_MushroomFlaskT5_Consumed",,,
LocateLostEaselGreatCleave,GameEvent,,,"ExploreVista_EastCleave01,ExploreVista_WestCleave01",,,
OpenCastGoldNMatter,GameEvent,,,CastGypsum_DarkMatter,,,
FlawlessArenaVictory,GameEvent,,,Arena3v3_Win_3_Round,,,
QuestGameEvent,GameEvent,,"Quest,Quest+,Quest-,MSQ-,MSQ,MSQ+",,,,
CompleteAnyArtifact,GameEvent,,,SeasonJourneyCompleteArtifact,,,
ParticipateInfluenceRaceSS,GameEvent,,,"InfluenceRace_Lose_Reward,InfluenceRace_Attacker_Win_Reward,InfluenceRace_Defender_Win_Reward",SeasonalServer,,
DefeatWurmBossPristine,GameEvent,,,SandwormEliteTrial_Reward,SeasonalWorldS8,,true
ParticipateInfluenceRaceDepraved,GameEvent,,,"InfluenceRace_Lose_Reward,InfluenceRace_Attacker_Win_Reward,InfluenceRace_Defender_Win_Reward",,"Status_SeasonalServer_DeathFunctionality_1,Status_SeasonalServer_DeathFunctionality_2,Status_SeasonalServer_DeathFunctionality_3,Status_SeasonalServer_DeathFunctionality_4,Status_SeasonalServer_DeathFunctionality_5,Status_SeasonalServer_DeathFunctionality_6",
CompleteAnyArtifactSS,GameEvent,,,SeasonJourneyCompleteArtifact,SeasonalServer,,
PlayCTF,GameEvent,,,"CaptureTheFlag_T2,CaptureTheFlag_T3,CaptureTheFlag_T4",,,
WinCTF,GameEvent,,,CaptureTheFlag_T4,,,
InteractCatacombsPowerup,GameEvent,,,Catacombs_Powerup_Tracking,,,
