TrackedStatID,StatType,TargetID,QuestType,IsPVP,IsPermanent
CompleteQuest,CompleteQuest,,Quest,,
CompleteTownProject,CompleteQuest,,CommunityGoal,,
CompleteFactionMission,CompleteQuest,,Mission,,
CompletePvPFactionMission,CompleteQuest,,Mission,true,
CompleteQuest_TheEmpyreanForge,CompleteQuest,95_s01_X1_EXPD_Empyrean,,,true
CompleteQuest_FirstCustomer,CompleteQuest,95_s01_02_TEMP_FirstCustomer,,,true
CompleteQuest_VineYards,CompleteQuest,95_s01_07_TEMP_PossibilitiesOfFire,,,true
CompleteQuest_DearlyBeloved,CompleteQuest,95_s01_08_TEMP_HotOnTheTrail,,,true
CompleteQuest_Showdown,CompleteQuest,95_s01_09_TEMP_Faceless,,,true
CompleteQuest_CurseOfTheBones,CompleteQuest,95_s01_02a_TEMP_TheCurse,,,true
CompleteQuest_MinorBreach,CompleteQuest,,DarknessMinor,,
CompleteQuest_MajorBreach,CompleteQuest,,DarknessMajor,,
CompleteQuest_Breach,CompleteQuest,,"DarknessMinor,DarknessMajor",,
CompleteQuest_ToBeContinued,CompleteQuest,95_s01_10_TEMP_ToBeContinued,,,true
CompleteQuest_WordOfAThief,CompleteQuest,95A_S02_WordofaThief,,,true
CompleteQuest_SecondThoughts,CompleteQuest,95A_S02_SecondThoughts,,,true
CompleteQuest_PrecariousPosition,CompleteQuest,95A_S02_PrecariousPosition,,,true
CompleteQuest_EmptyNest,CompleteQuest,95A_S02_EmptyNest,,,true
CompleteQuest_Rememberance,CompleteQuest,95A_S02_Remembrance,,,true
CompleteQuest_TheOrdealOfTheNineGates,CompleteQuest,1624_0801_agodawakens,,,true
CompleteQuest_TheWildHuntress,CompleteQuest,1624_1001_thewildhuntress,,,true
