SeasonsTaskID,SeasonsTrackedStatID,TaskMaxValue,Name,Description
ObtainLevel60,ObtainLevel60,1,@ui_seasons_task_ObtainLevel_name,@ui_seasons_task_ObtainLevel_desc
CompleteExpedition,CompleteExpedition,1,@ui_seasons_task_CompleteExpedition_name,@ui_seasons_task_CompleteExpedition_desc
CompleteLevel60Expedition,CompleteLevel60Expedition,1,@ui_seasons_task_CompleteLevelExpedition_name,@ui_seasons_task_CompleteLevelExpedition_desc
Kill10Level60VarangianKnights,KillLevel60VarangianKnights,10,@ui_seasons_task_Kill25Level60VarangianKnights_name,@ui_seasons_task_KillVarangianKnights_desc
Kill500Level60VarangianKnights,KillLevel60VarangianKnights,500,@ui_seasons_task_Kill500Level60VarangianKnights_name,@ui_seasons_task_KillVarangianKnights_desc
Kill100ForgedVaragians,KillForgedVarangian,100,@ui_seasons_task_Kill100ForgedVaragians_name,@ui_seasons_task_KillForgedVaragians_desc
Complete3FactionMissions,CompleteFactionMission,3,@ui_seasons_task_Complete6FactionMissions_name,@ui_seasons_task_CompleteFactionMissions_desc
Complete10FactionMissions,CompleteFactionMission,10,@ui_seasons_task_Complete10FactionMissions_name,@ui_seasons_task_CompleteFactionMissions_desc
Complete5SongsAnyDifficulty,CompleteSong,5,@ui_seasons_task_CompleteSongsAnyDifficulty_name,@ui_seasons_task_CompleteSongsAnyDifficulty_desc
Complete10SongsOnExpert,CompleteSongOnExpert,10,@ui_seasons_task_Complete10SongsOnExpert_name,@ui_seasons_task_CompleteSongsOnExpert_desc
Complete10SongsAtAmazing,CompleteSongWithAmazingRank,10,@ui_seasons_task_Complete10SongsAtAmazing_name,@ui_seasons_task_CompleteSongsAtAmazing_desc
Complete10SongsAtGreat,CompleteSongWithGreatRank,10,@ui_seasons_task_Complete10SongsAtGreat_name,@ui_seasons_task_CompleteSongsAtGreat_desc
Capture1FactionControlPoint,CaptureFCP,1,@ui_seasons_task_Capture1FactionControlPoint_name,@ui_seasons_task_Capture1FactionControlPoint_desc
Capture50FactionControlPoint,CaptureFCP,30,@ui_seasons_task_Capture50FactionControlPoint_name,@ui_seasons_task_CaptureFactionControlPoint_desc
Win1OutpostRush,WinOutpostRush,1,@ui_seasons_task_Win1OutpostRush_name,@ui_seasons_task_Win1OutpostRush_desc
Win10OutpostRush,WinOutpostRush,5,@ui_seasons_task_Win10OutpostRush_name,@ui_seasons_task_WinOutpostRush_desc
Win100OutpostRush,WinOutpostRush,30,@ui_seasons_task_Win1OutpostRushBy750Points_name,@ui_seasons_task_WinOutpostRush_desc
Win1Duel,WinDuel,1,@ui_seasons_task_Win1Duel_name,@ui_seasons_task_Win1Duel_desc
Complete1MutatedExpedition,CompleteMutatedExpedition,1,@ui_seasons_task_Complete1MutatedExpedition_name,@ui_seasons_task_Complete1MutatedExpedition_desc
Complete5MutatedExpedition,CompleteMutatedExpedition,5,@ui_seasons_task_Complete5MutatedExpedition_name,@ui_seasons_task_CompleteMutatedExpedition_desc
Complete4TownProjects,CompleteTownProject,4,@ui_seasons_task_Complete4TownProjects_name,@ui_seasons_task_CompleteTownProjects_desc
Complete40TownProjects,CompleteTownProject,40,@ui_seasons_task_Complete40TownProjects_name,@ui_seasons_task_CompleteTownProjects_desc
Complete100TownProjects,CompleteTownProject,100,@ui_seasons_task_Complete100TownProjects_name,@ui_seasons_task_CompleteTownProjects_desc
Complete1SeasonalChallenge,CompleteAnyChallenge,1,@ui_seasons_task_Complete1SeasonalChallenge_name,@ui_seasons_task_CompleteSeasonalChallenge_desc
Complete2SeasonalChallenge,CompleteAnyChallenge,2,@ui_seasons_task_Complete2SeasonalChallenge_name,@ui_seasons_task_CompleteSeasonalChallenge_desc
Complete3SeasonalChallenge,CompleteAnyChallenge,3,@ui_seasons_task_Complete3SeasonalChallenge_name,@ui_seasons_task_CompleteSeasonalChallenge_desc
Complete4SeasonalChallenge,CompleteAnyChallenge,4,@ui_seasons_task_Complete4SeasonalChallenge_name,@ui_seasons_task_CompleteSeasonalChallenge_desc
Complete5JourneyTaskChapter1,CompleteTasksChapter1,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete5JourneyTaskChapter2,CompleteTasksChapter2,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete5JourneyTaskChapter3,CompleteTasksChapter3,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete7JourneyTaskChapter4,CompleteTasksChapter4,7,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
